SNP,PPI,DRUG,pQTL_protein,pQTL_protein_name,Chromosome,piQTL_peak,piQTL_left,piQTL_right,pQTL_peak,pQTL_left,pQTL_right,piQTL_EFFECTSIZE,piQTL_pvalue,piQTL_FDR,pQTL_effect,pQTL_gene_dist,pQTL_cis,peak_distance,is_piQTL_peak_in_pQTL,is_pQTL_peak_in_piQTL,piQTL_locus_id,piQTL_locus_gene,piQTL_locus_description
537,ERG11_TPO4,Fluconazole,YBR078W,ECM33,Chr2,400847,395228,405100,395853,395228,410647,-0.496157031,3.820539959,0.03823186,0.132307339,999.0,True,4994,True,True,YBR080C,SEC18,"""AAA ATPase and SNARE disassembly chaperone; required for vesicular transport between ER and Golgi ; the 'priming' step in homotypic vacuole fusion ; autophagy ; and protein secretion; releases Sec17p from SNAP complexes; has similarity to mammalian N-ethylmaleimide-sensitive factor (NSF)"""
556,ERG11_TPO4,Fluconazole,YBR085C-A,YBR085C-A,Chr2,422349,419803,425467,419803,406688,429095,-0.514252965,4.05719072,0.023915348,0.347157944,645.0,True,2546,True,True,YBR086C,IST2,"""Cortical ER protein involved in ER-plasma membrane (PM) tethering; one of 6 proteins (Ist2 ; Scs2 ; Scs22 ; Tcb1 ; Tcb2 ; Tcb3) that connect ER to PM ; regulate PM phosphatidylinositol-4-phosphate (PI4P) levels by controlling access of Sac1 phosphatase to PI4P; required to locate Osh6 ; Osh7 in ER/PM contact site to allow phosphatidylserine transport from ER to PM; localizes to mother in small-budded cells ; to bud in medium- ; large-budded cells; mRNA transported to bud tip by actomyosin-driven process"""
575,PLM2_HNM1,Fluconazole,YJR072C,NPA3,Chr2,455029,429095,455247,451784,449325,457298,-0.55909594,3.694101983,0.048668438,0.153332582,inf,False,3245,True,True,YBR108W,AIM3,"""Protein that inhibits barbed-end actin filament elongation; interacts with Rvs167p; null mutant is viable and displays elevated frequency of mitochondrial genome loss"""
575,PLM2_HNM1,Fluconazole,YPL131W,RPL5,Chr2,455029,429095,455247,455029,451779,465824,-0.55909594,3.694101983,0.048668438,0.170441109,inf,False,0,True,True,YBR108W,AIM3,"""Protein that inhibits barbed-end actin filament elongation; interacts with Rvs167p; null mutant is viable and displays elevated frequency of mitochondrial genome loss"""
598,PLM2_HNM1,Fluconazole,YBR115C,LYS2,Chr2,476732,464424,477508,474141,464424,484021,-0.655866383,4.960954871,0.003518595,0.214882582,221.0,True,2591,True,True,SUT018,,ncRNA_STM
598,PLM2_HNM1,Fluconazole,YBR117C,TKL2,Chr2,476732,464424,477508,477272,470145,486033,-0.655866383,4.960954871,0.003518595,0.165456322,841.0,True,540,True,True,SUT018,,ncRNA_STM
649,ADE17_HYR1,Metformin,YBR135W,CKS1,Chr2,538990,530047,538990,538990,530047,542505,0.488727156,4.049063843,0.024306749,0.182828971,33690.0,False,0,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
649,ADE17_HYR1,Metformin,YER122C,GLO3,Chr2,538990,530047,538990,533672,528468,538990,0.488727156,4.049063843,0.024306749,0.13465272,inf,False,5318,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
649,ADE17_HYR1,Metformin,YAL005C,SSA1,Chr2,538990,530047,538990,530047,517548,538990,0.488727156,4.049063843,0.024306749,0.151584485,inf,False,8943,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
649,ADE17_HYR1,Metformin,YNL071W,LAT1,Chr2,538990,530047,538990,533672,528468,538990,0.488727156,4.049063843,0.024306749,0.13609298,inf,False,5318,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
649,ADE17_HYR1,Metformin,YCR004C,YCP4,Chr2,538990,530047,538990,530047,517548,538990,0.488727156,4.049063843,0.024306749,0.170420533,inf,False,8943,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
649,ADE17_HYR1,Metformin,YMR196W,YMR196W; YM9646.09,Chr2,538990,530047,538990,530047,517548,538990,0.488727156,4.049063843,0.024306749,0.157071809,inf,False,8943,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
649,ADE17_HYR1,noDrug,YBR135W,CKS1,Chr2,538990,530047,538990,538990,530047,542505,0.628891311,4.772216063,0.005295309,0.182828971,33690.0,False,0,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
649,ADE17_HYR1,noDrug,YER122C,GLO3,Chr2,538990,530047,538990,533672,528468,538990,0.628891311,4.772216063,0.005295309,0.13465272,inf,False,5318,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
649,ADE17_HYR1,noDrug,YAL005C,SSA1,Chr2,538990,530047,538990,530047,517548,538990,0.628891311,4.772216063,0.005295309,0.151584485,inf,False,8943,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
649,ADE17_HYR1,noDrug,YNL071W,LAT1,Chr2,538990,530047,538990,533672,528468,538990,0.628891311,4.772216063,0.005295309,0.13609298,inf,False,5318,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
649,ADE17_HYR1,noDrug,YCR004C,YCP4,Chr2,538990,530047,538990,530047,517548,538990,0.628891311,4.772216063,0.005295309,0.170420533,inf,False,8943,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
649,ADE17_HYR1,noDrug,YMR196W,YMR196W; YM9646.09,Chr2,538990,530047,538990,530047,517548,538990,0.628891311,4.772216063,0.005295309,0.157071809,inf,False,8943,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
648,ERG11_ERV25,noDrug,YBR135W,CKS1,Chr2,538868,530047,538990,538990,530047,542505,0.429143668,3.786033701,0.040862452,0.182828971,33690.0,False,122,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
648,ERG11_ERV25,noDrug,YER122C,GLO3,Chr2,538868,530047,538990,533672,528468,538990,0.429143668,3.786033701,0.040862452,0.13465272,inf,False,5196,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
648,ERG11_ERV25,noDrug,YAL005C,SSA1,Chr2,538868,530047,538990,530047,517548,538990,0.429143668,3.786033701,0.040862452,0.151584485,inf,False,8821,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
648,ERG11_ERV25,noDrug,YNL071W,LAT1,Chr2,538868,530047,538990,533672,528468,538990,0.429143668,3.786033701,0.040862452,0.13609298,inf,False,5196,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
648,ERG11_ERV25,noDrug,YCR004C,YCP4,Chr2,538868,530047,538990,530047,517548,538990,0.429143668,3.786033701,0.040862452,0.170420533,inf,False,8821,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
648,ERG11_ERV25,noDrug,YMR196W,YMR196W; YM9646.09,Chr2,538868,530047,538990,530047,517548,538990,0.429143668,3.786033701,0.040862452,0.157071809,inf,False,8821,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
649,ERV25_PIS1,Fluconazole,YBR135W,CKS1,Chr2,538990,530047,538990,538990,530047,542505,0.567570224,3.711208148,0.047104192,0.182828971,33690.0,False,0,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
649,ERV25_PIS1,Fluconazole,YER122C,GLO3,Chr2,538990,530047,538990,533672,528468,538990,0.567570224,3.711208148,0.047104192,0.13465272,inf,False,5318,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
649,ERV25_PIS1,Fluconazole,YAL005C,SSA1,Chr2,538990,530047,538990,530047,517548,538990,0.567570224,3.711208148,0.047104192,0.151584485,inf,False,8943,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
649,ERV25_PIS1,Fluconazole,YNL071W,LAT1,Chr2,538990,530047,538990,533672,528468,538990,0.567570224,3.711208148,0.047104192,0.13609298,inf,False,5318,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
649,ERV25_PIS1,Fluconazole,YCR004C,YCP4,Chr2,538990,530047,538990,530047,517548,538990,0.567570224,3.711208148,0.047104192,0.170420533,inf,False,8943,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
649,ERV25_PIS1,Fluconazole,YMR196W,YMR196W; YM9646.09,Chr2,538990,530047,538990,530047,517548,538990,0.567570224,3.711208148,0.047104192,0.157071809,inf,False,8943,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
649,FMP45_MEP1,Fluconazole,YBR135W,CKS1,Chr2,538990,530047,538990,538990,530047,542505,0.610875152,3.800399289,0.039766727,0.182828971,33690.0,False,0,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
649,FMP45_MEP1,Fluconazole,YER122C,GLO3,Chr2,538990,530047,538990,533672,528468,538990,0.610875152,3.800399289,0.039766727,0.13465272,inf,False,5318,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
649,FMP45_MEP1,Fluconazole,YAL005C,SSA1,Chr2,538990,530047,538990,530047,517548,538990,0.610875152,3.800399289,0.039766727,0.151584485,inf,False,8943,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
649,FMP45_MEP1,Fluconazole,YNL071W,LAT1,Chr2,538990,530047,538990,533672,528468,538990,0.610875152,3.800399289,0.039766727,0.13609298,inf,False,5318,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
649,FMP45_MEP1,Fluconazole,YCR004C,YCP4,Chr2,538990,530047,538990,530047,517548,538990,0.610875152,3.800399289,0.039766727,0.170420533,inf,False,8943,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
649,FMP45_MEP1,Fluconazole,YMR196W,YMR196W; YM9646.09,Chr2,538990,530047,538990,530047,517548,538990,0.610875152,3.800399289,0.039766727,0.157071809,inf,False,8943,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
