SNP,LD050_ID,PPI,DRUG,chromosome,piQTL_peak,piQTL_left,piQTL_right,piQTL_EFFECTSIZE,piQTL_pvalue,piQTL_FDR,piQTL_locus_id,piQTL_locus_gene,piQTL_locus_description,cis_trans
4732,LD050_1004,ERG11_ACF2,Metformin,7,951285,951285,951285,1.08280352,4.295307281,0.014676739,YGR229C_NFR/NDR,SMI1,fragile,trans
4732,LD050_1004,MID2_MAM33,Metformin,7,951285,951285,951285,1.068667727,3.697673524,0.048357032,YGR229C_NFR/NDR,SMI1,fragile,trans
4852,LD050_1036,ERG11_ORM2,Fluconazole,8,24772,13662,35378,0.498385309,4.129762523,0.020665551,YHL038C,CBP2,"""Required for splicing of the group I intron bI5 of the COB pre-mRNA; nuclear-encoded mitochondrial protein that binds to the RNA to promote splicing; also involved in but not essential for splicing of the COB bI2 intron and the intron in the 21S rRNA gene""",trans
4891,LD050_1041,ERG11_HYR1,Fluconazole,8,56351,50901,56351,0.464346575,3.941476324,0.030098493,YHL024W_NFR/NDR,RIM4,stable,trans
4891,LD050_1041,SSH1_ERG11,Fluconazole,8,56351,50901,56351,0.572092679,3.758793441,0.043058757,YHL024W_NFR/NDR,RIM4,stable,trans
4893,LD050_1042,ADE17_PGM2,Fluconazole,8,56424,56423,56424,0.642006069,3.820505869,0.038232274,YHL024W_NFR/NDR,RIM4,stable,trans
4901,LD050_1045,ERG11_ORM2,Fluconazole,8,63915,59614,63915,0.478470816,3.885618855,0.033614416,YHL022C,SPO11,"""Meiosis-specific protein required for meiotic recombination; makes DNA double-strand breaks (DSB) during meiotic recombination ; homolog pairing ; and synaptonemal complex formation; role in meiotic DSB formation involves a topo-II-like transesterase mechanism; forms monotetrameric complex; covalently linked to DSBs through a 5'-phosphodiester bond between a catalytic tyrosine (Y135) and the DSB 5'- end; sequence similarity to a topo VI subunit from archaea ; fission yeast rec12 and human SPO11""",trans
4901,LD050_1045,ERV25_EMP47,Fluconazole,8,63915,59614,63915,0.654032395,4.058298813,0.023870091,YHL022C,SPO11,"""Meiosis-specific protein required for meiotic recombination; makes DNA double-strand breaks (DSB) during meiotic recombination ; homolog pairing ; and synaptonemal complex formation; role in meiotic DSB formation involves a topo-II-like transesterase mechanism; forms monotetrameric complex; covalently linked to DSBs through a 5'-phosphodiester bond between a catalytic tyrosine (Y135) and the DSB 5'- end; sequence similarity to a topo VI subunit from archaea ; fission yeast rec12 and human SPO11""",trans
4900,LD050_1045,SSH1_ERG11,Fluconazole,8,62723,59614,63915,0.669623827,4.741868212,0.00565722,YHL023C_NFR/NDR,NPR3,,trans
4904,LD050_1047,ERG11_ORM2,Fluconazole,8,65889,64505,65889,0.478624569,3.827742483,0.03768721,YHL021C,AIM17,"""Protein of unknown function; the authentic ; non-tagged protein is detected in highly purified mitochondria in high-throughput studies; null mutant displays reduced frequency of mitochondrial genome loss""",trans
4904,LD050_1047,ERV25_ORM2,Fluconazole,8,65889,64505,65889,0.601885803,4.117911255,0.021162591,YHL021C,AIM17,"""Protein of unknown function; the authentic ; non-tagged protein is detected in highly purified mitochondria in high-throughput studies; null mutant displays reduced frequency of mitochondrial genome loss""",trans
4909,LD050_1049,ERV25_ERG5,Fluconazole,8,71740,68955,71830,0.567007721,3.958707607,0.029118294,YHL017W,YHL017W,"""Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein co-localizes with clathrin-coated vesicles; YHL017W has a paralog ; PTM1 ; that arose from the whole genome duplication""",trans
4913,LD050_1051,ERV25_ERG5,Fluconazole,8,72021,72011,72021,1.162580474,4.166885504,0.019159166,YHL017W,YHL017W,"""Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein co-localizes with clathrin-coated vesicles; YHL017W has a paralog ; PTM1 ; that arose from the whole genome duplication""",trans
4914,LD050_1052,DHH1_LSM3,Fluconazole,8,74739,74739,74975,0.624449892,4.271812014,0.015425649,YHL015W-A,YHL015W-A,"""Putative protein of unknown function""",trans
4914,LD050_1052,ERV25_ERG5,Fluconazole,8,74739,74739,74975,0.636048086,4.877820518,0.004220242,YHL015W-A,YHL015W-A,"""Putative protein of unknown function""",trans
4914,LD050_1052,ERV25_ORM2,Fluconazole,8,74739,74739,74975,0.644052627,4.698710272,0.006217636,YHL015W-A,YHL015W-A,"""Putative protein of unknown function""",trans
4914,LD050_1052,GTR1_SLM4,Fluconazole,8,74739,74739,74975,0.474945549,3.775970424,0.041633978,YHL015W-A,YHL015W-A,"""Putative protein of unknown function""",trans
4972,LD050_1061,ERG11_HYR1,Fluconazole,8,120385,110021,122655,0.465339011,3.893968464,0.033072636,YHR007C,ERG11,"""Lanosterol 14-alpha-demethylase; catalyzes C-14 demethylation of lanosterol to form 4,4''-dimethyl cholesta-8,14,24-triene-3-beta-ol in ergosterol biosynthesis pathway; transcriptionally down-regulated when ergosterol is in excess; member of cytochrome P450 family; associated and coordinately regulated with the P450 reductase Ncp1p; human CYP51A1 functionally complements the lethality of the erg11 null mutation""",cis
4978,LD050_1061,ERG11_ORM2,Fluconazole,8,122655,110021,122655,0.497536302,4.070603202,0.02329178,SUT153,,ncRNA_UNB,cis
4976,LD050_1061,ERG11_PIS1,Fluconazole,8,122347,110021,122655,0.491823818,4.006892047,0.026431245,SUT153,,ncRNA_UNB,cis
4972,LD050_1061,ERV25_ERG5,Fluconazole,8,120385,110021,122655,0.558835946,3.812032257,0.038890804,YHR007C,ERG11,"""Lanosterol 14-alpha-demethylase; catalyzes C-14 demethylation of lanosterol to form 4,4''-dimethyl cholesta-8,14,24-triene-3-beta-ol in ergosterol biosynthesis pathway; transcriptionally down-regulated when ergosterol is in excess; member of cytochrome P450 family; associated and coordinately regulated with the P450 reductase Ncp1p; human CYP51A1 functionally complements the lethality of the erg11 null mutation""",trans
22,LD050_11,ALO1_UIP4,Trifluoperazine,1,29787,29752,29787,3.592200172,3.723230687,0.046081495,XUT_1F-15_NFR/NDR,,,trans
22,LD050_11,MID2_PIN2,Trifluoperazine,1,29787,29752,29787,3.570787869,4.474263163,0.010038464,XUT_1F-15_NFR/NDR,,,trans
22,LD050_11,MID2_PIN2,noDrug,1,29787,29752,29787,3.778868856,3.708552827,0.047343966,XUT_1F-15_NFR/NDR,,,trans
22,LD050_11,RET2_EMP47,Trifluoperazine,1,29787,29752,29787,2.595290478,3.809357364,0.039094127,XUT_1F-15_NFR/NDR,,,trans
22,LD050_11,TPO1_TPO2,Trifluoperazine,1,29787,29752,29787,3.79676472,3.949948492,0.02960918,XUT_1F-15_NFR/NDR,,,trans
22,LD050_11,TPO1_TPO2,noDrug,1,29787,29752,29787,4.206123235,4.003027103,0.026617781,XUT_1F-15_NFR/NDR,,,trans
5311,LD050_1126,MID2_TPO2,Fluconazole,8,452328,452309,452328,-1.244096944,3.808997572,0.039115975,YHR174W,ENO2,"""Enolase II ; a phosphopyruvate hydratase; catalyzes conversion of 2-phosphoglycerate to phosphoenolpyruvate during glycolysis and the reverse reaction during gluconeogenesis; expression induced in response to glucose; ENO2 has a paralog ; ENO1 ; that arose from the whole genome duplication""",trans
5317,LD050_1130,MID2_TPO2,Fluconazole,8,455783,455745,461438,-0.672005177,4.347945538,0.013137917,YHR176W,FMO1,"""Flavin-containing monooxygenase; localized to the cytoplasmic face of the ER membrane; catalyzes oxidation of biological thiols to maintain the ER redox buffer ratio for correct folding of disulfide-bonded proteins""",trans
5415,LD050_1154,SNA4_VAC8,Trifluoperazine,8,531108,531108,531108,-0.95851484,3.909623048,0.032057315,H:530380-537758,,between YHRCdelta14 and YHR212C,trans
5618,LD050_1187,HNM1_TPO4,Fluconazole,9,144955,128717,144955,-0.600660526,4.058197424,0.02387392,YIL115C,NUP159,"""FG-nucleoporin component of central core of the nuclear pore complex; also part of the nuclear pore complex (NPC) cytoplasmic filaments; contributes directly to nucleocytoplasmic transport; regulates ADP release from the ATP-dependent RNA helicase Dbp5p; forms a stable association with Nup82p ; Gle2p and two other FG-nucleoporins (Nsp1p and Nup116p)""",trans
5668,LD050_1204,ERG11_ORM2,Metformin,9,198256,197752,198256,-0.274120574,3.712290492,0.047008381,YIL088C,AVT7,"""Vacuolar amino acid transporter; member of a family of seven S. cerevisiae genes (AVT1-7) related to vesicular GABA-glycine transporters""",trans
5671,LD050_1206,ERG11_ORM2,Metformin,9,198850,198339,204151,-0.278778237,3.833384677,0.03726142,YIL088C,AVT7,"""Vacuolar amino acid transporter; member of a family of seven S. cerevisiae genes (AVT1-7) related to vesicular GABA-glycine transporters""",trans
5678,LD050_1206,SNA4_VAC8,Metformin,9,204151,198339,204151,-0.332902188,4.068267173,0.023408819,YIL083C,CAB2,"""Phosphopantothenoylcysteine synthetase (PPCS); catalyzes the second step of coenzyme A biosynthesis from pantothenate; subunit of the CoA-Synthesizing Protein Complex (CoA-SPC) that contains: Cab2p ; Cab3p ; Cab4p ; Cab5p ; Sis2p and Vhs3p subunits; null mutant lethality is complemented by human homolog PPCS and by E. coli coaBC ; a bifunctional enzyme with PPCS activity""",trans
5693,LD050_1208,ALO1_ADE17,Fluconazole,9,226182,210740,240673,-0.704412211,4.261226851,0.01576244,XUT_9F-113,,ncRNA_UNB,trans
5693,LD050_1208,HUG1_ALO1,Fluconazole,9,226182,210740,240673,-0.736458984,4.376005394,0.012373103,XUT_9F-113,,ncRNA_UNB,trans
5704,LD050_1210,ALO1_ADE17,Fluconazole,9,242937,242937,243866,-0.711954684,4.414523139,0.011407377,YIL063C,YRB2,"""Protein of unknown function; involved in nuclear processes of the Ran-GTPase cycle; involved in nuclear protein export; contains Ran Binding Domain and FxFG repeats; interacts with Srm1p ; GTP-Gsp1p ; Rna1p and Crm1p; relocalizes to the cytosol in response to hypoxia; not essential for viability""",trans
5713,LD050_1210,HNM1_TPO2,Fluconazole,9,243786,242937,243866,-0.586869005,3.786179156,0.040851498,YIL063C_NFR/NDR,YRB2,stable,trans
5716,LD050_1211,ALO1_ADE17,Fluconazole,9,243951,243951,243951,-1.325522539,3.892795605,0.033152879,YIL063C_NFR/NDR,YRB2,stable,trans
5721,LD050_1212,ALO1_ADE17,Fluconazole,9,244863,244149,245890,-0.663241049,3.919318113,0.031443808,YIL061C,SNP1,"""Component of U1 snRNP required for mRNA splicing via spliceosome; substrate of the arginine methyltransferase Hmt1p; may interact with poly(A) polymerase to regulate polyadenylation; homolog of human U1 70K protein; protein abundance increases in response to DNA replication stress""",trans
5734,LD050_1215,ALO1_ADE17,5-FC,9,250484,249562,254003,-0.667930125,4.233960227,0.016682344,YIL056W,VHR1,"""Transcriptional activator; required for the vitamin H-responsive element (VHRE) mediated induction of VHT1 (Vitamin H transporter) and BIO5 (biotin biosynthesis intermediate transporter) in response to low biotin concentrations; VHR1 has a paralog ; VHR2 ; that arose from the whole genome duplication""",trans
5732,LD050_1215,ALO1_ADE17,Fluconazole,9,249625,249562,254003,-0.838136636,4.874114537,0.00425532,CUT192,,ncRNA_STM,trans
5734,LD050_1215,ALO1_ADE17,Metformin,9,250484,249562,254003,-0.524286711,3.932907851,0.030616325,YIL056W,VHR1,"""Transcriptional activator; required for the vitamin H-responsive element (VHRE) mediated induction of VHT1 (Vitamin H transporter) and BIO5 (biotin biosynthesis intermediate transporter) in response to low biotin concentrations; VHR1 has a paralog ; VHR2 ; that arose from the whole genome duplication""",trans
5734,LD050_1215,ALO1_ADE17,Trifluoperazine,9,250484,249562,254003,-0.645805735,4.50565777,0.009394818,YIL056W,VHR1,"""Transcriptional activator; required for the vitamin H-responsive element (VHRE) mediated induction of VHT1 (Vitamin H transporter) and BIO5 (biotin biosynthesis intermediate transporter) in response to low biotin concentrations; VHR1 has a paralog ; VHR2 ; that arose from the whole genome duplication""",trans
5741,LD050_1215,ERG27_ACF2,Metformin,9,254003,249562,254003,-0.492172978,3.719848803,0.046344351,YIL054W_NFR/NDR,YIL054W,,trans
5735,LD050_1215,ERV25_EMP47,noDrug,9,250581,249562,254003,-0.615336447,4.031790419,0.025142847,YIL056W,VHR1,"""Transcriptional activator; required for the vitamin H-responsive element (VHRE) mediated induction of VHT1 (Vitamin H transporter) and BIO5 (biotin biosynthesis intermediate transporter) in response to low biotin concentrations; VHR1 has a paralog ; VHR2 ; that arose from the whole genome duplication""",trans
5734,LD050_1215,ERV25_UIP4,noDrug,9,250484,249562,254003,-0.638152875,3.695609231,0.048546717,YIL056W,VHR1,"""Transcriptional activator; required for the vitamin H-responsive element (VHRE) mediated induction of VHT1 (Vitamin H transporter) and BIO5 (biotin biosynthesis intermediate transporter) in response to low biotin concentrations; VHR1 has a paralog ; VHR2 ; that arose from the whole genome duplication""",trans
5741,LD050_1215,HNM1_RBD2,Metformin,9,254003,249562,254003,-0.426433651,3.988386552,0.027400671,YIL054W_NFR/NDR,YIL054W,,trans
5736,LD050_1215,HUG1_ADE17,Fluconazole,9,251030,249562,254003,-0.553619638,3.926442249,0.031014572,YIL056W,VHR1,"""Transcriptional activator; required for the vitamin H-responsive element (VHRE) mediated induction of VHT1 (Vitamin H transporter) and BIO5 (biotin biosynthesis intermediate transporter) in response to low biotin concentrations; VHR1 has a paralog ; VHR2 ; that arose from the whole genome duplication""",trans
5741,LD050_1215,TPO1_MID2,Fluconazole,9,254003,249562,254003,-0.588021956,3.882312063,0.033829245,YIL054W_NFR/NDR,YIL054W,,trans
5741,LD050_1215,TPO1_TCB2,Metformin,9,254003,249562,254003,-0.547219737,4.095630563,0.022156458,YIL054W_NFR/NDR,YIL054W,,trans
5741,LD050_1215,TPO1_TPO2,noDrug,9,254003,249562,254003,-0.65830148,3.751532318,0.043669219,YIL054W_NFR/NDR,YIL054W,,trans
5747,LD050_1216,ALO1_ADE17,5-FC,9,254311,254025,257350,-0.716956424,4.813695041,0.004845472,YIL054W_NFR/NDR,YIL054W,,trans
5747,LD050_1216,ALO1_ADE17,Trifluoperazine,9,254311,254025,257350,-0.612513886,4.100102028,0.021957091,YIL054W_NFR/NDR,YIL054W,,trans
5750,LD050_1216,ALO1_ADE17,noDrug,9,254355,254025,257350,-0.664125436,3.857619526,0.035538493,YIL054W_NFR/NDR,YIL054W,,trans
5745,LD050_1216,ALO1_HYR1,Fluconazole,9,254108,254025,257350,-0.66083254,4.383545036,0.012183164,YIL054W_NFR/NDR,YIL054W,,trans
5747,LD050_1216,ERV25_EMP47,noDrug,9,254311,254025,257350,-0.635842376,4.277458903,0.015247562,YIL054W_NFR/NDR,YIL054W,,trans
5745,LD050_1216,HNM1_RBD2,Metformin,9,254108,254025,257350,-0.401959781,3.79306749,0.040317946,YIL054W_NFR/NDR,YIL054W,,trans
5766,LD050_1219,ALO1_ADE17,5-FC,9,257575,257480,258900,-0.70500492,4.550462831,0.00852955,YIL052C_NFR/NDR,RPL34B,fragile,trans
5766,LD050_1219,ALO1_ADE17,Trifluoperazine,9,257575,257480,258900,-0.604125975,3.900659032,0.032639453,YIL052C_NFR/NDR,RPL34B,fragile,trans
5766,LD050_1219,ERV25_EMP47,noDrug,9,257575,257480,258900,-0.640246671,4.221557799,0.017114551,YIL052C_NFR/NDR,RPL34B,fragile,trans
5766,LD050_1219,HUG1_ADE17,5-FC,9,257575,257480,258900,-0.564390945,3.781042696,0.041257577,YIL052C_NFR/NDR,RPL34B,fragile,trans
5776,LD050_1221,HUG1_ADE17,5-FC,9,260947,260947,260947,-1.259447854,4.090683736,0.022363743,YIL048W_NFR/NDR,NEO1,stable,trans
5776,LD050_1221,MID2_TPO4,Fluconazole,9,260947,260947,260947,-1.408734614,4.158115251,0.019507408,YIL048W_NFR/NDR,NEO1,stable,trans
5779,LD050_1223,ALO1_ADE17,5-FC,9,261156,260986,267785,-0.701719158,4.571304366,0.008157003,YIL048W_NFR/NDR,NEO1,stable,trans
5779,LD050_1223,ALO1_ADE17,Trifluoperazine,9,261156,260986,267785,-0.586845365,3.752926139,0.043546524,YIL048W_NFR/NDR,NEO1,stable,trans
5779,LD050_1223,ALO1_ADE17,noDrug,9,261156,260986,267785,-0.659866676,3.785535404,0.040901165,YIL048W_NFR/NDR,NEO1,stable,trans
