iteration,overlap_pqtl,overlap_eqtl,overlap_both
1,19,30,5
2,34,29,9
3,23,28,7
4,27,24,4
5,21,19,2
6,28,31,10
7,18,23,5
8,35,26,6
9,24,25,5
10,19,32,6
11,23,27,5
12,27,23,6
13,24,33,7
14,29,24,4
15,20,24,7
16,19,24,2
17,31,23,6
18,19,23,3
19,24,17,5
20,21,22,4
21,23,23,6
22,28,37,8
23,33,36,11
24,19,23,2
25,29,36,10
26,21,23,7
27,29,23,5
28,21,27,4
29,31,19,5
30,28,19,5
31,25,23,5
32,33,35,10
33,24,32,9
34,21,27,8
35,20,22,4
36,28,22,8
37,26,21,8
38,28,25,9
39,14,23,3
40,26,34,11
41,28,28,8
42,19,24,6
43,38,20,8
44,34,21,5
45,24,24,9
46,29,23,6
47,31,31,7
48,26,23,5
49,29,21,7
50,23,22,4
51,28,30,9
52,21,29,1
53,26,26,9
54,22,25,3
55,17,22,0
56,17,26,3
57,27,27,7
58,19,29,5
59,31,31,9
60,22,27,4
61,16,31,4
62,32,31,11
63,30,31,7
64,25,32,11
65,18,30,5
66,23,34,8
67,38,28,13
68,29,32,11
69,30,32,6
70,20,21,2
71,30,24,11
72,19,27,3
73,25,31,7
74,26,26,5
75,26,30,8
76,16,18,2
77,29,25,10
78,34,28,7
79,26,30,8
80,21,27,7
81,22,29,6
82,22,33,3
83,19,23,8
84,14,26,4
85,22,20,1
86,27,31,6
87,28,27,5
88,17,22,5
89,23,25,8
90,23,24,6
91,24,28,6
92,29,26,6
93,27,31,6
94,24,25,6
95,18,32,3
96,14,25,3
97,31,32,11
98,16,29,7
99,21,30,4
100,27,24,4
101,31,21,6
102,20,31,5
103,27,22,4
104,28,34,7
105,25,31,9
106,25,30,5
107,27,32,7
108,32,29,8
109,24,35,5
110,26,31,3
111,24,27,6
112,17,21,7
113,31,27,9
114,33,24,5
115,24,34,10
116,20,30,7
117,27,19,5
118,24,29,7
119,20,25,4
120,33,26,8
121,27,28,4
122,28,30,8
123,26,30,5
124,30,27,6
125,26,27,2
126,24,34,9
127,24,27,6
128,23,15,3
129,26,32,8
130,26,25,8
131,29,23,6
132,24,30,6
