SNP	chromosome	pos	left_pos	right_pos
1	1	1025	1025	1035
2	1	1035	1025	1035
3	1	1074	1074	1074
4	1	1470	1470	1470
5	1	1475	1475	1475
6	1	1491	1491	1491
7	1	21249	21249	21249
8	1	27243	27243	27272
9	1	27272	27243	27272
10	1	27498	27498	27498
11	1	27561	27561	27561
12	1	27816	27816	31435
13	1	27822	27816	31435
14	1	27823	27816	31435
15	1	27825	27816	31435
16	1	27843	27816	31435
17	1	27848	27816	31435
18	1	28495	27816	36146
19	1	28975	27816	36146
20	1	29283	29283	29283
21	1	29752	29752	29752
22	1	29787	29787	29787
23	1	30057	30057	30057
24	1	30479	30479	30479
25	1	30706	27816	36146
26	1	31435	27816	37478
27	1	35128	35128	35129
28	1	35129	35128	35129
29	1	36146	28495	41499
30	1	37255	36146	37478
31	1	37409	31435	41499
32	1	37478	31435	41499
33	1	39144	36146	41499
34	1	41499	36146	41499
35	1	45359	45359	45359
36	1	45634	45634	45634
37	1	51248	51248	52667
38	1	51462	51248	52667
39	1	52124	51248	55470
40	1	52667	51248	55470
41	1	55470	52124	59265
42	1	59265	55470	60165
43	1	60165	59265	60165
44	1	62308	62308	66948
45	1	62869	62308	66948
46	1	65431	62308	68621
47	1	65451	62308	68621
48	1	65719	62308	66948
49	1	66841	62308	68621
50	1	66948	62308	68621
51	1	68621	65431	69417
52	1	69417	68621	69417
53	1	69820	69820	69820
54	1	69821	69821	69821
55	1	70906	70906	70906
56	1	74327	74327	76030
57	1	74572	74327	76030
58	1	75211	74327	76030
59	1	76030	74327	76030
60	1	80108	80108	82431
61	1	81262	80108	85751
62	1	81999	80108	85751
63	1	82431	80108	85751
64	1	83284	81262	89880
65	1	83613	81262	91472
66	1	84112	81262	91472
67	1	84701	83284	89616
68	1	84858	81262	91472
69	1	85751	81262	91472
70	1	87445	83284	93789
71	1	87467	83284	93789
72	1	89070	83284	94351
73	1	89616	83284	99148
74	1	89679	83284	94351
75	1	89880	83284	99148
76	1	91472	83613	99148
77	1	93789	87445	106800
78	1	94351	89070	107970
79	1	99148	89616	109000
80	1	101281	101281	126880
81	1	106011	93789	109000
82	1	106800	93789	109000
83	1	107970	94351	109000
84	1	109000	99148	112549
85	1	112549	109000	114628
86	1	112742	112549	114628
87	1	113050	112549	114628
88	1	113135	112549	114628
89	1	114076	112549	116283
90	1	114628	112549	116283
91	1	116283	114076	116283
92	1	126880	101281	126880
93	1	127853	127853	128911
94	1	128302	127853	128911
95	1	128704	127853	128911
96	1	128911	127853	128911
97	1	130267	130267	130613
98	1	130271	130267	130613
99	1	130613	130267	130613
100	1	132012	132012	139686
101	1	133231	132012	150447
102	1	137074	132012	157269
103	1	137304	132012	166416
104	1	139686	132012	167326
105	1	149562	133231	173339
106	1	150447	133231	173845
107	1	151446	151446	151446
108	1	154084	137074	171200
109	1	156633	137074	173339
110	1	157269	137074	173845
111	1	160054	137304	178224
112	1	166222	139686	178960
113	1	166416	137304	178960
114	1	167326	139686	178960
115	1	168836	149562	178960
116	1	171200	149562	179139
117	1	171431	149562	179139
118	1	173339	149562	179139
119	1	173845	150447	179139
120	1	175121	160054	179139
121	1	175281	160054	179139
122	1	175315	160054	179139
123	1	175523	160054	179139
124	1	175541	160054	179139
125	1	175653	160054	179139
126	1	175805	160054	179139
127	1	175818	160054	179139
128	1	175856	160054	179139
129	1	175876	160054	179139
130	1	175989	160054	180955
131	1	176001	160054	180955
132	1	176451	160054	179139
133	1	177692	160054	180955
134	1	178191	160054	183954
135	1	178224	160054	180955
136	1	178960	166222	180955
137	1	179139	171200	179139
138	1	179139	179139	179139
139	1	180955	175989	180955
140	1	183802	183802	186896
141	1	183954	178191	186896
142	1	184450	183802	186896
143	1	184641	183802	186896
144	1	184718	183802	186896
145	1	185296	183802	186896
146	1	185438	183802	186896
147	1	185469	183802	186896
148	1	185503	183802	186896
149	1	185705	183802	186896
150	1	185749	183802	186896
151	1	185806	183802	186896
152	1	185879	183802	186896
153	1	185916	183802	186896
154	1	185941	183802	186896
155	1	185954	183802	186896
156	1	186055	183802	186896
157	1	186896	183802	186896
158	1	187697	187697	187697
159	1	189392	189392	189416
160	1	189416	189392	189416
161	1	190132	190132	190169
162	1	190148	190132	190169
163	1	190165	190132	190169
164	1	190169	190132	190169
165	1	190933	190933	190933
166	1	192149	192149	192149
167	1	192302	192302	192305
168	1	192303	192302	192305
169	1	192305	192302	192305
170	1	192315	192315	192315
171	1	192795	192795	192795
172	1	194020	194020	194867
173	1	194187	194020	197392
174	1	194867	194020	197392
175	1	197325	194187	197392
176	1	197392	194187	197392
177	1	198857	198857	198857
178	1	206666	206666	206675
179	1	206675	206666	206675
180	1	223051	223051	223059
181	1	223059	223051	223059
182	2	7366	7366	7366
183	2	8180	8180	8180
184	2	8187	8187	8187
