SNP,SNP_marker,exact_pQTL_overlap,exact_eQTL_overlap,exact_both_overlap,colocal_pQTL_overlap,colocal_eQTL_overlap,colocal_both_overlap,Is_actual_piQTL
1,chr1:1025,False,False,False,False,False,False,False
2,chr1:1035,False,False,False,False,False,False,False
3,chr1:1074,True,False,False,True,False,False,False
4,chr1:1470,True,False,False,True,False,False,False
5,chr1:1475,False,False,False,False,False,False,False
6,chr1:1491,False,False,False,False,False,False,True
7,chr1:21249,False,False,False,False,False,False,False
8,chr1:27243,False,False,False,False,False,False,False
9,chr1:27272,False,False,False,False,False,False,False
10,chr1:27498,False,False,False,False,False,False,False
11,chr1:27561,True,False,False,True,False,False,False
12,chr1:27816,True,False,False,True,False,False,False
13,chr1:27822,True,False,False,True,False,False,False
14,chr1:27823,True,False,False,True,False,False,False
15,chr1:27825,True,False,False,True,False,False,False
16,chr1:27843,False,False,False,True,False,False,False
17,chr1:27848,False,False,False,True,False,False,False
18,chr1:28495,False,False,False,True,False,False,False
19,chr1:28975,False,False,False,True,False,False,False
20,chr1:29283,True,False,False,True,False,False,False
21,chr1:29752,False,False,False,False,False,False,False
22,chr1:29787,False,False,False,False,False,False,True
23,chr1:30057,False,False,False,False,False,False,False
24,chr1:30479,True,False,False,True,False,False,False
25,chr1:30706,False,False,False,False,False,False,False
26,chr1:31435,False,False,False,False,False,False,False
27,chr1:35128,False,True,False,False,True,False,False
28,chr1:35129,False,False,False,False,False,False,False
29,chr1:36146,True,False,False,True,False,False,False
30,chr1:37255,True,False,False,True,False,False,False
31,chr1:37409,False,False,False,False,True,False,False
32,chr1:37478,False,False,False,False,True,False,False
33,chr1:39144,False,True,False,False,True,False,False
34,chr1:41499,False,False,False,False,True,False,False
35,chr1:45359,False,False,False,False,False,False,False
36,chr1:45634,True,False,False,True,False,False,False
37,chr1:51248,False,False,False,False,True,False,False
38,chr1:51462,False,False,False,False,True,False,False
39,chr1:52124,False,True,False,False,True,False,False
40,chr1:52667,False,False,False,False,True,False,False
41,chr1:55470,False,False,False,False,True,False,False
42,chr1:59265,False,False,False,False,True,False,False
43,chr1:60165,False,False,False,False,True,False,False
44,chr1:62308,False,False,False,False,True,False,False
45,chr1:62869,False,True,False,False,True,False,False
46,chr1:65431,False,False,False,False,True,False,False
47,chr1:65451,False,False,False,False,True,False,False
48,chr1:65719,False,False,False,False,True,False,False
49,chr1:66841,False,False,False,False,True,False,False
50,chr1:66948,False,False,False,False,True,False,False
51,chr1:68621,False,False,False,False,True,False,True
52,chr1:69417,False,False,False,False,True,False,False
53,chr1:69820,False,False,False,False,False,False,False
54,chr1:69821,True,False,False,True,False,False,False
55,chr1:70906,True,False,False,True,False,False,False
56,chr1:74327,False,True,False,False,True,False,False
57,chr1:74572,False,False,False,False,True,False,False
58,chr1:75211,False,False,False,False,True,False,False
59,chr1:76030,False,True,False,False,True,False,False
60,chr1:80108,False,False,False,False,True,False,False
61,chr1:81262,False,True,False,False,True,False,False
62,chr1:81999,False,True,False,False,True,False,False
63,chr1:82431,False,False,False,False,True,False,False
64,chr1:83284,False,True,False,True,True,True,False
65,chr1:83613,False,False,False,True,True,True,False
