SNP_marker,chr,pos
chr1:33040,1,33040
chr1:33048,1,33048
chr1:33070,1,33070
chr1:33077,1,33077
chr1:33147,1,33147
chr1:33152,1,33152
chr1:33200,1,33200
chr1:33293,1,33293
chr1:33328,1,33328
chr1:33347,1,33347
chr1:33403,1,33403
chr1:33502,1,33502
chr1:33548,1,33548
chr1:33612,1,33612
chr1:33892,1,33892
chr1:33996,1,33996
chr1:34170,1,34170
chr1:34308,1,34308
chr1:34515,1,34515
chr1:34554,1,34554
chr1:34991,1,34991
chr1:35070,1,35070
chr1:35128,1,35128
chr1:35466,1,35466
chr1:35508,1,35508
chr1:35514,1,35514
chr1:35565,1,35565
chr1:35568,1,35568
chr1:35668,1,35668
chr1:35736,1,35736
chr1:35751,1,35751
chr1:35796,1,35796
chr1:35818,1,35818
chr1:35970,1,35970
chr1:36005,1,36005
chr1:36048,1,36048
chr1:36123,1,36123
chr1:36146,1,36146
chr1:36160,1,36160
chr1:36313,1,36313
chr1:36436,1,36436
chr1:36524,1,36524
chr1:36574,1,36574
chr1:36637,1,36637
chr1:36898,1,36898
chr1:37008,1,37008
chr1:37019,1,37019
chr1:37069,1,37069
chr1:37255,1,37255
chr1:37294,1,37294
chr1:37315,1,37315
chr1:37330,1,37330
chr1:37409,1,37409
chr1:37478,1,37478
chr1:37553,1,37553
chr1:37595,1,37595
chr1:37976,1,37976
chr1:38120,1,38120
chr1:38236,1,38236
chr1:38361,1,38361
chr1:38490,1,38490
chr1:38504,1,38504
chr1:38508,1,38508
chr1:38524,1,38524
chr1:38533,1,38533
chr1:38657,1,38657
chr1:38689,1,38689
chr1:38888,1,38888
chr1:38980,1,38980
chr1:39009,1,39009
chr1:39105,1,39105
chr1:39123,1,39123
chr1:39144,1,39144
chr1:39162,1,39162
chr1:39795,1,39795
chr1:39901,1,39901
chr1:39919,1,39919
chr1:39920,1,39920
chr1:39963,1,39963
chr1:40064,1,40064
chr1:40237,1,40237
chr1:40380,1,40380
chr1:40860,1,40860
chr1:40866,1,40866
chr1:40914,1,40914
chr1:41278,1,41278
chr1:41475,1,41475
chr1:41481,1,41481
chr1:41499,1,41499
chr1:41587,1,41587
chr1:41736,1,41736
chr1:41739,1,41739
chr1:41802,1,41802
chr1:41883,1,41883
chr1:41906,1,41906
chr1:41987,1,41987
chr1:42115,1,42115
chr1:42257,1,42257
chr1:42484,1,42484
chr1:42527,1,42527
chr1:42554,1,42554
chr1:42562,1,42562
chr1:42590,1,42590
chr1:42629,1,42629
chr1:42635,1,42635
chr1:42684,1,42684
chr1:43004,1,43004
chr1:43137,1,43137
chr1:43478,1,43478
chr1:43565,1,43565
chr1:43691,1,43691
chr1:43784,1,43784
chr1:44384,1,44384
chr1:44588,1,44588
chr1:44675,1,44675
chr1:44891,1,44891
chr1:44935,1,44935
chr1:45024,1,45024
chr1:45030,1,45030
chr1:45198,1,45198
chr1:45431,1,45431
chr1:45522,1,45522
chr1:45634,1,45634
chr1:45831,1,45831
chr1:46030,1,46030
chr1:46375,1,46375
chr1:46723,1,46723
chr1:46837,1,46837
chr1:46846,1,46846
chr1:46894,1,46894
chr1:46912,1,46912
chr1:46966,1,46966
chr1:47044,1,47044
chr1:47206,1,47206
chr1:47518,1,47518
chr1:47660,1,47660
chr1:47690,1,47690
chr1:47896,1,47896
chr1:48115,1,48115
chr1:48286,1,48286
chr1:48751,1,48751
chr1:48815,1,48815
chr1:48890,1,48890
chr1:49103,1,49103
chr1:49114,1,49114
chr1:49247,1,49247
chr1:49403,1,49403
chr1:49589,1,49589
chr1:49871,1,49871
chr1:50024,1,50024
