SNP_marker,chr,pos,start,end
chr1:1074,1,1074,1074,1074
chr1:1470,1,1470,1470,1470
chr1:27561,1,27561,27561,27561
chr1:27816,1,27816,27816,31435
chr1:27822,1,27822,27816,31435
chr1:27823,1,27823,27816,31435
chr1:27825,1,27825,27816,31435
chr1:29283,1,29283,29283,29283
chr1:30479,1,30479,30479,30479
chr1:36146,1,36146,28495,41499
chr1:37255,1,37255,36146,37478
chr1:45634,1,45634,45634,45634
chr1:69821,1,69821,69821,69821
chr1:70906,1,70906,70906,70906
chr1:84701,1,84701,83284,89616
chr1:87445,1,87445,83284,93789
chr1:112742,1,112742,112549,114628
chr1:113050,1,113050,112549,114628
chr1:113135,1,113135,112549,114628
chr1:128911,1,128911,127853,128911
chr1:185469,1,185469,183802,186896
chr1:185954,1,185954,183802,186896
chr1:186896,1,186896,183802,186896
chr1:187697,1,187697,187697,187697
chr1:190148,1,190148,190132,190169
chr1:197325,1,197325,194187,197392
chr1:206666,1,206666,206666,206675
chr2:9418,2,9418,9418,9418
chr2:9812,2,9812,8250,28209
chr2:10135,2,10135,8250,28209
chr2:24341,2,24341,8250,28695
chr2:59755,2,59755,59755,59755
chr2:61071,2,61071,50915,67976
chr2:61675,2,61675,50915,67976
chr2:79931,2,79931,79931,87849
chr2:84412,2,84412,84412,84412
chr2:93952,2,93952,80873,103188
chr2:119246,2,119246,119244,123100
chr2:119247,2,119247,119244,123100
chr2:128935,2,128935,123100,136173
chr2:133943,2,133943,133355,136173
chr2:135925,2,135925,127887,141545
chr2:140863,2,140863,133355,147946
chr2:145823,2,145823,138209,147946
chr2:145980,2,145980,138318,150394
chr2:161229,2,161229,159870,165675
chr2:161451,2,161451,161451,161451
chr2:164166,2,164166,161229,169651
chr2:165270,2,165270,161229,171254
chr2:165675,2,165675,161229,171254
chr2:168012,2,168012,164166,171254
chr2:184146,2,184146,182758,192390
chr2:191599,2,191599,182758,192390
chr2:195759,2,195759,195759,204179
chr2:197598,2,197598,197598,197598
chr2:205965,2,205965,196912,215016
chr2:207561,2,207561,196912,215016
chr2:210102,2,210102,198110,215016
chr2:218876,2,218876,215016,252305
chr2:258311,2,258311,252305,268086
chr2:279910,2,279910,274614,287187
chr2:283431,2,283431,274614,287187
chr2:283573,2,283573,274614,288379
chr2:286762,2,286762,274614,288379
chr2:296073,2,296073,294941,301710
chr2:296082,2,296082,294941,301710
chr2:296198,2,296198,296198,296198
chr2:299680,2,299680,294941,304691
chr2:309402,2,309402,308097,312659
chr2:340466,2,340466,333006,340466
chr2:342440,2,342440,342440,342440
chr2:344347,2,344347,344347,350086
chr2:369788,2,369788,369788,369788
