protein	commonName	pVal	beta	isQtn	index	chr	pos	dist	cis_trans	abs_beta
YML086C	ALO1	6.352795785	0.166723487	1	1389	4	143484	inf	trans	0.166723487
YML086C	ALO1	5.814084334	-0.157667698	0	11017	15	1044946	inf	trans	0.157667698
YHR007C	ERG11; CYP51	12.95814839	0.224675176	0	4974	8	122014	336.0	cis	0.224675176
YHR007C	ERG11; CYP51	10.61130778	-0.201939835	0	11678	16	572250	inf	trans	0.201939835
YHR007C	ERG11; CYP51	5.894677061	0.150711813	0	8681	13	345749	inf	trans	0.150711813
YDL160C	DHH1	8.96614385	0.188251664	0	6007	10	61708	inf	trans	0.188251664
YDL160C	DHH1	8.170651371	-0.257267824	1	3284	5	510020	inf	trans	0.257267824
YDL160C	DHH1	6.091318247	-0.304251972	0	6610	11	2737	inf	trans	0.304251972
YDL160C	DHH1	5.785726659	0.158809004	0	3661	6	62990	inf	trans	0.158809004
YDL160C	DHH1	5.157993708	0.156701701	0	10179	15	165912	inf	trans	0.156701701
YDL160C	DHH1	4.711770931	-0.133285592	0	436	2	296082	inf	trans	0.133285592
YDL160C	DHH1	4.697631224	0.132176623	1	566	2	446471	inf	trans	0.132176623
YDL160C	DHH1	4.556470222	0.128290047	0	2475	4	1242195	1070264.0	trans	0.128290047
YLR100W	ERG27	6.66519369	-0.3465677	0	844	2	780425	inf	trans	0.3465677
YLR100W	ERG27	6.467230713	-0.157786529	0	10197	15	180978	inf	trans	0.157786529
YLR100W	ERG27	5.484845364	0.282835086	0	7220	11	457834	inf	trans	0.282835086
YIR037W	HYR1	10.86397432	0.255406114	1	10198	15	181071	inf	trans	0.255406114
YIR037W	HYR1	6.294152406	0.259605778	0	1891	4	584486	inf	trans	0.259605778
YIL070C	MAM33	18.06247822	0.277965242	1	10191	15	171671	inf	trans	0.277965242
YIL070C	MAM33	15.72621266	0.228932251	1	5612	9	139216	91053.0	trans	0.228932251
YIL070C	MAM33	10.10506552	0.176974393	0	10992	15	1014707	inf	trans	0.176974393
YIL070C	MAM33	7.726288227	-0.157500948	1	8670	13	333904	inf	trans	0.157500948
YIL070C	MAM33	6.115580641	0.135041115	0	11696	16	586856	inf	trans	0.135041115
YIL070C	MAM33	5.673048368	0.130125452	1	7975	12	568017	inf	trans	0.130125452
YIL070C	MAM33	5.348623314	-0.126370235	0	5496	9	70145	160124.0	trans	0.126370235
YIL070C	MAM33	5.232000684	-0.321048774	0	4825	7	1048545	inf	trans	0.321048774
YIL070C	MAM33	4.469342298	-0.113741976	0	1187	3	285659	inf	trans	0.113741976
YIL070C	MAM33	4.330628303	0.10890698	1	5170	8	324043	inf	trans	0.10890698
YIL070C	MAM33	4.287063012	0.110078242	0	1142	3	247158	inf	trans	0.110078242
YIL070C	MAM33	4.143304103	-0.113633552	0	7097	11	335215	inf	trans	0.113633552
YMR105C	PGM2	24.51825882	0.326199295	0	10191	15	171671	inf	trans	0.326199295
YMR105C	PGM2	11.47039776	0.190790021	1	11680	16	572345	inf	trans	0.190790021
YMR105C	PGM2	7.440246632	0.150330054	0	3669	6	71471	inf	trans	0.150330054
YMR105C	PGM2	7.390822317	0.149215797	0	9478	14	318991	inf	trans	0.149215797
YMR105C	PGM2	6.282435299	0.14101616	0	8787	13	475855	41.0	cis	0.14101616
YMR105C	PGM2	5.594488256	-0.158268932	0	2981	5	132221	inf	trans	0.158268932
YMR105C	PGM2	5.428755151	-0.16605839	0	8461	13	60008	415888.0	trans	0.16605839
YMR105C	PGM2	4.555022491	-0.125994705	0	6263	10	416078	inf	trans	0.125994705
YMR120C	ADE17	70.69028148	0.648153314	0	8815	13	509480	201.0	cis	0.648153314
YMR120C	ADE17	8.551870341	0.197582379	1	8819	13	510968	1689.0	trans	0.197582379
YMR120C	ADE17	8.317484175	0.236755732	1	8184	12	832184	inf	trans	0.236755732
YMR120C	ADE17	6.75149421	-0.110732757	0	10190	15	171150	inf	trans	0.110732757
YMR120C	ADE17	5.010515436	-0.177395616	0	8182	12	829993	inf	trans	0.177395616
YMR120C	ADE17	4.86849207	0.503418026	0	6597	10	745571	inf	trans	0.503418026
YMR120C	ADE17	4.516060284	-0.081116185	0	1529	4	268855	inf	trans	0.081116185
YCL037C	SRO9	10.4146149	-0.224974019	1	10195	15	179652	inf	trans	0.224974019
YCL037C	SRO9	6.31952595	-0.334164656	1	8986	13	667202	inf	trans	0.334164656
YCL037C	SRO9	6.26592347	0.391864679	0	4207	7	412630	inf	trans	0.391864679
YCL037C	SRO9	5.86943359	-0.145893776	0	2478	4	1246177	inf	trans	0.145893776
YCL037C	SRO9	5.493192764	0.160860884	0	8503	13	82403	inf	trans	0.160860884
YCL037C	SRO9	5.211424336	0.364209655	0	2181	4	877783	inf	trans	0.364209655
YBR283C	SSH1	7.925842234	-0.195957738	0	10197	15	180978	inf	trans	0.195957738
YBR283C	SSH1	5.440427351	-0.138378939	1	5620	9	146928	inf	trans	0.138378939
YBR283C	SSH1	5.244950816	-0.149283532	1	6088	10	189030	inf	trans	0.149283532
YBR283C	SSH1	4.862323684	0.168725004	1	8457	13	55098	inf	trans	0.168725004
YBR283C	SSH1	4.816366829	-0.136317876	0	13	1	27822	inf	trans	0.136317876
YBR283C	SSH1	4.610381228	0.129845705	0	7593	12	182813	inf	trans	0.129845705
