SNP	beta	abs_beta	PPI	DRUG	LD050_ID	cis_PPI_genes	cis_trans
10214	-0.666932777	0.666932777	['ADE17', 'GIS2']	5-FC	LD050_2083		trans
10220	-0.556715619	0.556715619	['ADE17', 'GIS2']	5-FC	LD050_2086		trans
10224	-0.598979546	0.598979546	['ADE17', 'GIS2']	5-FC	LD050_2088		trans
7078	0.488152931	0.488152931	['ADE17', 'GIS2']	Fluconazole	LD050_1460		trans
11910	-0.44568902	0.44568902	['ADE17', 'GIS2']	Fluconazole	LD050_2418		trans
4647	-0.789097954	0.789097954	['ADE17', 'GIS2']	Metformin	LD050_989		trans
2275	0.511965796	0.511965796	['ADE17', 'GIS2']	noDrug	LD050_512		trans
3745	-0.53733216	0.53733216	['ADE17', 'HYR1']	Fluconazole	LD050_778		trans
7076	0.467677297	0.467677297	['ADE17', 'HYR1']	Fluconazole	LD050_1460		trans
649	0.488727156	0.488727156	['ADE17', 'HYR1']	Metformin	LD050_152		trans
2274	0.481486897	0.481486897	['ADE17', 'HYR1']	Metformin	LD050_512		trans
649	0.628891311	0.628891311	['ADE17', 'HYR1']	noDrug	LD050_152		trans
1096	-0.512281313	0.512281313	['ADE17', 'PGM2']	5-FC	LD050_293		trans
1103	-0.551042652	0.551042652	['ADE17', 'PGM2']	5-FC	LD050_294		trans
10190	-0.58077282	0.58077282	['ADE17', 'PGM2']	5-FC	LD050_2078		trans
10212	-0.632015084	0.632015084	['ADE17', 'PGM2']	5-FC	LD050_2082		trans
4893	0.642006069	0.642006069	['ADE17', 'PGM2']	Fluconazole	LD050_1042		trans
11918	-0.645895206	0.645895206	['ADE17', 'PGM2']	Fluconazole	LD050_2421		trans
11921	-0.462008284	0.462008284	['ADE17', 'PGM2']	Fluconazole	LD050_2422		trans
11928	-0.435472055	0.435472055	['ADE17', 'PGM2']	Fluconazole	LD050_2424		trans
82	-0.413688959	0.413688959	['ADE17', 'PGM2']	Metformin	LD050_29		trans
1093	-0.536330161	0.536330161	['ADE17', 'PGM2']	Metformin	LD050_291		trans
1095	-0.563615368	0.563615368	['ADE17', 'PGM2']	Metformin	LD050_293		trans
1099	-0.528173743	0.528173743	['ADE17', 'PGM2']	Metformin	LD050_294		trans
