SNP,PPI,DRUG,eQTL_gene,eQTL_gene_id,Chromosome,piQTL_peak,piQTL_left,piQTL_right,eQTL_peak,eQTL_left,eQTL_right,piQTL_EFFECTSIZE,piQTL_pvalue,piQTL_FDR,eQTL_LOD,eQTL_gene_dist,eQTL_cis,peak_distance,is_piQTL_peak_in_eQTL,is_eQTL_peak_in_piQTL,eQTL_gene_description,piQTL_locus_id,piQTL_locus_gene,piQTL_locus_description
598,PLM2_HNM1,Fluconazole,MRX3,YBL095W,Chr2,476732,464424,477508,476732,451599,536426,-0.655866383,4.960954871,0.003518595,3.743681621,407309.0,False,0,True,True,"""Protein that associates with mitochondrial ribosome; likely functions in cristae junction formation; the authentic ; non-tagged protein is detected in highly purified mitochondria in high-throughput studies""",SUT018,,ncRNA_STM
598,PLM2_HNM1,Fluconazole,ASK10,YGR097W,Chr2,476732,464424,477508,476732,376186,480674,-0.655866383,4.960954871,0.003518595,7.665491962,,False,0,True,True,"""Regulator of the Fps1p glycerol channel; under nonstress conditions ; binds to Fps1p to positively regulate glycerol transport; under osmotic stress ; multiple phosphorylation by Hog1p causes Ask10p to dissociate from Fps1p; forms homodimers and heterodimerizes with paralog Rgc1p; phosphorylated in response to oxidative stress; has a role in destruction of Ssn8p; associates with RNA polymerase II holoenzyme""",SUT018,,ncRNA_STM
779,ERV25_ORM2,Trifluoperazine,ATG41,YPL250C,Chr2,707848,705106,712761,707848,705106,741554,-0.449284435,3.838144497,0.036900398,3.548899239,,False,0,True,True,"""Protein of unknown function; required for selective and nonselective autophagy ; and mitophagy; regulates the rate of autophagosome formation; interacts with Atg9p ; and has a similar peri-mitochondrial localization; elevated Gcn4p-dependent expression under autophagy-inducing conditions; mobilized into polysomes upon a shift from a fermentable to nonfermentable carbon source; potential Cdc28p substrate; ATG41 has a paralog ; ICY1 ; that arose from the whole genome duplication""",YBR244W,GPX2,"""Phospholipid hydroperoxide glutathione peroxidase; protects cells from phospholipid hydroperoxides and nonphospholipid peroxides during oxidative stress; induced by glucose starvation; protein abundance increases in response to DNA replication stress"""
779,RET2_EMP70,5-FC,ATG41,YPL250C,Chr2,707848,705106,712761,707848,705106,741554,-0.446317665,4.277654238,0.01524424,3.548899239,,False,0,True,True,"""Protein of unknown function; required for selective and nonselective autophagy ; and mitophagy; regulates the rate of autophagosome formation; interacts with Atg9p ; and has a similar peri-mitochondrial localization; elevated Gcn4p-dependent expression under autophagy-inducing conditions; mobilized into polysomes upon a shift from a fermentable to nonfermentable carbon source; potential Cdc28p substrate; ATG41 has a paralog ; ICY1 ; that arose from the whole genome duplication""",YBR244W,GPX2,"""Phospholipid hydroperoxide glutathione peroxidase; protects cells from phospholipid hydroperoxides and nonphospholipid peroxides during oxidative stress; induced by glucose starvation; protein abundance increases in response to DNA replication stress"""
779,RET2_SNA3,5-FC,ATG41,YPL250C,Chr2,707848,705106,712761,707848,705106,741554,-0.438358233,3.871133996,0.034591845,3.548899239,,False,0,True,True,"""Protein of unknown function; required for selective and nonselective autophagy ; and mitophagy; regulates the rate of autophagosome formation; interacts with Atg9p ; and has a similar peri-mitochondrial localization; elevated Gcn4p-dependent expression under autophagy-inducing conditions; mobilized into polysomes upon a shift from a fermentable to nonfermentable carbon source; potential Cdc28p substrate; ATG41 has a paralog ; ICY1 ; that arose from the whole genome duplication""",YBR244W,GPX2,"""Phospholipid hydroperoxide glutathione peroxidase; protects cells from phospholipid hydroperoxides and nonphospholipid peroxides during oxidative stress; induced by glucose starvation; protein abundance increases in response to DNA replication stress"""
798,ERV25_ORM2,5-FC,ERG13,YML126C,Chr2,723281,722169,723281,723281,705106,737571,-0.476860796,4.12167149,0.021006684,3.523789666,,False,0,True,True,"""3-hydroxy-3-methylglutaryl-CoA (HMG-CoA) synthase; catalyzes the formation of HMG-CoA from acetyl-CoA and acetoacetyl-CoA; involved in the second step in mevalonate biosynthesis""",YBR253W,SRB6,"""Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation"""
798,ERV25_ORM2,5-FC,MNC1,YBR056W-A,Chr2,723281,722169,723281,723281,653876,737571,-0.476860796,4.12167149,0.021006684,5.428588941,302220.0,False,0,True,True,"""Putative membrane protein upregulated in toxic manganese levels; mRNA identified as translated by ribosome profiling data; partially overlaps dubious ORF YBR056C-B; YBR056W-A has a paralog ; YDR034W-B ; that arose from the whole genome duplication""",YBR253W,SRB6,"""Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation"""
797,ERV25_ORM2,Trifluoperazine,KSH1,YNL024C-A,Chr2,722169,722169,723281,722169,707848,737571,-0.449361214,3.880591215,0.033954179,3.596974359,,False,0,True,True,"""Essential protein suggested to function early in the secretory pathway; inviability is suppressed by overexpression of Golgi protein Tvp23p; SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum and cytosol respectively; ortholog of human Kish""",YBR251W,MRPS5,"""Mitochondrial ribosomal protein of the small subunit"""
1097,ADE17_PGM2,Trifluoperazine,CHA1,YCL064C,Chr3,204897,203261,204903,204897,188904,211772,-0.695476542,6.5091007,0.000116297,6.389998844,171023.0,False,0,True,True,"""Catabolic L-serine (L-threonine) deaminase; catalyzes the degradation of both L-serine and L-threonine; required to use serine or threonine as the sole nitrogen source ; transcriptionally induced by serine and threonine""",YCR042C,TAF2,"""TFIID subunit (150 kDa); involved in RNA polymerase II transcription initiation"""
1097,ADE17_PGM2,Trifluoperazine,TMA20,YER007C-A,Chr3,204897,203261,204903,204897,187932,209941,-0.695476542,6.5091007,0.000116297,4.092765257,,False,0,True,True,"""Protein of unknown function that associates with ribosomes; has a putative RNA binding domain; interacts with Tma22p; null mutant exhibits translation defects; has homology to human oncogene MCT-1; protein abundance increases in response to DNA replication stress""",YCR042C,TAF2,"""TFIID subunit (150 kDa); involved in RNA polymerase II transcription initiation"""
1097,ADE17_PGM2,Trifluoperazine,IXR1,YKL032C,Chr3,204897,203261,204903,204897,131280,209941,-0.695476542,6.5091007,0.000116297,4.501750777,,False,0,True,True,"""Transcriptional repressor that regulates hypoxic genes during normoxia; involved in the aerobic repression of genes such as COX5b ; TIR1 ; and HEM13; binds DNA intrastrand cross-links formed by cisplatin; HMG (high mobility group box) domain containing protein which binds and bends cisplatin-modified DNA ; blocking excision repair; IXR1 has a paralog ; ABF2 ; that arose from the whole genome duplication""",YCR042C,TAF2,"""TFIID subunit (150 kDa); involved in RNA polymerase II transcription initiation"""
1097,ADE17_PGM2,Trifluoperazine,RIC1,YLR039C,Chr3,204897,203261,204903,204897,162361,211881,-0.695476542,6.5091007,0.000116297,4.784997168,,False,0,True,True,"""Protein involved in retrograde transport to the cis-Golgi network; forms heterodimer with Rgp1p that acts as a GTP exchange factor for Ypt6p; involved in transcription of rRNA and ribosomal protein genes""",YCR042C,TAF2,"""TFIID subunit (150 kDa); involved in RNA polymerase II transcription initiation"""
1097,ADE17_PGM2,Trifluoperazine,PEX9,YMR018W,Chr3,204897,203261,204903,204897,163856,226510,-0.695476542,6.5091007,0.000116297,7.096930826,,False,0,True,True,"""Peroxisomal membrane signal receptor for peroxisomal matrix proteins; oleate-inducible condition-specific import receptor for a subset of PTS1-containing matrix proteins; localizes to both the cytosol and the peroxisomal membrane; similar to human PEX5Rp ; a peroxin protein 5 related protein; paralog of Pex5p""",YCR042C,TAF2,"""TFIID subunit (150 kDa); involved in RNA polymerase II transcription initiation"""
1097,ADE17_PGM2,Trifluoperazine,ALF1,YNL148C,Chr3,204897,203261,204903,204897,178367,209941,-0.695476542,6.5091007,0.000116297,11.00772084,,False,0,True,True,"""Alpha-tubulin folding protein; similar to mammalian cofactor B; Alf1p-GFP localizes to cytoplasmic microtubules; required for the folding of alpha-tubulin and may play an additional role in microtubule maintenance""",YCR042C,TAF2,"""TFIID subunit (150 kDa); involved in RNA polymerase II transcription initiation"""
1097,ADE17_PGM2,Trifluoperazine,TGL5,YOR081C,Chr3,204897,203261,204903,204897,70158,211772,-0.695476542,6.5091007,0.000116297,3.978599024,,False,0,True,True,"""Bifunctional triacylglycerol lipase and LPA acyltransferase; lipid particle-localized triacylglycerol (TAG) lipase involved in triacylglycerol mobilization; catalyzes acylation of lysophosphatidic acid (LPA); potential Cdc28p substrate; TGL5 has a paralog ; TGL4 ; that arose from the whole genome duplication""",YCR042C,TAF2,"""TFIID subunit (150 kDa); involved in RNA polymerase II transcription initiation"""
1097,ADE17_PGM2,Trifluoperazine,VAR1,Q0140,Chr3,204897,203261,204903,204897,198164,211772,-0.695476542,6.5091007,0.000116297,10.6559539,,False,0,True,True,"""Mitochondrial ribosomal protein of the small subunit; mitochondrially-encoded; polymorphic in different strains due to variation in number of AAT (asparagine) codons; translated near the mitochondrial inner membrane; may have a role in loss of mitochondrial DNA under stress conditions""",YCR042C,TAF2,"""TFIID subunit (150 kDa); involved in RNA polymerase II transcription initiation"""
2274,ADE17_HYR1,Metformin,TCB2,YNL087W,Chr4,956734,956734,969630,956734,628582,998628,0.481486897,4.487451373,0.00976479,5.820096507,,False,0,True,True,"""ER protein involved in ER-plasma membrane tethering; one of 6 proteins (Ist2p ; Scs2p ; Scs22p ; Tcb1p ; Tcb2p ; Tcb3p) that connect ER to plasma membrane (PM) and regulate PM phosphatidylinositol-4-phosphate (PI4P) levels by controlling access of Sac1p phosphatase to its substrate PI4P in the PM; contains 3 calcium and lipid binding domains; mRNA is targeted to bud; TCB2 has a paralog ; TCB1 ; that arose from the whole genome duplication""",YDR247W,VHS1,"""Cytoplasmic serine/threonine protein kinase; identified as a high-copy suppressor of the synthetic lethality of a sis2 sit4 double mutant ; suggesting a role in G1/S phase progression; VHS1 has a paralog ; SKS1 ; that arose from the whole genome duplication"""
2274,ADE17_HYR1,Metformin,MOD5,YOR274W,Chr4,956734,956734,969630,956734,941063,980835,0.481486897,4.487451373,0.00976479,6.769428725,,False,0,True,True,"""Delta 2-isopentenyl pyrophosphate:tRNA isopentenyl transferase; required for biosynthesis of isopentenyladenosine in mitochondrial and cytoplasmic tRNAs; also has a role in tRNA gene-mediated silencing; gene encodes two isozymic forms; converts to a prion form ; prion conversion contributes to azole antifungal resistance by upregulating ergosterol biosynthesis; homolog of human TRIT1 ; a mutation in which is associated with severe combined respiratory chain defects""",YDR247W,VHS1,"""Cytoplasmic serine/threonine protein kinase; identified as a high-copy suppressor of the synthetic lethality of a sis2 sit4 double mutant ; suggesting a role in G1/S phase progression; VHS1 has a paralog ; SKS1 ; that arose from the whole genome duplication"""
2274,ADE17_HYR1,Metformin,YDR338C,YDR338C,Chr4,956734,956734,969630,956734,212608,1011970,0.481486897,4.487451373,0.00976479,3.53201924,135208.0,False,0,True,True,"""Putative protein of unknown function; member of the multi-drug and toxin extrusion (MATE) family of the multidrug/oligosaccharidyl-lipid/polysaccharide (MOP) exporter superfamily""",YDR247W,VHS1,"""Cytoplasmic serine/threonine protein kinase; identified as a high-copy suppressor of the synthetic lethality of a sis2 sit4 double mutant ; suggesting a role in G1/S phase progression; VHS1 has a paralog ; SKS1 ; that arose from the whole genome duplication"""
2274,ADE17_HYR1,Metformin,YMR265C,YMR265C,Chr4,956734,956734,969630,956734,934187,998628,0.481486897,4.487451373,0.00976479,4.073300557,,False,0,True,True,"""Putative protein of unknown function""",YDR247W,VHS1,"""Cytoplasmic serine/threonine protein kinase; identified as a high-copy suppressor of the synthetic lethality of a sis2 sit4 double mutant ; suggesting a role in G1/S phase progression; VHS1 has a paralog ; SKS1 ; that arose from the whole genome duplication"""
2274,ADE17_HYR1,Metformin,YPL245W,YPL245W,Chr4,956734,956734,969630,956734,51735,996583,0.481486897,4.487451373,0.00976479,3.56189619,,False,0,True,True,"""Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to both the nucleus and the cytoplasm""",YDR247W,VHS1,"""Cytoplasmic serine/threonine protein kinase; identified as a high-copy suppressor of the synthetic lethality of a sis2 sit4 double mutant ; suggesting a role in G1/S phase progression; VHS1 has a paralog ; SKS1 ; that arose from the whole genome duplication"""
