,Uniprot_InteractorA,Uniprot_InteractorB,Confidence.value.s.,InteractorA,InteractorB
15,uniprotkb:P04147,uniprotkb:P53297,intact-miscore:0.37,YER165W,YGR178C
18,uniprotkb:P32486,uniprotkb:P04147,intact-miscore:0.37,YPR159W,YER165W
340,uniprotkb:P25651,uniprotkb:P32582,intact-miscore:0.37,YCR086W,YGR155W
604,uniprotkb:P47122,uniprotkb:P34167,intact-miscore:0.37,YJR072C,YPR163C
719,uniprotkb:P25344,uniprotkb:Q12335,intact-miscore:0.37,YCL032W,YDR032C
740,uniprotkb:P32486,uniprotkb:P43614,intact-miscore:0.37,YPR159W,YFR042W
898,uniprotkb:P22224,uniprotkb:P29366,intact-miscore:0.37,YGL233W,YBR200W
1032,uniprotkb:P14359,uniprotkb:Q12446,intact-miscore:0.37,YJL151C,YOR181W
1217,uniprotkb:P45976,uniprotkb:P25344,intact-miscore:0.37,YJR093C,YCL032W
1218,uniprotkb:P18494,uniprotkb:P25344,intact-miscore:0.37,YER040W,YCL032W
1219,uniprotkb:Q06592,uniprotkb:P25344,intact-miscore:0.37,YPR193C,YCL032W
1220,uniprotkb:Q99383,uniprotkb:P25344,intact-miscore:0.37,YOL123W,YCL032W
1221,uniprotkb:P39520,uniprotkb:P25344,intact-miscore:0.37,YLR223C,YCL032W
1222,uniprotkb:Q03503,uniprotkb:P25344,intact-miscore:0.37,YPR051W,YCL032W
1223,uniprotkb:Q04149,uniprotkb:P25344,intact-miscore:0.37,YDR386W,YCL032W
1224,uniprotkb:Q08214,uniprotkb:P25344,intact-miscore:0.37,YOL043C,YCL032W
1225,uniprotkb:P32854,uniprotkb:P25344,intact-miscore:0.37,YOR036W,YCL032W
1226,uniprotkb:P53437,uniprotkb:P25344,intact-miscore:0.37,YMR270C,YCL032W
1227,uniprotkb:P39955,uniprotkb:P25344,intact-miscore:0.37,YER047C,YCL032W
1228,uniprotkb:P22224,uniprotkb:P25344,intact-miscore:0.37,YGL233W,YCL032W
1229,uniprotkb:P54999,uniprotkb:P25344,intact-miscore:0.37,YPR182W,YCL032W
1230,uniprotkb:P39723,uniprotkb:P25344,intact-miscore:0.37,YAL047C,YCL032W
1231,uniprotkb:P47822,uniprotkb:P25344,intact-miscore:0.37,YDR308C,YCL032W
1232,uniprotkb:Q04048,uniprotkb:P25344,intact-miscore:0.37,YDR416W,YCL032W
1233,uniprotkb:P32610,uniprotkb:P25344,intact-miscore:0.37,YEL051W,YCL032W
1234,uniprotkb:P32563,uniprotkb:P25344,intact-miscore:0.37,YOR270C,YCL032W
1235,uniprotkb:P25344,uniprotkb:Q02948,intact-miscore:0.37,YCL032W,YPL120W
1236,uniprotkb:P25649,uniprotkb:P25344,intact-miscore:0.37,YCR082W,YCL032W
1237,uniprotkb:Q12115,uniprotkb:P25344,intact-miscore:0.37,YDL016C,YCL032W
1238,uniprotkb:Q07732,uniprotkb:P25344,intact-miscore:0.37,YDL239C,YCL032W
1239,uniprotkb:P35727,uniprotkb:P25344,intact-miscore:0.37,YKL061W,YCL032W
1240,uniprotkb:P36116,uniprotkb:P25344,intact-miscore:0.37,YKR020W,YCL032W
1241,uniprotkb:Q07887,uniprotkb:P25344,intact-miscore:0.37,YLL049W,YCL032W
