SNP_marker,chr,pos,start,end
chr1:33040,1,33040,33040,56904
chr1:33040,1,33040,33040,55688
chr1:33040,1,33040,33040,68621
chr1:33040,1,33040,33040,74572
chr1:33040,1,33040,33040,35128
chr1:33293,1,33293,33040,34170
chr1:33293,1,33293,33040,58073
chr1:33293,1,33293,33040,81442
chr1:34170,1,34170,33040,60165
chr1:34170,1,34170,33040,71601
chr1:34170,1,34170,33040,56904
chr1:34554,1,34554,33040,56904
chr1:35128,1,35128,33293,56904
chr1:35466,1,35466,33040,179578
chr1:35466,1,35466,33040,59496
chr1:35466,1,35466,33040,107538
chr1:35466,1,35466,33040,58073
chr1:35818,1,35818,35128,36637
chr1:35818,1,35818,33040,93789
chr1:35818,1,35818,33040,55688
chr1:35818,1,35818,33040,56904
chr1:35818,1,35818,33040,70905
chr1:37008,1,37008,33040,58073
chr1:37008,1,37008,33040,59496
chr1:37008,1,37008,33040,55171
chr1:37008,1,37008,33040,60912
chr1:37008,1,37008,33040,179397
chr1:37976,1,37976,33040,64483
chr1:37976,1,37976,33040,55171
chr1:38508,1,38508,33040,51434
chr1:38508,1,38508,33293,54175
chr1:38888,1,38888,33040,68621
chr1:38888,1,38888,33040,60912
chr1:39144,1,39144,33293,48815
chr1:39144,1,39144,33293,54175
chr1:39162,1,39162,39162,39162
chr1:39162,1,39162,35128,52858
chr1:39162,1,39162,35128,55688
chr1:39162,1,39162,33293,52124
chr1:39162,1,39162,33040,173845
chr1:39795,1,39795,33040,54175
chr1:39795,1,39795,33040,60912
chr1:39795,1,39795,33293,60912
chr1:39795,1,39795,33040,52124
chr1:39795,1,39795,35128,52858
chr1:39901,1,39901,33040,59496
chr1:39901,1,39901,36898,40860
chr1:39901,1,39901,33040,58073
chr1:39901,1,39901,33040,166222
chr1:39901,1,39901,37008,52124
chr1:39901,1,39901,33040,142111
chr1:39901,1,39901,33293,131539
chr1:39901,1,39901,35466,51434
chr1:39901,1,39901,33040,55688
chr1:39901,1,39901,33040,60912
chr1:39901,1,39901,33293,58073
chr1:39901,1,39901,33293,47044
chr1:39901,1,39901,33040,67275
chr1:39901,1,39901,33040,132618
chr1:39901,1,39901,33040,60526
chr1:39901,1,39901,34308,51434
chr1:39901,1,39901,33040,56904
chr1:39901,1,39901,33040,52124
chr1:39901,1,39901,33040,59073
chr1:39963,1,39963,33040,54661
chr1:39963,1,39963,33040,116327
chr1:39963,1,39963,33293,60912
chr1:40380,1,40380,33040,53167
chr1:40380,1,40380,33040,60774
chr1:40914,1,40914,33040,60912
chr1:40914,1,40914,33293,68621
chr1:40914,1,40914,33293,60198
chr1:40914,1,40914,37976,51434
chr1:40914,1,40914,33040,60198
chr1:40914,1,40914,33040,56904
chr1:41987,1,41987,34554,56904
chr1:41987,1,41987,33293,82431
chr1:41987,1,41987,33040,56904
chr1:41987,1,41987,33040,58073
chr1:41987,1,41987,34554,54806
chr1:41987,1,41987,40866,52124
chr1:41987,1,41987,33040,107538
chr1:41987,1,41987,35128,69822
chr1:41987,1,41987,33040,55327
chr1:41987,1,41987,37008,55688
chr1:41987,1,41987,33040,52124
chr1:41987,1,41987,35128,51434
chr1:42115,1,42115,33040,171389
chr1:42115,1,42115,33293,55688
chr1:42115,1,42115,33293,68621
chr1:42115,1,42115,33040,68621
chr1:42115,1,42115,33040,54175
chr1:42115,1,42115,34308,67275
chr1:42115,1,42115,33040,53167
chr1:42115,1,42115,33040,54806
chr1:42527,1,42527,33040,60912
chr1:42635,1,42635,33040,56904
chr1:43691,1,43691,36313,47044
chr1:44384,1,44384,42115,48815
chr1:44384,1,44384,33040,58794
chr1:44384,1,44384,33040,54175
chr1:44384,1,44384,33040,55688
chr1:44384,1,44384,33040,107538
chr1:44384,1,44384,33040,68621
chr1:44384,1,44384,33040,58073
chr1:44384,1,44384,33293,55171
chr1:44384,1,44384,38508,50840
chr1:44384,1,44384,33040,132618
chr1:44384,1,44384,38888,56904
chr1:45198,1,45198,33040,56904
chr1:45522,1,45522,33040,55327
chr1:45522,1,45522,33040,66033
chr1:45522,1,45522,33040,68621
chr1:45522,1,45522,33293,56904
chr1:45522,1,45522,33040,60165
chr1:45522,1,45522,37008,54661
chr1:45522,1,45522,33293,58794
chr1:45522,1,45522,33040,71601
chr1:45522,1,45522,34554,60165
chr1:45522,1,45522,33293,56129
chr1:45522,1,45522,33040,59496
