SNP,SNP_marker,chr,pos,start,end
1,chr1:1025,1,1025,1025,1035
2,chr1:1035,1,1035,1025,1035
3,chr1:1074,1,1074,1074,1074
4,chr1:1470,1,1470,1470,1470
5,chr1:1475,1,1475,1475,1475
6,chr1:1491,1,1491,1491,1491
7,chr1:21249,1,21249,21249,21249
8,chr1:27243,1,27243,27243,27272
9,chr1:27272,1,27272,27243,27272
10,chr1:27498,1,27498,27498,27561
11,chr1:27561,1,27561,27498,27561
12,chr1:27816,1,27816,27816,28975
13,chr1:27822,1,27822,27816,28975
14,chr1:27823,1,27823,27816,28975
15,chr1:27825,1,27825,27816,28975
16,chr1:27843,1,27843,27816,28975
17,chr1:27848,1,27848,27816,28975
18,chr1:28495,1,28495,27816,28975
19,chr1:28975,1,28975,27816,28975
20,chr1:29283,1,29283,29283,29283
21,chr1:29752,1,29752,29752,29787
22,chr1:29787,1,29787,29752,29787
23,chr1:30057,1,30057,30057,30057
24,chr1:30479,1,30479,30479,30479
25,chr1:30706,1,30706,30706,31435
26,chr1:31435,1,31435,30706,31435
27,chr1:35128,1,35128,35128,35128
28,chr1:35129,1,35129,35129,35129
29,chr1:36146,1,36146,36146,36146
30,chr1:37255,1,37255,37255,37255
31,chr1:37409,1,37409,37409,41499
32,chr1:37478,1,37478,37409,41499
33,chr1:39144,1,39144,37409,41499
34,chr1:41499,1,41499,37409,41499
35,chr1:45359,1,45359,45359,45359
36,chr1:45634,1,45634,45634,45634
37,chr1:51248,1,51248,51248,60165
38,chr1:51462,1,51462,51248,60165
39,chr1:52124,1,52124,51248,60165
40,chr1:52667,1,52667,51248,60165
41,chr1:55470,1,55470,51248,60165
42,chr1:59265,1,59265,51248,60165
43,chr1:60165,1,60165,51248,60165
44,chr1:62308,1,62308,62308,69417
45,chr1:62869,1,62869,62308,69417
46,chr1:65431,1,65431,62308,69417
47,chr1:65451,1,65451,62308,69417
48,chr1:65719,1,65719,62308,69417
49,chr1:66841,1,66841,62308,69417
50,chr1:66948,1,66948,62308,69417
51,chr1:68621,1,68621,62308,69417
52,chr1:69417,1,69417,62308,69417
53,chr1:69820,1,69820,69820,69821
54,chr1:69821,1,69821,69820,69821
55,chr1:70906,1,70906,70906,70906
56,chr1:74327,1,74327,74327,76030
57,chr1:74572,1,74572,74327,76030
58,chr1:75211,1,75211,74327,76030
59,chr1:76030,1,76030,74327,76030
60,chr1:80108,1,80108,80108,99148
61,chr1:81262,1,81262,80108,99148
62,chr1:81999,1,81999,80108,99148
63,chr1:82431,1,82431,80108,99148
64,chr1:83284,1,83284,80108,99148
65,chr1:83613,1,83613,80108,99148
66,chr1:84112,1,84112,80108,99148
67,chr1:84701,1,84701,80108,99148
68,chr1:84858,1,84858,80108,99148
69,chr1:85751,1,85751,80108,99148
70,chr1:87445,1,87445,80108,99148
71,chr1:87467,1,87467,80108,99148
72,chr1:89070,1,89070,80108,99148
73,chr1:89616,1,89616,80108,99148
74,chr1:89679,1,89679,80108,99148
75,chr1:89880,1,89880,80108,99148
76,chr1:91472,1,91472,80108,99148
77,chr1:93789,1,93789,80108,99148
78,chr1:94351,1,94351,80108,99148
79,chr1:99148,1,99148,80108,99148
80,chr1:101281,1,101281,101281,101281
81,chr1:106011,1,106011,106011,116283
82,chr1:106800,1,106800,106011,116283
83,chr1:107970,1,107970,106011,116283
84,chr1:109000,1,109000,106011,116283
85,chr1:112549,1,112549,106011,116283
86,chr1:112742,1,112742,106011,116283
87,chr1:113050,1,113050,106011,116283
88,chr1:113135,1,113135,106011,116283
89,chr1:114076,1,114076,106011,116283
90,chr1:114628,1,114628,106011,116283
91,chr1:116283,1,116283,106011,116283
92,chr1:126880,1,126880,126880,126880
93,chr1:127853,1,127853,127853,128911
94,chr1:128302,1,128302,127853,128911
95,chr1:128704,1,128704,127853,128911
96,chr1:128911,1,128911,127853,128911
97,chr1:130267,1,130267,130267,130613
98,chr1:130271,1,130271,130267,130613
99,chr1:130613,1,130613,130267,130613
100,chr1:132012,1,132012,132012,150447
101,chr1:133231,1,133231,132012,150447
102,chr1:137074,1,137074,132012,150447
103,chr1:137304,1,137304,132012,150447
104,chr1:139686,1,139686,132012,150447
105,chr1:149562,1,149562,132012,150447
106,chr1:150447,1,150447,132012,150447
107,chr1:151446,1,151446,151446,151446
