sid_index,SNP,Chr,GenDist,ChrPos,PValue,SnpWeight,SnpWeightSE,EffectSize,SnpFractVarExpl,Mixing,Nullh2,Pheno,PhenoCount,1,2,unique,Pheno_chr,Pheno_pos,Pheno_pos_end,pos_add_p,pos_add_s,pos_cum_pheno,pos_cum_snp,pos_to_trait,type,ld_range,ld_mask
4268,rs_chromosome8_497870,8,,497870,3.34005563713915e-06,-0.228177264725188,0.0484724108376211,0.0107932962204765,0.215952454661475,0,0.410239546785487,YAL003W,101,YAL003W,Prot,8_497870_YAL003W,1,142174,143160,0,4825327,142174,5323197,0,TRANS,,
1214,rs_chromosome11_113405,11,,113405,1.01518658262036e-06,0.293843425078131,0.0592825516710546,0.023838783636007,0.226814734609788,0,0.409534139414245,YAL003W,101,YAL003W,Prot,11_113405_YAL003W,1,142174,143160,0,6570814,142174,6684219,0,TRANS,,
4228,rs_chromosome13_545488,13,,545488,3.14804865362769e-06,0.266981577143893,0.0565637152271527,0.0219533243704768,0.2165056649445,0,0.613525108392732,YAL005C,101,YAL005C,Prot,13_545488_YAL005C,1,139503,141431,0,8312001,139503,8857489,0,TRANS,,
302,rs_chromosome8_36046,8,,36046,5.29953636512487e-07,0.283697340273039,0.0557533485995142,0.0242270980975425,0.23252274160491,0,0.583904627710599,YAL012W,101,YAL012W,Prot,8_36046_YAL012W,1,130799,131983,0,4825327,130799,4861373,0,TRANS,,
840,rs_chromosome12_94959,12,,94959,3.11269441144432e-06,-0.313424030145361,0.0663692968077756,0.0885672010726643,0.216611033296189,0,0.58496976631474,YAL012W,101,YAL012W,Prot,12_94959_YAL012W,1,130799,131983,0,7234103,130799,7329062,0,TRANS,,
4407,rs_chromosome14_478701,14,,478701,1.24979508579345e-06,-0.264086434110684,0.0537427790859899,0.0574451185599439,0.224957334569098,0,0.575313537440502,YAL012W,101,YAL012W,Prot,14_478701_YAL012W,1,130799,131983,0,9235803,130799,9714504,0,TRANS,,
4301,rs_chromosome14_466760,14,,466760,4.66347010612447e-06,0.361437385428832,0.0779715339632253,0.050579302603215,0.21280627136706,0,0.477085005980681,YAL023C,101,YAL023C,Prot,14_466760_YAL023C,1,106272,108551,0,9235803,106272,9702563,0,TRANS,,
6819,rs_chromosome16_810752,16,,810752,2.25913413460035e-07,-0.258877858978103,0.0492432381026238,0.0275313109283809,0.239794678250477,0,0.0751531186154604,YAR007C,101,YAR007C,Prot,16_810752_YAR007C,1,156754,158619,0,11110207,156754,11920959,0,TRANS,,
11084,rs_chromosome4_1356006,4,,1356006,1.0231648307599e-05,-0.336410427828302,0.0753851368132577,0.0400689241595791,0.205207130855881,0,0.647975280739143,YBL030C,101,YBL030C,Prot,4_1356006_YBL030C,2,163041,163997,229317,1356984,392358,2712990,0,TRANS,,
12051,rs_chromosome4_1461391,4,,1461391,8.95159566594836e-06,-0.406153568919037,0.090409710409486,0.0785782158858793,0.206519650953445,0,0.647975280739143,YBL030C,101,YBL030C,Prot,4_1461391_YBL030C,2,163041,163997,229317,1356984,392358,2818375,0,TRANS,,
4833,rs_chromosome7_567850,7,,567850,6.01323386804678e-06,-0.228200720759976,0.049823881156728,0.00138096319374855,0.210378076066115,0,0.648650441253843,YBL030C,101,YBL030C,Prot,7_567850_YBL030C,2,163041,163997,229317,3734736,392358,4302586,0,TRANS,,
2044,rs_chromosome12_224239,12,,224239,4.89684893728144e-06,0.312154493941444,0.0674941301753022,0.0610612190869644,0.212342000920513,0,0.274858200926052,YBL047C,101,YBL047C,Prot,12_224239_YBL047C,2,127895,132040,229317,7234103,357212,7458342,0,TRANS,224232|224239,
5736,rs_chromosome15_617402,15,,617402,5.02850196492857e-06,-0.244162479543149,0.0528587396024478,0.0200342757852226,0.212089333351951,0,0.281364055246818,YBL047C,101,YBL047C,Prot,15_617402_YBL047C,2,127895,132040,229317,10019344,357212,10636746,0,TRANS,,
2105,rs_chromosome9_269148,9,,269148,2.46727345666905e-06,0.256015949282712,0.0536519793553231,0.0150291520904852,0.218767476750964,0,0.206344046527197,YBL058W,101,YBL058W,Prot,9_269148_YBL058W,2,111437,112708,229317,5387374,340754,5656522,0,TRANS,,
2341,rs_chromosome3_235062,3,,235062,9.06384689294111e-06,-0.447756592302598,0.0997320864939064,0.174520109716227,0.206397626483859,0,0.38624703357157,YBR088C,101,YBR088C,Prot,3_235062_YBR088C,2,424990,425766,229317,1040796,654307,1275858,0,TRANS,235062|235065,
2342,rs_chromosome3_235065,3,,235065,9.06384689294111e-06,-0.447756592302598,0.0997320864939064,0.174520109716227,0.206397626483859,0,0.38624703357157,YBR088C,101,YBR088C,Prot,3_235065_YBR088C,2,424990,425766,229317,1040796,654307,1275861,0,TRANS,235062|235065,
6762,rs_chromosome12_796413,12,,796413,2.2808206341029e-06,-0.402659756662978,0.084090908259027,0.136173047861207,0.219491780591781,0,0.381760163083285,YBR088C,101,YBR088C,Prot,12_796413_YBR088C,2,424990,425766,229317,7234103,654307,8030516,0,TRANS,796413|796703,
1624,rs_chromosome12_175382,12,,175382,4.88734413067444e-07,0.487672605051396,0.0955349215241236,0.231465376509617,0.233223546809667,0,0.531613202549822,YBR106W,101,YBR106W,Prot,12_175382_YBR106W,2,452658,453224,229317,7234103,681975,7409485,0,TRANS,,
1810,rs_chromosome13_220830,13,,220830,1.5754420596579e-06,0.373314546213497,0.0767205214821756,0.143245826955206,0.222869822017492,0,0.545060949555547,YBR106W,101,YBR106W,Prot,13_220830_YBR106W,2,452658,453224,229317,8312001,681975,8532831,0,TRANS,,
4468,rs_chromosome14_485955,14,,485955,1.88644420390502e-06,-0.242450637233766,0.0502146204536266,0.0236581825973486,0.221231629711134,0,0.319531003352785,YBR109C,101,YBR109C,Prot,14_485955_YBR109C,2,457919,458362,229317,9235803,687236,9721758,0,TRANS,,
180,rs_chromosome1_42413,1,,42413,2.88441456707402e-06,-0.261915294756019,0.0552721031031009,0.0253475535649551,0.21732027166654,0,0.214247259636053,YBR127C,101,YBR127C,Prot,1_42413_YBR127C,2,491269,492822,229317,0,720586,42413,0,TRANS,,
