BETA	cis_trans	abs_effect
-2.14131	cis	2.14131
-1.07303	cis	1.07303
-0.130006	cis	0.130006
-0.112139	cis	0.112139
-1.43287	cis	1.43287
-0.171464	cis	0.171464
1.16889	cis	1.16889
-0.133131	cis	0.133131
0.140966	cis	0.140966
0.368378	cis	0.368378
0.130746	cis	0.130746
-0.46045	cis	0.46045
0.305918	cis	0.305918
-1.0437	cis	1.0437
0.0770189	cis	0.0770189
-0.376199	cis	0.376199
-0.500785	cis	0.500785
1.01463	cis	1.01463
0.155897	cis	0.155897
0.0720635	cis	0.0720635
-0.0516438	cis	0.0516438
0.5323	cis	0.5323
-1.65048	cis	1.65048
-1.35194	cis	1.35194
0.264076	cis	0.264076
-1.24697	cis	1.24697
0.208994	cis	0.208994
0.117298	cis	0.117298
1.01185	cis	1.01185
-0.549271	cis	0.549271
0.900129	cis	0.900129
-0.204558	cis	0.204558
-0.71037	cis	0.71037
0.876234	cis	0.876234
-1.47068	cis	1.47068
0.177943	cis	0.177943
-0.125441	cis	0.125441
0.0525499	cis	0.0525499
-0.119001	cis	0.119001
0.493851	cis	0.493851
0.106931	cis	0.106931
-2.53707	cis	2.53707
0.400536	cis	0.400536
1.28967	cis	1.28967
-0.179751	cis	0.179751
-0.916029	cis	0.916029
0.758144	cis	0.758144
-0.1494	cis	0.1494
0.447772	cis	0.447772
0.278481	cis	0.278481
-0.683543	cis	0.683543
0.0763991	cis	0.0763991
-0.92209	cis	0.92209
0.130724	cis	0.130724
-0.613204	cis	0.613204
0.150038	cis	0.150038
1.08271	cis	1.08271
-2.13994	cis	2.13994
-0.18758	cis	0.18758
-0.160171	cis	0.160171
0.100779	cis	0.100779
-0.363801	cis	0.363801
1.67192	cis	1.67192
0.710977	cis	0.710977
-0.280817	cis	0.280817
-1.36144	cis	1.36144
0.210924	cis	0.210924
-0.495879	cis	0.495879
0.668328	cis	0.668328
-1.47102	cis	1.47102
-0.315342	cis	0.315342
-0.0995011	cis	0.0995011
0.114196	cis	0.114196
-0.769464	cis	0.769464
-0.312744	cis	0.312744
-0.599759	cis	0.599759
-0.262083	cis	0.262083
-0.0740477	cis	0.0740477
-0.314245	cis	0.314245
0.06989	cis	0.06989
-0.288336	cis	0.288336
0.0891548	cis	0.0891548
0.473504	cis	0.473504
-0.147127	cis	0.147127
0.491871	cis	0.491871
0.080219	cis	0.080219
-1.63311	cis	1.63311
-0.0430416	cis	0.0430416
0.146494	cis	0.146494
0.752122	cis	0.752122
0.0525225	cis	0.0525225
-1.73077	cis	1.73077
0.594301	cis	0.594301
0.653726	cis	0.653726
0.0552751	cis	0.0552751
-0.148882	cis	0.148882
-0.281562	cis	0.281562
-0.0607776	cis	0.0607776
-0.281674	cis	0.281674
0.271103	cis	0.271103
-2.16169	cis	2.16169
0.651891	cis	0.651891
0.0835655	cis	0.0835655
0.145081	cis	0.145081
0.816673	cis	0.816673
0.0456899	cis	0.0456899
0.0631049	cis	0.0631049
0.0627552	cis	0.0627552
-0.453807	cis	0.453807
-1.25223	cis	1.25223
0.937063	cis	0.937063
-0.110117	cis	0.110117
0.50754	cis	0.50754
-0.85493	cis	0.85493
-0.201208	cis	0.201208
-0.0562521	cis	0.0562521
0.0593809	cis	0.0593809
-0.216061	cis	0.216061
-0.543398	cis	0.543398
-0.392344	cis	0.392344
-0.065997	cis	0.065997
0.0648035	cis	0.0648035
0.136455	cis	0.136455
-1.1181	cis	1.1181
0.333144	cis	0.333144
-0.523587	cis	0.523587
-0.989696	cis	0.989696
-1.18089	cis	1.18089
-1.4779	cis	1.4779
-0.306075	cis	0.306075
-0.756061	cis	0.756061
0.162304	cis	0.162304
-0.0689126	cis	0.0689126
-0.99133	cis	0.99133
-0.163436	cis	0.163436
0.154976	cis	0.154976
-0.235855	cis	0.235855
-0.401997	cis	0.401997
-0.33586	cis	0.33586
0.103302	cis	0.103302
-0.0710844	cis	0.0710844
0.0622235	cis	0.0622235
0.310055	cis	0.310055
-0.517837	cis	0.517837
-0.723174	cis	0.723174
1.4197	cis	1.4197
-0.300222	cis	0.300222
0.259187	cis	0.259187
0.351966	cis	0.351966
-1.11127	cis	1.11127
-0.672661	cis	0.672661
-0.187713	cis	0.187713
0.31605	cis	0.31605
-0.238922	cis	0.238922
-0.209913	cis	0.209913
-0.370779	cis	0.370779
-0.438684	cis	0.438684
-0.0725575	cis	0.0725575
0.108612	cis	0.108612
0.200452	cis	0.200452
-0.27557	cis	0.27557
-0.456116	cis	0.456116
-1.29486	cis	1.29486
0.096121	cis	0.096121
-0.303414	cis	0.303414
0.0442542	cis	0.0442542
-0.165694	cis	0.165694
-1.18622	cis	1.18622
-0.731028	cis	0.731028
0.314188	cis	0.314188
-0.300333	cis	0.300333
0.0461415	cis	0.0461415
0.18797	cis	0.18797
0.0861511	cis	0.0861511
-0.0422395	cis	0.0422395
0.457074	cis	0.457074
-0.101415	cis	0.101415
-0.617966	cis	0.617966
-0.233989	cis	0.233989
0.284731	cis	0.284731
-0.573252	cis	0.573252
0.203246	cis	0.203246
-1.91768	cis	1.91768
-0.532827	cis	0.532827
0.142852	cis	0.142852
0.124765	cis	0.124765
-0.37687	cis	0.37687
-0.179861	cis	0.179861
-0.696158	cis	0.696158
0.583245	cis	0.583245
0.140918	cis	0.140918
-1.39845	cis	1.39845
-0.770232	cis	0.770232
-2.03542	cis	2.03542
0.137951	cis	0.137951
-0.334532	cis	0.334532
0.0518692	cis	0.0518692
0.200916	cis	0.200916
-0.192013	cis	0.192013
-0.431683	cis	0.431683
-0.306602	cis	0.306602
-0.418115	cis	0.418115
0.273512	cis	0.273512
-0.589435	cis	0.589435
0.218461	cis	0.218461
-1.51571	cis	1.51571
-0.322674	cis	0.322674
-0.600832	cis	0.600832
-1.63555	cis	1.63555
0.298231	cis	0.298231
0.453472	cis	0.453472
-0.950688	cis	0.950688
-1.01736	cis	1.01736
-0.621184	cis	0.621184
-0.269463	cis	0.269463
-0.303743	cis	0.303743
0.387251	cis	0.387251
0.154688	cis	0.154688
-0.16856	cis	0.16856
1.12877	cis	1.12877
-2.1851	cis	2.1851
-0.4481	cis	0.4481
-0.652131	cis	0.652131
-0.0526992	cis	0.0526992
-2.28813	cis	2.28813
0.222852	cis	0.222852
-0.156771	cis	0.156771
-0.294784	cis	0.294784
-0.14421	cis	0.14421
-1.45256	cis	1.45256
-0.95113	cis	0.95113
0.504495	cis	0.504495
-1.38391	cis	1.38391
-0.392871	cis	0.392871
0.0705704	cis	0.0705704
-0.28211	cis	0.28211
-0.515256	cis	0.515256
-2.00344	cis	2.00344
-0.0814351	cis	0.0814351
0.0970206	cis	0.0970206
-0.170325	cis	0.170325
-0.816211	cis	0.816211
0.808502	cis	0.808502
0.671305	cis	0.671305
-1.42617	cis	1.42617
0.121035	cis	0.121035
-0.176524	cis	0.176524
0.303794	cis	0.303794
0.648179	cis	0.648179
-0.0690214	cis	0.0690214
-0.102922	cis	0.102922
-0.131509	cis	0.131509
0.13264	cis	0.13264
0.0734897	cis	0.0734897
-0.285649	cis	0.285649
-0.209308	cis	0.209308
-0.852877	cis	0.852877
-2.16441	cis	2.16441
-0.0813992	cis	0.0813992
0.179192	cis	0.179192
-0.0596786	cis	0.0596786
0.130451	cis	0.130451
-1.16787	cis	1.16787
0.313694	cis	0.313694
-0.0808273	cis	0.0808273
-0.181901	cis	0.181901
-0.865297	cis	0.865297
-0.528378	cis	0.528378
0.18563	cis	0.18563
0.155972	cis	0.155972
-0.325775	cis	0.325775
0.0590989	cis	0.0590989
-0.403099	cis	0.403099
-0.0644059	cis	0.0644059
-0.919951	cis	0.919951
-0.113055	cis	0.113055
-0.473716	cis	0.473716
-0.997107	cis	0.997107
-0.295574	cis	0.295574
-1.50011	cis	1.50011
-1.20262	cis	1.20262
-0.779998	cis	0.779998
0.378907	cis	0.378907
0.679921	cis	0.679921
0.26923	cis	0.26923
0.106145	cis	0.106145
0.0855181	cis	0.0855181
0.100692	cis	0.100692
-0.797515	cis	0.797515
0.535187	cis	0.535187
-1.37335	cis	1.37335
0.75923	cis	0.75923
-0.974693	cis	0.974693
-1.12264	cis	1.12264
-0.311544	cis	0.311544
-0.0518046	cis	0.0518046
-0.0693641	cis	0.0693641
0.419724	cis	0.419724
-0.303626	cis	0.303626
-0.230746	cis	0.230746
0.0967573	cis	0.0967573
-1.06584	cis	1.06584
-0.129618	cis	0.129618
-0.342748	cis	0.342748
-0.26405	cis	0.26405
-0.440484	cis	0.440484
0.189054	cis	0.189054
0.168971	cis	0.168971
0.466453	cis	0.466453
-1.28982	cis	1.28982
0.844712	cis	0.844712
-0.312667	cis	0.312667
-0.388869	cis	0.388869
-0.175013	cis	0.175013
0.781571	cis	0.781571
-0.148743	cis	0.148743
1.81153	cis	1.81153
-1.56245	cis	1.56245
1.80202	cis	1.80202
0.267743	cis	0.267743
0.465194	cis	0.465194
-0.418699	cis	0.418699
-0.259478	cis	0.259478
-0.291387	cis	0.291387
-2.20125	cis	2.20125
-0.745722	cis	0.745722
0.339916	cis	0.339916
-1.29687	cis	1.29687
0.288069	cis	0.288069
-0.24663	cis	0.24663
0.306247	cis	0.306247
0.219424	cis	0.219424
-0.580515	cis	0.580515
0.675368	cis	0.675368
-0.351058	cis	0.351058
1.23758	cis	1.23758
-1.05367	cis	1.05367
-0.378822	cis	0.378822
1.17569	cis	1.17569
0.139753	cis	0.139753
0.265993	cis	0.265993
-0.409486	cis	0.409486
0.420751	cis	0.420751
0.0786795	cis	0.0786795
-0.933125	cis	0.933125
-0.348333	cis	0.348333
-0.457063	cis	0.457063
-0.251159	cis	0.251159
-0.228706	cis	0.228706
0.19908	cis	0.19908
-0.128109	cis	0.128109
-0.360713	cis	0.360713
-0.714885	cis	0.714885
-0.0512959	cis	0.0512959
-0.807665	cis	0.807665
0.738612	cis	0.738612
-0.161179	cis	0.161179
-0.0872103	cis	0.0872103
-0.160358	cis	0.160358
-1.10539	cis	1.10539
0.594143	cis	0.594143
0.196675	cis	0.196675
-0.210812	cis	0.210812
1.95298	cis	1.95298
0.344802	cis	0.344802
1.42363	cis	1.42363
-0.48871	cis	0.48871
0.132243	cis	0.132243
-0.295394	cis	0.295394
0.431503	cis	0.431503
-0.266905	cis	0.266905
-0.047254	cis	0.047254
-0.157211	cis	0.157211
-0.0958369	cis	0.0958369
0.753248	cis	0.753248
0.295865	cis	0.295865
0.498155	cis	0.498155
0.227428	cis	0.227428
-0.100331	cis	0.100331
0.639082	cis	0.639082
-0.266448	cis	0.266448
-1.09402	cis	1.09402
-2.0767	cis	2.0767
0.626629	cis	0.626629
-0.336285	cis	0.336285
0.602436	cis	0.602436
-0.516813	cis	0.516813
-0.270074	cis	0.270074
-1.17179	cis	1.17179
0.97492	cis	0.97492
-0.12862	cis	0.12862
-0.130695	cis	0.130695
-0.055927	cis	0.055927
-0.520086	cis	0.520086
-0.366586	cis	0.366586
0.230764	cis	0.230764
0.450722	cis	0.450722
0.238308	cis	0.238308
-0.131513	cis	0.131513
-0.230425	cis	0.230425
0.13155	cis	0.13155
0.0652587	cis	0.0652587
-0.213702	cis	0.213702
0.073672	cis	0.073672
0.140246	cis	0.140246
0.0845525	cis	0.0845525
-1.13641	cis	1.13641
-1.02741	cis	1.02741
-1.01101	cis	1.01101
-0.892058	cis	0.892058
-0.177234	cis	0.177234
0.621564	cis	0.621564
-0.259635	cis	0.259635
-0.1814	cis	0.1814
-1.03409	cis	1.03409
-0.784669	cis	0.784669
-1.566	cis	1.566
0.42054	cis	0.42054
0.199403	cis	0.199403
0.0403068	cis	0.0403068
-0.547683	cis	0.547683
-0.154781	cis	0.154781
-1.62159	cis	1.62159
-0.128078	cis	0.128078
-0.292988	cis	0.292988
-0.242407	cis	0.242407
-0.59736	cis	0.59736
0.670303	cis	0.670303
-1.07368	cis	1.07368
0.534743	cis	0.534743
-0.0908033	cis	0.0908033
0.200769	cis	0.200769
-0.655462	cis	0.655462
0.0473783	cis	0.0473783
-0.28777	cis	0.28777
-0.209126	cis	0.209126
0.196107	cis	0.196107
0.231674	cis	0.231674
-1.32199	cis	1.32199
0.531697	cis	0.531697
0.785594	cis	0.785594
0.485235	cis	0.485235
0.0775119	cis	0.0775119
-0.64344	cis	0.64344
-0.303074	cis	0.303074
-0.16385	cis	0.16385
0.225631	cis	0.225631
-1.97525	cis	1.97525
0.845825	cis	0.845825
0.497343	cis	0.497343
0.37262	cis	0.37262
-0.372548	cis	0.372548
-0.27901	cis	0.27901
0.611453	cis	0.611453
-1.55637	cis	1.55637
1.16858	cis	1.16858
-0.123898	cis	0.123898
0.230783	cis	0.230783
0.321728	cis	0.321728
0.522485	cis	0.522485
2.30343	cis	2.30343
-0.46683	cis	0.46683
0.61028	cis	0.61028
-2.14108	cis	2.14108
-0.310605	cis	0.310605
0.281301	cis	0.281301
-0.262996	cis	0.262996
0.0908657	cis	0.0908657
0.20209	cis	0.20209
-1.18498	cis	1.18498
-0.505516	cis	0.505516
-0.314865	cis	0.314865
-0.787782	cis	0.787782
-0.543808	cis	0.543808
0.0568999	cis	0.0568999
0.506571	cis	0.506571
0.178284	cis	0.178284
-0.152795	cis	0.152795
-0.431625	cis	0.431625
1.36241	cis	1.36241
-0.28048	cis	0.28048
0.871103	cis	0.871103
-0.733736	cis	0.733736
1.38693	cis	1.38693
1.46914	cis	1.46914
-0.183892	cis	0.183892
0.0657057	cis	0.0657057
0.221088	cis	0.221088
0.090355	cis	0.090355
1.47426	cis	1.47426
1.05924	cis	1.05924
-0.87143	cis	0.87143
-0.686011	cis	0.686011
-0.570247	cis	0.570247
-0.450944	cis	0.450944
-0.130136	cis	0.130136
0.252326	cis	0.252326
-0.371035	cis	0.371035
-0.535276	cis	0.535276
0.12698	cis	0.12698
0.661614	cis	0.661614
0.243524	cis	0.243524
-0.511236	cis	0.511236
-0.151462	cis	0.151462
0.813809	cis	0.813809
-1.88492	cis	1.88492
-0.0806698	cis	0.0806698
-0.841561	cis	0.841561
0.36502	cis	0.36502
-0.455618	cis	0.455618
-0.545222	cis	0.545222
-0.281538	cis	0.281538
-0.134914	cis	0.134914
-0.0970322	cis	0.0970322
-0.240816	cis	0.240816
0.816216	cis	0.816216
-0.82748	cis	0.82748
-0.569263	cis	0.569263
-0.657053	cis	0.657053
-0.139386	cis	0.139386
0.185034	cis	0.185034
0.486541	cis	0.486541
-0.555847	cis	0.555847
-1.18996	cis	1.18996
-0.781652	cis	0.781652
0.316242	cis	0.316242
-0.152485	cis	0.152485
0.217476	cis	0.217476
-0.711417	cis	0.711417
-0.412489	cis	0.412489
-0.368532	cis	0.368532
-1.0498	cis	1.0498
-1.50454	cis	1.50454
-0.177399	cis	0.177399
-1.11173	cis	1.11173
0.243184	cis	0.243184
1.09206	cis	1.09206
-0.0756909	cis	0.0756909
-0.135924	cis	0.135924
-0.623968	cis	0.623968
-0.570915	cis	0.570915
0.306717	cis	0.306717
0.712956	cis	0.712956
0.582727	cis	0.582727
0.81885	cis	0.81885
-0.789794	cis	0.789794
1.35452	cis	1.35452
0.0505037	cis	0.0505037
-0.157248	cis	0.157248
0.557049	cis	0.557049
-0.551695	cis	0.551695
0.0949865	cis	0.0949865
0.591046	cis	0.591046
1.21456	cis	1.21456
0.970997	cis	0.970997
-0.492405	cis	0.492405
-0.621616	cis	0.621616
0.214737	cis	0.214737
1.10233	cis	1.10233
-0.145354	cis	0.145354
-0.219581	cis	0.219581
-0.435784	cis	0.435784
0.388696	cis	0.388696
-1.965	cis	1.965
