Pheno_Type	Pheno	Geno_Type	Chr	ChrPos	PValue	EffectSize	Loc	abs_effect	cis_trans
Proteomics	YAL003W	SNPs	10	123643	4.18e-06	0.00755578	Distant	0.00755578	trans
Proteomics	YAL003W	SNPs	8	250518	1.29e-06	0.01001742	Distant	0.01001742	trans
Proteomics	YAL005C	SNPs	7	367444	2.75e-07	0.01147957	Distant	0.01147957	trans
Proteomics	YAL005C	SNPs	7	370765	1.22e-06	0.00723299	Distant	0.00723299	trans
Proteomics	YAL005C	SNPs	4	1277282	5.6e-06	0.02988107	Distant	0.02988107	trans
Proteomics	YAL005C	SNPs	10	553579	9.77e-07	0.02764024	Distant	0.02764024	trans
Proteomics	YAL012W	SNPs	14	478701	5.48e-06	0.02786405	Distant	0.02786405	trans
Proteomics	YAL012W	SNPs	10	148061	7.17e-06	0.01064852	Distant	0.01064852	trans
Proteomics	YAL012W	SNPs	7	729111	5.06e-06	0.00879996	Distant	0.00879996	trans
Proteomics	YAL012W	SNPs	7	1058166	5.15e-06	0.00913625	Distant	0.00913625	trans
Proteomics	YAL038W	SNPs	2	388435	1.44e-06	0.0232138	Distant	0.0232138	trans
Proteomics	YAL042W	SNPs	12	956536	6.34e-06	0.0415352	Distant	0.0415352	trans
Proteomics	YAL049C	SNPs	1	52603	5.4400000000000005e-31	0.35052521	Local	0.35052521	cis
Proteomics	YAL049C	SNPs	1	49247	7.81e-07	0.07535275	Local	0.07535275	cis
Proteomics	YAL049C	SNPs	12	123810	4.31e-06	0.00437433	Distant	0.00437433	trans
Proteomics	YAR015W	SNPs	4	271035	7.13e-08	0.00805494	Distant	0.00805494	trans
Proteomics	YAR015W	SNPs	6	149887	6.33e-06	0.0122355	Distant	0.0122355	trans
Proteomics	YBL007C	SNPs	2	212638	2.67e-13	0.15723319	Local	0.15723319	cis
Proteomics	YBL015W	SNPs	2	193867	1.86e-13	0.22083679	Local	0.22083679	cis
Proteomics	YBL015W	SNPs	13	548999	1.06e-06	0.05269982	Distant	0.05269982	trans
Proteomics	YBL017C	SNPs	13	97628	3.1e-06	0.04889036	Distant	0.04889036	trans
Proteomics	YBL022C	SNPs	7	165308	2.6e-06	0.01279159	Distant	0.01279159	trans
Proteomics	YBL022C	SNPs	4	393566	3.74e-06	0.02467241	Distant	0.02467241	trans
Proteomics	YBL030C	SNPs	11	450227	2e-06	0.0191	Distant	0.0191	trans
Proteomics	YBL036C	SNPs	2	155527	8.33e-07	0.0268357	Local	0.0268357	cis
Proteomics	YBL041W	SNPs	7	121840	3.78e-06	0.04528137	Distant	0.04528137	trans
Proteomics	YBL041W	SNPs	12	903349	7.3e-07	0.01315233	Distant	0.01315233	trans
Proteomics	YBL045C	SNPs	15	523804	1.82e-06	0.01664198	Distant	0.01664198	trans
Proteomics	YBL045C	SNPs	9	212456	4.78e-06	0.03135311	Distant	0.03135311	trans
Proteomics	YBL047C	SNPs	16	499778	3.39e-07	0.00931254	Distant	0.00931254	trans
Proteomics	YBL056W	SNPs	9	58382	7.52e-06	0.03021353	Distant	0.03021353	trans
Proteomics	YBL057C	SNPs	16	230341	1.74e-06	0.00763447	Distant	0.00763447	trans
Proteomics	YBL091C	SNPs	2	240866	7.98e-07	0.04658186	Distant	0.04658186	trans
Proteomics	YBL091C	SNPs	7	907935	2.33e-06	0.01567941	Distant	0.01567941	trans
Proteomics	YBL098W	SNPs	2	794106	2.91e-06	0.09126133	Distant	0.09126133	trans
Proteomics	YBL099W	SNPs	13	612690	1.71e-06	0.01048813	Distant	0.01048813	trans
Proteomics	YBR011C	SNPs	11	565671	5.06e-06	0.02335099	Distant	0.02335099	trans
Proteomics	YBR029C	SNPs	7	907935	2.14e-06	0.01345335	Distant	0.01345335	trans
Proteomics	YBR039W	SNPs	13	612492	2.4e-06	0.03729187	Distant	0.03729187	trans
Proteomics	YBR039W	SNPs	13	612690	2.89e-06	0.0103624	Distant	0.0103624	trans
Proteomics	YBR039W	SNPs	11	231899	3.51e-06	0.11707991	Distant	0.11707991	trans
Proteomics	YBR049C	SNPs	7	907935	1.28e-06	0.01270341	Distant	0.01270341	trans
Proteomics	YBR052C	SNPs	15	1032788	7.78e-06	0.04667131	Distant	0.04667131	trans
Proteomics	YBR053C	SNPs	2	340466	1.52e-09	0.03878859	Local	0.03878859	cis
Proteomics	YBR058C	SNPs	14	236383	2.45e-06	0.0271726	Distant	0.0271726	trans
Proteomics	YBR079C	SNPs	12	897145	3.5e-06	0.03031171	Distant	0.03031171	trans
Proteomics	YBR085C-A	SNPs	2	419943	2.44e-07	0.01910954	Local	0.01910954	cis
Proteomics	YBR088C	SNPs	10	553579	7.71e-09	0.03811163	Distant	0.03811163	trans
Proteomics	YBR088C	SNPs	11	382255	1.8e-06	0.01041082	Distant	0.01041082	trans
Proteomics	YBR121C	SNPs	15	701849	4.83e-06	0.02858802	Distant	0.02858802	trans
Proteomics	YBR126C	SNPs	11	232156	1.04e-06	0.00757175	Distant	0.00757175	trans
Proteomics	YBR126C	SNPs	4	440838	3.26e-06	0.02362797	Distant	0.02362797	trans
Proteomics	YBR126C	SNPs	11	50038	2.01e-06	0.01787388	Distant	0.01787388	trans
Proteomics	YBR135W	SNPs	9	416335	3.96e-08	0.00769999	Distant	0.00769999	trans
Proteomics	YBR143C	SNPs	12	395211	4.32e-06	0.03071565	Distant	0.03071565	trans
