snp_marker,chr,pos,Besse,Jakobson,Albert,Besse_piQTL,Albert_eQTL,Jakobson_pQTL
chr2:476732,2,476732,True,True,True,PLM2_HNM1(Fluconazole),MRX3;ASK10,
chr2:707848,2,707848,True,True,True,ERV25_ORM2(Trifluoperazine);RET2_EMP70(5-FC);RET2_SNA3(5-FC),ATG41,
chr2:722169,2,722169,True,True,True,ERV25_ORM2(Trifluoperazine),KSH1,
chr2:723281,2,723281,True,True,True,ERV25_ORM2(5-FC),ERG13;MNC1,STI1;VPH1
chr3:204897,3,204897,True,True,True,ADE17_PGM2(Trifluoperazine),CHA1;TMA20;IXR1;RIC1;PEX9;ALF1;TGL5;VAR1,CKS1
chr4:956734,4,956734,True,True,True,ADE17_HYR1(Metformin);RET2_EMP47(5-FC);RET2_EMP47(noDrug);SSH1_ERG11(Metformin),TCB2;MOD5;YDR338C;YMR265C;YPL245W,ATP7
chr4:979983,4,979983,True,True,True,HNM1_TPO4(Metformin);RET2_SNA3(Metformin),YDR261C-D;YDR262W;YGR027W-A;BUD9;ECL1;IME1;LAC1;MIH1;GAT2;YOR343W-B;SUR2,
chr7:458896,7,458896,True,True,True,SSH1_ERG11(Fluconazole),AAP1;YGK3;GSC2;SPS100;CLB1,
chr7:462915,7,462915,True,True,True,SSH1_ERG11(Fluconazole),GRS1;CKB1;YGR035C;EST3;NAT3;IPT1;GPA2;TUB1,
chr7:779852,7,779852,True,True,True,MID2_TPO2(Metformin),SYN8,
chr8:24772,8,24772,True,True,True,ERG11_ORM2(Fluconazole),RKM1,
chr9:270121,9,270121,True,True,True,ALO1_HYR1(5-FC);ALO1_HYR1(Metformin);ERG27_ACF2(Metformin);HUG1_ALO1(5-FC),AGE2;LSM1;YJL107C;YNR029C,
chr11:360267,11,360267,True,True,True,DHH1_LSM3(Metformin),SPG1;VPS24;PLB3,
chr11:463846,11,463846,True,True,True,ERG11_PIS1(Metformin),PRY2,
chr12:837460,12,837460,True,True,True,TPO1_MID2(Metformin),SSF2;GRH1;YIL100C-A;HIS6;TAL1;THI21;GVP36;URA1;CMC4,
chr13:92384,13,92384,True,True,True,ERV25_ORM2(Trifluoperazine),ALO1,
chr13:99275,13,99275,True,True,True,ALO1_UIP4(Metformin);ERG11_PIS1(5-FC);ERG11_PIS1(Metformin);ERG11_PIS1(Trifluoperazine);ERV25_EMP47(Metformin);MID2_TPO2(Metformin);SNA4_GTR2(Trifluoperazine),RCF2,RPS7B
chr13:500701,13,500701,True,True,True,SRO9_GIS2(Metformin),SPC24,IDH2;SHB17
chr13:509480,13,509480,True,True,True,ERG11_TPO4(Metformin),NCW1,ASN1;LYS20;MTD1;ADE1;ADE16;ADE17;VMA1
chr14:408355,14,408355,True,True,True,ERG11_HYR1(noDrug),SST2;ADE13,
chr14:441268,14,441268,True,True,True,ERG11_HYR1(Fluconazole);HNM1_MID2(Fluconazole);PLM2_SNA3(Fluconazole),ATS1;ALG7;SHG1;PBP4;HPT1;FMP52;TUB2;GYP8;PMA1;KSS1;MNT3;RPE1;BIT61;PHD1;SRN2;FUS2;PFK27;CKB2;YOR366W;AFT2;BEM4;NOP53;POC4;YPR063C;OPT2;SIW14;DGA1;PIS1,MET17;GLO2
chr14:752737,14,752737,True,True,True,HUG1_ALO1(5-FC);HUG1_ALO1(noDrug);HUG1_PGM2(5-FC);HUG1_PGM2(noDrug),IES6,
chr15:171150,15,171150,True,True,True,ADE17_PGM2(5-FC),FLC2;CDC24;ADE1;SCT1;PDR3;RCR1;IST2;RTC2;NGR1;ROT2;TAE1;SSH1;APE3;HBN1;YCP4;LRG1;PHO13;HBT1;FMP45;RTN2;MRX19;YDL085C-A;NDE2;MBP1;NPC2;MPS1;REG1;TPI1;COX26;YDR133C;UPC2;CRF1;HXT7;PKH3;KRE2;CYC7;GIP2;YER121W;PDA1;RIM15;LPD1;MET10;DUG1;YGL242C;MDS3;XRN1;INO80;GPI10;SCY1;PEX8;CTT1;GTO1;YGR201C;PUP2;YOR1;LAG1;YHI9;HXT5;FMO1;SCH9;OM45;SLM1;XBP1;CBR1;YIR016W;IRC24;PEX2;MNN5;SWI3;YJL163C;CIS3;TOK1;ZAP1;YJR015W;ASH1;GPM1;SDH1;MBR1;MDH1;DPC7;BYE1;ECM4;YCT1;POM33;SUL2;NHA1;SLS1;YLR152C;MSS51;CCC1;RCK2;ACO1;CST9;DCK1;TUB3;NTE1;AMD1;EIS1;MSN2;PGM2;SHH3;RGM1;YMR196W;TOM40;ERG24;RTC4;YNL234W;PPN2;YNL195C;YNL194C;RHO5;PGA2;MET4;EOS1;COX5A;HOL1;CDC33;MDH2;REX4;DCS2;GAC1;HER1;CIN1;ALD4;USV1;UIP4;YPL113C;PMA2;LSP1;MCM4;NVJ2;NCA2;KRE6;GPH1;BSP1;SKI3;LYS20;YDL180W;SNQ2;CYM1;AFG3;RIM4;BNA3;SDO1;RPM2;GAL11;PET127;AKR2;CRC1;MDM32;PNS1;MED4;MGM1;MOD5;YOP1,AIM45;GAS5;HCH1;HIS1;BCY1;LSO2;LYS9; LYS13;YKL151C; YKL606;PDB1;OYE2;PRO2;ADE17;RPS12;SDH8; FMP21;YMR196W; YM9646.09
