eQTL_gene_id,eQTL_gene,chromosome,eQTL_peak,eQTL_left,eQTL_right,eQTL_LOD,eQTL_gene_dist,eQTL_cis,eQTL_gene_description
YAL062W,GDH3,1,33293,33040,34170,206.0640621,0.0,True,"""NADP(+)-dependent glutamate dehydrogenase; synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources; GDH3 has a paralog ; GDH1 ; that arose from the whole genome duplication"""
YAL060W,BDH1,1,35818,35128,36637,100.8117352,0.0,True,"""NAD-dependent (R,R)-butanediol dehydrogenase; catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin ; oxidation of meso-butanediol to (3S)-acetoin ; and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source"""
YAL056W,GPB2,1,39162,39162,39162,244.7872668,0.0,True,"""Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p ; thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; GPB2 has a paralog ; GPB1 ; that arose from the whole genome duplication"""
YAL055W,PEX22,1,43691,36313,47044,20.62753863,0.0,True,"""Putative peroxisomal membrane protein; required for import of peroxisomal proteins; functionally complements a Pichia pastoris pex22 mutation"""
YAL054C,ACS1,1,44384,42115,48815,40.06561886,0.0,True,"""Acetyl-coA synthetase isoform; along with Acs2p ; acetyl-coA synthetase isoform is the nuclear source of acetyl-coA for histone acetylation; expressed during growth on nonfermentable carbon sources and under aerobic conditions"""
YAL049C,AIM2,1,52951,52632,53167,332.591545,0.0,True,"""Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interactor"""
YAL047C,SPC72,1,56195,33293,71601,4.472708677,0.0,True,"""Gamma-tubulin small complex (gamma-TuSC) receptor; recruits the gamma-TuSC complex to the cytoplasmic side of the SPB ; connecting nuclear microtubules to the SPB; involved in astral microtubule formation ; stabilization ; and with Stu2p ; anchoring astral MTs at the cytoplasmic face of the SPB ; and regulating plus-end MT dynamics; regulated by Cdc5 kinase"""
YAL046C,BOL3,1,47518,42635,53167,15.30064926,3877.0,False,"""Protein involved in Fe-S cluster transfer to mitochondrial clients; protects [4Fe-4S] clusters from damage due to oxidative stress by acting along with Nfu1p at a late step in the transfer of [4Fe-4S] clusters from the ISA complex to mitochondrial client proteins like lipoate synthase and succinate dehydrogenase; sequence similarity to human BOLA family member ; BOLA3 ; mutations of which are associated with Multiple Mitochondria Dysfunctions Syndrome (MMDS2)"""
YAL044C,GCV3,1,70024,33040,178682,2.780810443,0.0,True,"""H subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF"""
YAL042W,ERV46,1,62361,62361,68621,21.71631224,0.0,True,"""Protein localized to COPII-coated vesicles; forms a complex with Erv41p; involved in the membrane fusion stage of transport"""
