snp_marker,PPI,DRUG,piQTL_EFFECTSIZE_abs,piQTL,eQTL,pQTL,overlap_category
chr7:951285,ERG11_ACF2,Metformin,1.08280352,ERG11_ACF2(Metformin);MID2_MAM33(Metformin),,MRP8;YNK1;RTC3;YBR053C; YBR0506;YMR090W; YM9582.15;YNR034W-A,pQTL_only
chr7:951285,MID2_MAM33,Metformin,1.068667727,ERG11_ACF2(Metformin);MID2_MAM33(Metformin),,MRP8;YNK1;RTC3;YBR053C; YBR0506;YMR090W; YM9582.15;YNR034W-A,pQTL_only
chr8:24772,ERG11_ORM2,Fluconazole,0.498385309,ERG11_ORM2(Fluconazole),RKM1,,eQTL_only
chr8:56351,ERG11_HYR1,Fluconazole,0.464346575,ERG11_HYR1(Fluconazole);SSH1_ERG11(Fluconazole),,,piQTL_only
chr8:56351,SSH1_ERG11,Fluconazole,0.572092679,ERG11_HYR1(Fluconazole);SSH1_ERG11(Fluconazole),,,piQTL_only
chr8:56424,ADE17_PGM2,Fluconazole,0.642006069,ADE17_PGM2(Fluconazole),,,piQTL_only
chr8:63915,ERG11_ORM2,Fluconazole,0.478470816,ERG11_ORM2(Fluconazole);ERV25_EMP47(Fluconazole),,,piQTL_only
chr8:63915,ERV25_EMP47,Fluconazole,0.654032395,ERG11_ORM2(Fluconazole);ERV25_EMP47(Fluconazole),,,piQTL_only
chr8:62723,SSH1_ERG11,Fluconazole,0.669623827,SSH1_ERG11(Fluconazole),,,piQTL_only
chr8:65889,ERG11_ORM2,Fluconazole,0.478624569,ERG11_ORM2(Fluconazole);ERV25_ORM2(Fluconazole),,YPK1; SLI2,pQTL_only
chr8:65889,ERV25_ORM2,Fluconazole,0.601885803,ERG11_ORM2(Fluconazole);ERV25_ORM2(Fluconazole),,YPK1; SLI2,pQTL_only
chr8:71740,ERV25_ERG5,Fluconazole,0.567007721,ERV25_ERG5(Fluconazole),,,piQTL_only
chr8:72021,ERV25_ERG5,Fluconazole,1.162580474,ERV25_ERG5(Fluconazole),,,piQTL_only
chr8:74739,DHH1_LSM3,Fluconazole,0.624449892,DHH1_LSM3(Fluconazole);ERV25_ERG5(Fluconazole);ERV25_ORM2(Fluconazole);GTR1_SLM4(Fluconazole),,FAA1,pQTL_only
chr8:74739,ERV25_ERG5,Fluconazole,0.636048086,DHH1_LSM3(Fluconazole);ERV25_ERG5(Fluconazole);ERV25_ORM2(Fluconazole);GTR1_SLM4(Fluconazole),,FAA1,pQTL_only
chr8:74739,ERV25_ORM2,Fluconazole,0.644052627,DHH1_LSM3(Fluconazole);ERV25_ERG5(Fluconazole);ERV25_ORM2(Fluconazole);GTR1_SLM4(Fluconazole),,FAA1,pQTL_only
chr8:74739,GTR1_SLM4,Fluconazole,0.474945549,DHH1_LSM3(Fluconazole);ERV25_ERG5(Fluconazole);ERV25_ORM2(Fluconazole);GTR1_SLM4(Fluconazole),,FAA1,pQTL_only
chr8:120385,ERG11_HYR1,Fluconazole,0.465339011,ERG11_HYR1(Fluconazole);ERV25_ERG5(Fluconazole),,,piQTL_only
chr8:122655,ERG11_ORM2,Fluconazole,0.497536302,ERG11_ORM2(Fluconazole),,,piQTL_only
chr8:122347,ERG11_PIS1,Fluconazole,0.491823818,ERG11_PIS1(Fluconazole),,ENO1,pQTL_only
