snp_marker,chr,pos,Besse,Jakobson,Albert
chr1:1025,1,1025,True,True,False
chr1:1035,1,1035,True,True,False
chr1:1074,1,1074,True,True,False
chr1:1470,1,1470,True,True,False
chr1:1475,1,1475,True,True,False
chr1:1491,1,1491,True,True,False
chr1:21249,1,21249,True,True,False
chr1:27243,1,27243,True,True,False
chr1:27272,1,27272,True,True,False
chr1:27498,1,27498,True,True,False
chr1:27561,1,27561,True,True,False
chr1:27816,1,27816,True,True,False
chr1:27822,1,27822,True,True,False
chr1:27823,1,27823,True,True,False
chr1:27825,1,27825,True,True,False
chr1:27843,1,27843,True,True,False
chr1:27848,1,27848,True,True,False
chr1:28495,1,28495,True,True,False
chr1:28975,1,28975,True,True,False
chr1:29283,1,29283,True,True,False
chr1:29752,1,29752,True,True,False
chr1:29787,1,29787,True,True,False
chr1:30057,1,30057,True,True,False
chr1:30479,1,30479,True,True,False
chr1:30706,1,30706,True,True,False
chr1:31435,1,31435,True,True,False
chr1:33040,1,33040,False,False,True
chr1:33048,1,33048,False,False,True
chr1:33070,1,33070,False,False,True
chr1:33077,1,33077,False,False,True
chr1:33147,1,33147,False,False,True
chr1:33152,1,33152,False,False,True
chr1:33200,1,33200,False,False,True
chr1:33293,1,33293,False,False,True
chr1:33328,1,33328,False,False,True
chr1:33347,1,33347,False,False,True
chr1:33403,1,33403,False,False,True
chr1:33502,1,33502,False,False,True
chr1:33548,1,33548,False,False,True
chr1:33612,1,33612,False,False,True
chr1:33892,1,33892,False,False,True
chr1:33996,1,33996,False,False,True
chr1:34170,1,34170,False,False,True
chr1:34308,1,34308,False,False,True
chr1:34515,1,34515,False,False,True
chr1:34554,1,34554,False,False,True
chr1:34991,1,34991,False,False,True
chr1:35070,1,35070,False,False,True
chr1:35128,1,35128,True,True,True
chr1:35129,1,35129,True,True,False
chr1:35466,1,35466,False,False,True
chr1:35508,1,35508,False,False,True
chr1:35514,1,35514,False,False,True
chr1:35565,1,35565,False,False,True
chr1:35568,1,35568,False,False,True
chr1:35668,1,35668,False,False,True
chr1:35736,1,35736,False,False,True
chr1:35751,1,35751,False,False,True
chr1:35796,1,35796,False,False,True
chr1:35818,1,35818,False,False,True
chr1:35970,1,35970,False,False,True
chr1:36005,1,36005,False,False,True
chr1:36048,1,36048,False,False,True
chr1:36123,1,36123,False,False,True
chr1:36146,1,36146,True,True,True
chr1:36160,1,36160,False,False,True
chr1:36313,1,36313,False,False,True
chr1:36436,1,36436,False,False,True
chr1:36524,1,36524,False,False,True
chr1:36574,1,36574,False,False,True
chr1:36637,1,36637,False,False,True
chr1:36898,1,36898,False,False,True
chr1:37008,1,37008,False,False,True
chr1:37019,1,37019,False,False,True
chr1:37069,1,37069,False,False,True
chr1:37255,1,37255,True,True,True
chr1:37294,1,37294,False,False,True
chr1:37315,1,37315,False,False,True
