SNP,beta,PPI,DRUG
10214,-0.666932777,ADE17_GIS2,5-FC
10220,-0.556715619,ADE17_GIS2,5-FC
10224,-0.598979546,ADE17_GIS2,5-FC
7078,0.488152931,ADE17_GIS2,Fluconazole
11910,-0.44568902,ADE17_GIS2,Fluconazole
4647,-0.789097954,ADE17_GIS2,Metformin
2275,0.511965796,ADE17_GIS2,noDrug
3745,-0.53733216,ADE17_HYR1,Fluconazole
7076,0.467677297,ADE17_HYR1,Fluconazole
649,0.488727156,ADE17_HYR1,Metformin
2274,0.481486897,ADE17_HYR1,Metformin
649,0.628891311,ADE17_HYR1,noDrug
1096,-0.512281313,ADE17_PGM2,5-FC
1103,-0.551042652,ADE17_PGM2,5-FC
10190,-0.58077282,ADE17_PGM2,5-FC
10212,-0.632015084,ADE17_PGM2,5-FC
4893,0.642006069,ADE17_PGM2,Fluconazole
11918,-0.645895206,ADE17_PGM2,Fluconazole
11921,-0.462008284,ADE17_PGM2,Fluconazole
11928,-0.435472055,ADE17_PGM2,Fluconazole
82,-0.413688959,ADE17_PGM2,Metformin
1093,-0.536330161,ADE17_PGM2,Metformin
1095,-0.563615368,ADE17_PGM2,Metformin
1099,-0.528173743,ADE17_PGM2,Metformin
1093,-0.649302827,ADE17_PGM2,Trifluoperazine
1097,-0.695476542,ADE17_PGM2,Trifluoperazine
1103,-0.603807802,ADE17_PGM2,Trifluoperazine
10207,-0.593035517,ADE17_PGM2,Trifluoperazine
10212,-0.580191045,ADE17_PGM2,Trifluoperazine
10842,-0.533036542,ADE17_PGM2,Trifluoperazine
10853,-0.577217299,ADE17_PGM2,Trifluoperazine
10861,-1.325353565,ADE17_PGM2,Trifluoperazine
10865,-0.584102813,ADE17_PGM2,Trifluoperazine
1093,-0.504355343,ADE17_PGM2,noDrug
1096,-0.583791104,ADE17_PGM2,noDrug
1103,-0.568276373,ADE17_PGM2,noDrug
10207,-0.560292459,ADE17_PGM2,noDrug
10212,-0.655080404,ADE17_PGM2,noDrug
10855,-0.500377952,ADE17_PGM2,noDrug
10861,-1.035483101,ADE17_PGM2,noDrug
2866,-0.618766116,ALO1_ADE17,5-FC
5734,-0.667930125,ALO1_ADE17,5-FC
5747,-0.716956424,ALO1_ADE17,5-FC
5766,-0.70500492,ALO1_ADE17,5-FC
5779,-0.701719158,ALO1_ADE17,5-FC
10419,-0.760577861,ALO1_ADE17,5-FC
11910,-0.714236331,ALO1_ADE17,5-FC
11912,-0.663732694,ALO1_ADE17,5-FC
11940,-0.628069781,ALO1_ADE17,5-FC
11942,-0.648069467,ALO1_ADE17,5-FC
2528,0.670601324,ALO1_ADE17,Fluconazole
5693,-0.704412211,ALO1_ADE17,Fluconazole
5704,-0.711954684,ALO1_ADE17,Fluconazole
5716,-1.325522539,ALO1_ADE17,Fluconazole
5721,-0.663241049,ALO1_ADE17,Fluconazole
5732,-0.838136636,ALO1_ADE17,Fluconazole
2528,0.524813304,ALO1_ADE17,Metformin
5734,-0.524286711,ALO1_ADE17,Metformin
11903,-0.549320546,ALO1_ADE17,Metformin
11912,-0.516350796,ALO1_ADE17,Metformin
11918,-0.794341768,ALO1_ADE17,Metformin
11927,-0.528265517,ALO1_ADE17,Metformin
11940,-0.542141429,ALO1_ADE17,Metformin
11942,-0.584328853,ALO1_ADE17,Metformin
5734,-0.645805735,ALO1_ADE17,Trifluoperazine
5747,-0.612513886,ALO1_ADE17,Trifluoperazine
5766,-0.604125975,ALO1_ADE17,Trifluoperazine
5779,-0.586845365,ALO1_ADE17,Trifluoperazine
11910,-0.640201281,ALO1_ADE17,Trifluoperazine
11912,-0.620483129,ALO1_ADE17,Trifluoperazine
11921,-0.603890739,ALO1_ADE17,Trifluoperazine
11927,-0.615787451,ALO1_ADE17,Trifluoperazine
11940,-0.644210349,ALO1_ADE17,Trifluoperazine
11942,-0.659480694,ALO1_ADE17,Trifluoperazine
5750,-0.664125436,ALO1_ADE17,noDrug
5779,-0.659866676,ALO1_ADE17,noDrug
11910,-0.744102108,ALO1_ADE17,noDrug
11912,-0.72591937,ALO1_ADE17,noDrug
11922,-0.665145537,ALO1_ADE17,noDrug
11927,-0.709918036,ALO1_ADE17,noDrug
11940,-0.732559504,ALO1_ADE17,noDrug
11942,-0.764341729,ALO1_ADE17,noDrug
5792,-0.535033186,ALO1_HYR1,5-FC
10438,-0.939086382,ALO1_HYR1,5-FC
11929,-0.571681977,ALO1_HYR1,5-FC
11940,-0.554589201,ALO1_HYR1,5-FC
11945,-0.554170283,ALO1_HYR1,5-FC
1784,1.401887527,ALO1_HYR1,Fluconazole
5745,-0.66083254,ALO1_HYR1,Fluconazole
8898,-0.648596716,ALO1_HYR1,Fluconazole
10216,-0.687016277,ALO1_HYR1,Fluconazole
11711,0.656108772,ALO1_HYR1,Fluconazole
11912,-0.629977903,ALO1_HYR1,Fluconazole
11940,-0.611644231,ALO1_HYR1,Fluconazole
11946,-0.631393877,ALO1_HYR1,Fluconazole
2530,0.481206138,ALO1_HYR1,Metformin
5792,-0.468369867,ALO1_HYR1,Metformin
10389,0.808421594,ALO1_HYR1,noDrug
10438,-0.912223589,ALO1_HYR1,noDrug
11909,-0.569897102,ALO1_HYR1,noDrug
11912,-0.623881887,ALO1_HYR1,noDrug
11920,-0.586828911,ALO1_HYR1,noDrug
11929,-0.620089713,ALO1_HYR1,noDrug
11940,-0.618596348,ALO1_HYR1,noDrug
11945,-0.600224926,ALO1_HYR1,noDrug
6985,0.648233074,ALO1_UIP4,5-FC
6987,0.627095125,ALO1_UIP4,5-FC
10419,-0.751060835,ALO1_UIP4,5-FC
10425,-0.64531408,ALO1_UIP4,5-FC
10438,-1.053650252,ALO1_UIP4,5-FC
10480,-0.720731034,ALO1_UIP4,5-FC
11897,-0.68325472,ALO1_UIP4,5-FC
11912,-0.679810481,ALO1_UIP4,5-FC
11940,-0.63979367,ALO1_UIP4,5-FC
1784,1.173047184,ALO1_UIP4,Fluconazole
10024,2.363536709,ALO1_UIP4,Fluconazole
11912,-0.574406482,ALO1_UIP4,Fluconazole
11918,-0.931055407,ALO1_UIP4,Fluconazole
11935,-0.578813596,ALO1_UIP4,Fluconazole
11946,-0.61415972,ALO1_UIP4,Fluconazole
8522,-0.802114416,ALO1_UIP4,Metformin
10438,-0.871119858,ALO1_UIP4,Metformin
10480,-0.580997715,ALO1_UIP4,Metformin
11897,-0.525142938,ALO1_UIP4,Metformin
22,3.592200172,ALO1_UIP4,Trifluoperazine
6985,0.587632641,ALO1_UIP4,Trifluoperazine
6989,0.56995044,ALO1_UIP4,Trifluoperazine
10438,-1.108831864,ALO1_UIP4,Trifluoperazine
10480,-0.564488442,ALO1_UIP4,Trifluoperazine
11912,-0.580768704,ALO1_UIP4,Trifluoperazine
