BETA	cis_trans	Zscore	abs_z
-2.14131	cis	-6.799133066410183	6.799133066410183
-1.07303	cis	-3.425652335710463	3.425652335710463
-0.130006	cis	-0.4477127575218121	0.4477127575218121
-0.112139	cis	-0.3912912386172066	0.3912912386172066
-1.43287	cis	-4.561977368599769	4.561977368599769
-0.171464	cis	-0.5786313969546845	0.5786313969546845
1.16889	cis	3.654021457462034	3.654021457462034
-0.133131	cis	-0.45758107601830794	0.45758107601830794
0.140966	cis	0.4079794023605825	0.4079794023605825
0.368378	cis	1.1261150970566216	1.1261150970566216
0.130746	cis	0.3757060535496423	0.3757060535496423
-0.46045	cis	-1.4912092814437596	1.4912092814437596
0.305918	cis	0.9288750416034591	0.9288750416034591
-1.0437	cis	-3.3330322456297514	3.3330322456297514
0.0770189	cis	0.20604329044785544	0.20604329044785544
-0.376199	cis	-1.2251562569163117	1.2251562569163117
-0.500785	cis	-1.6185816419417312	1.6185816419417312
1.01463	cis	3.166889677855808	3.166889677855808
0.155897	cis	0.45512943867136013	0.45512943867136013
0.0720635	cis	0.19039482149504405	0.19039482149504405
-0.0516438	cis	-0.20025575026225687	0.20025575026225687
0.5323	cis	1.6437581385230533	1.6437581385230533
-1.65048	cis	-5.249159700766959	5.249159700766959
-1.35194	cis	-4.306411603504916	4.306411603504916
0.264076	cis	0.7967437831937371	0.7967437831937371
-1.24697	cis	-3.974930837880221	3.974930837880221
0.208994	cis	0.6228024329780616	0.6228024329780616
0.117298	cis	0.3332391264645618	0.3332391264645618
1.01185	cis	3.1581108217213254	3.1581108217213254
-0.549271	cis	-1.7716937349404829	1.7716937349404829
0.900129	cis	2.8053113302822803	2.8053113302822803
-0.204558	cis	-0.6831376792980556	0.6831376792980556
-0.71037	cis	-2.2804221322099196	2.2804221322099196
0.876234	cis	2.729854219730674	2.729854219730674
-1.47068	cis	-4.681376127752571	4.681376127752571
0.177943	cis	0.5247476625349595	0.5247476625349595
-0.125441	cis	-0.4332971178621309	0.4332971178621309
0.0525499	cis	0.12877356715481295	0.12877356715481295
-0.119001	cis	-0.41296048710455213	0.41296048710455213
0.493851	cis	1.5223415056040865	1.5223415056040865
0.106931	cis	0.3005015719515465	0.3005015719515465
-2.53707	cis	-8.048888499425612	8.048888499425612
0.400536	cis	1.2276656206439223	1.2276656206439223
1.28967	cis	4.035428020024201	4.035428020024201
-0.179751	cis	-0.6048005986764321	0.6048005986764321
-0.916029	cis	-2.929864856584591	2.929864856584591
0.758144	cis	2.3569423057302905	2.3569423057302905
-0.1494	cis	-0.5089563315765453	0.5089563315765453
0.447772	cis	1.3768303862440758	1.3768303862440758
0.278481	cis	0.8422327841351845	0.8422327841351845
-0.683543	cis	-2.1957061705121617	2.1957061705121617
0.0763991	cis	0.20408604763053442	0.20408604763053442
-0.92209	cis	-2.9490046576749145	2.9490046576749145
0.130724	cis	0.37563658058742705	0.37563658058742705
-0.613204	cis	-1.9735853210001537	1.9735853210001537
0.150038	cis	0.43662752568864993	0.43662752568864993
1.08271	cis	3.3818769172930696	3.3818769172930696
-2.13994	cis	-6.79480679558132	6.79480679558132
-0.18758	cis	-0.6295234996393333	0.6295234996393333
-0.160171	cis	-0.5429696623047876	0.5429696623047876
0.100779	cis	0.28107440542660483	0.28107440542660483
-0.363801	cis	-1.1860050848460537	1.1860050848460537
1.67192	cis	5.242520738515578	5.242520738515578
0.710977	cis	2.2079954326025395	2.2079954326025395
-0.280817	cis	-0.9239530713698251	0.9239530713698251
-1.36144	cis	-4.336411291734264	4.336411291734264
0.210924	cis	0.6288971064814974	0.6288971064814974
-0.495879	cis	-1.6030891713677125	1.6030891713677125
0.668328	cis	2.073315779624283	2.073315779624283
-1.47102	cis	-4.68244980080499	4.68244980080499
-0.315342	cis	-1.0329782541191117	1.0329782541191117
-0.0995011	cis	-0.3513824954726097	0.3513824954726097
0.114196	cis	0.32344343879220017	0.32344343879220017
-0.769464	cis	-2.467032824444137	2.467032824444137
-0.312744	cis	-1.024774128853865	1.024774128853865
-0.599759	cis	-1.93112786750083	1.93112786750083
-0.262083	cis	-0.864793686181552	0.864793686181552
-0.0740477	cis	-0.27100417290662304	0.27100417290662304
-0.314245	cis	-1.0295140795941018	1.0295140795941018
0.06989	cis	0.1835312086143612	0.1835312086143612
-0.288336	cis	-0.9476970351378738	0.9476970351378738
0.0891548	cis	0.24436678690917527	0.24436678690917527
0.473504	cis	1.458088489140662	1.458088489140662
-0.147127	cis	-0.501778511434934	0.501778511434934
0.491871	cis	1.5160889390047068	1.5160889390047068
0.080219	cis	0.2161487643744591	0.2161487643744591
-1.63311	cis	-5.194307639236036	5.194307639236036
-0.0430416	cis	-0.17309119046367868	0.17309119046367868
0.146494	cis	0.42543606304814385	0.42543606304814385
0.752122	cis	2.337925661254803	2.337925661254803
0.0525225	cis	0.1286870417382357	0.1286870417382357
-1.73077	cis	-5.502704434233728	5.502704434233728
0.594301	cis	1.8395487353554503	1.8395487353554503
0.653726	cis	2.0272046798848162	2.0272046798848162
0.0552751	cis	0.13737937245614115	0.13737937245614115
-0.148882	cis	-0.507320559102566	0.507320559102566
-0.281562	cis	-0.9263056784993897	0.9263056784993897
