pQTL_protein,pQTL_commonName,pVal,beta,isQtn,index,chromosome,pQTL_peak,dist,cis_trans,pQTL_effect,SNP,pQTL_left,pQTL_right,pQTL_cis
YHR183W,GND1,15.06180058,-0.23495336,1,5323,8,459723,11237.0,trans,0.23495336,5323,449957,461438,False
YHR183W,GND1,12.41330236,-1.356235225,0,10777,15,785154,inf,trans,1.356235225,10777,785154,785154,False
YHR183W,GND1,7.674657596,0.271864135,1,1002,3,92556,inf,trans,0.271864135,1002,79867,96560,False
YHR183W,GND1,6.37139768,0.147005981,0,842,2,780187,inf,trans,0.147005981,842,772699,791790,False
YHR183W,GND1,5.421740139,-0.133658653,0,2302,4,975354,inf,trans,0.133658653,2302,959283,1000959,False
YGR256W,GND2,31.5486007,0.38117818,1,10191,15,171671,inf,trans,0.38117818,10191,165912,184082,False
YGR256W,GND2,17.64792671,0.246836721,1,11680,16,572345,inf,trans,0.246836721,11680,572345,572345,False
YGR256W,GND2,10.99687306,0.196903433,1,4385,7,607810,396820.0,trans,0.196903433,4385,592987,609851,False
YGR256W,GND2,8.592122923,-0.237640105,0,3207,5,396254,inf,trans,0.237640105,3207,379541,398644,False
YGR256W,GND2,8.248064667,-0.159687539,0,10433,15,446992,inf,trans,0.159687539,10433,441176,453019,False
YGR256W,GND2,7.201634263,-0.387285701,1,6252,10,414836,inf,trans,0.387285701,6252,413692,438861,False
YGR256W,GND2,5.721645624,0.129881689,0,5610,9,138636,inf,trans,0.129881689,5610,125289,144955,False
YGR256W,GND2,5.621315316,0.131009794,0,3669,6,71471,inf,trans,0.131009794,3669,62743,74913,False
YGR256W,GND2,5.120347542,0.122296721,0,5799,9,276483,inf,trans,0.122296721,5799,273029,283290,False
YGR256W,GND2,4.745326136,0.163006985,1,3192,5,378741,inf,trans,0.163006985,3192,377631,396266,False
YGR256W,GND2,4.41572776,0.112208488,0,8725,13,397928,inf,trans,0.112208488,8725,389323,406726,False
YGL115W,SNF4,5.842281987,0.172278683,1,7904,12,510241,inf,trans,0.172278683,7904,506655,510268,False
YGL115W,SNF4,5.62632636,-0.167873331,1,9218,13,877043,inf,trans,0.167873331,9218,869923,896327,False
YLR027C,AAT2; ASP5,10.99064349,0.206180741,1,7612,12,196991,0.0,cis,0.206180741,7612,186678,207362,True
YLR027C,AAT2; ASP5,7.923482853,-0.176890879,0,7984,12,572030,373944.0,trans,0.176890879,7984,567889,576167,False
YLR027C,AAT2; ASP5,7.216711655,0.164159762,0,7164,11,393945,inf,trans,0.164159762,7164,392685,400712,False
YLR027C,AAT2; ASP5,6.142107331,0.192105079,0,8470,13,68113,inf,trans,0.192105079,8470,56990,75198,False
YLR027C,AAT2; ASP5,5.651371254,0.141220762,0,6722,11,17061,inf,trans,0.141220762,6722,11470,20567,False
YLR027C,AAT2; ASP5,4.710526414,-0.126713411,0,1343,4,102705,inf,trans,0.126713411,1343,90554,106371,False
YLR027C,AAT2; ASP5,4.480412849,-0.1500385,1,5808,9,287755,inf,trans,0.1500385,5808,286125,289513,False
YLR027C,AAT2; ASP5,4.457233369,-0.137904483,0,10189,15,170944,inf,trans,0.137904483,10189,165912,184082,False
YLR027C,AAT2; ASP5,4.374452479,-0.123722337,0,10068,15,51177,inf,trans,0.123722337,10068,44170,59142,False
YLR027C,AAT2; ASP5,4.246399451,-0.121153758,0,11681,16,572464,inf,trans,0.121153758,11681,544393,587778,False
YLR027C,AAT2; ASP5,4.222822896,-0.118606319,1,9230,13,895661,inf,trans,0.118606319,9230,877043,902532,False
YMR072W,ABF2; HIM1,21.05977535,0.346128857,1,10192,15,172074,inf,trans,0.346128857,10192,165912,184082,False
YMR072W,ABF2; HIM1,8.080470351,-0.170094806,1,8670,13,333904,77664.0,trans,0.170094806,8670,329611,338431,False
YMR072W,ABF2; HIM1,8.055196204,-0.15925097,1,3043,5,214752,inf,trans,0.15925097,3043,210350,223004,False
YMR072W,ABF2; HIM1,6.90010029,0.147427436,0,11699,16,586993,inf,trans,0.147427436,11699,572464,593213,False
YMR072W,ABF2; HIM1,6.669848488,-0.153153398,0,1769,4,487957,inf,trans,0.153153398,1769,472918,504419,False
YMR072W,ABF2; HIM1,5.787868512,0.132097424,0,5618,9,144955,inf,trans,0.132097424,5618,132718,155581,False
YMR072W,ABF2; HIM1,5.551204913,-0.178408068,0,8463,13,61764,349804.0,trans,0.178408068,8463,55098,75198,False
YMR072W,ABF2; HIM1,5.257098431,-0.225991496,0,5243,8,386052,inf,trans,0.225991496,5243,386052,386052,False
YMR072W,ABF2; HIM1,5.074094177,0.124680281,0,7892,12,501622,inf,trans,0.124680281,7892,450044,509982,False
YMR072W,ABF2; HIM1,5.031413405,0.135747243,0,5270,8,400740,inf,trans,0.135747243,5270,386144,417360,False
YMR072W,ABF2; HIM1,4.968670202,0.269302183,0,5416,8,541428,inf,trans,0.269302183,5416,541428,541428,False
YMR072W,ABF2; HIM1,4.52486221,-0.122964348,0,5298,8,437059,inf,trans,0.122964348,5298,425448,449957,False
YMR072W,ABF2; HIM1,4.451401694,0.381820956,0,8582,13,179719,231849.0,trans,0.381820956,8582,179719,179719,False
YMR072W,ABF2; HIM1,4.377294516,0.167926044,0,8629,13,268101,143467.0,trans,0.167926044,8629,268101,268108,False
YMR072W,ABF2; HIM1,4.334311928,0.11361875,1,5185,8,341299,inf,trans,0.11361875,5185,337892,343641,False
YMR072W,ABF2; HIM1,4.312284738,-0.240683434,0,988,3,84421,inf,trans,0.240683434,988,84421,84421,False
