protein,ORF,gene,isPPI-gene
YOR014W,YOR014W,RTS1,FALSE
YAL016W,YAL016W,TPD3,FALSE
YGL190C,YGL190C,CDC55,FALSE
YJR025C,YJR025C,BNA1,FALSE
YHR183W,YHR183W,GND1,FALSE
YGR256W,YGR256W,GND2,FALSE
YGL115W,YGL115W,SNF4,FALSE
YLR027C,YLR027C,AAT2,FALSE
YOR239W,YOR239W,ABP140,FALSE
YMR072W,YMR072W,ABF2,FALSE
YCR088W,YCR088W,ABP1,FALSE
YNR016C,YNR016C,ACC1,FALSE
YGR037C,YGR037C,ACB1,FALSE
YBL015W,YBL015W,ACH1,FALSE
YLR304C,YLR304C,ACO1,FALSE
YJL200C,YJL200C,ACO2,FALSE
YKL192C,YKL192C,ACP1,FALSE
YLR153C,YLR153C,ACS2,FALSE
YFL039C,YFL039C,ACT1,FALSE
YNL141W,YNL141W,AAH1,FALSE
YOL086C,YOL086C,ADH1,FALSE
YMR083W,YMR083W,ADH3,FALSE
YGL256W,YGL256W,ADH4,FALSE
YBR145W,YBR145W,ADH5,FALSE
YMR318C,YMR318C,ADH6,FALSE
YJR105W,YJR105W,ADO1,FALSE
YPL252C,YPL252C,YAH1,FALSE
YMR056C,YMR056C,AAC1,FALSE
YBL030C,YBL030C,PET9,FALSE
YBR085W,YBR085W,AAC3,FALSE
YEL058W,YEL058W,PCM1,FALSE
YDR214W,YDR214W,AHA1,FALSE
YLR109W,YLR109W,AHP1,FALSE
YAL049C,YAL049C,AIM2,FALSE
YIR003W,YIR003W,AIM21,FALSE
YDR063W,YDR063W,AIM7,FALSE
YER080W,YER080W,AIM9,FALSE
YMR092C,YMR092C,AIP1,FALSE
YER052C,YER052C,HOM3,FALSE
YLR089C,YLR089C,ALT1,FALSE
YOR374W,YOR374W,ALD4,FALSE
YER073W,YER073W,ALD5,FALSE
YPL061W,YPL061W,ALD6,FALSE
YKL060C,YKL060C,FBA1,FALSE
YNL219C,YNL219C,ALG9,FALSE
YIR032C,YIR032C,DAL3,FALSE
YML086C,YML086C,ALO1,TRUE
YKL103C,YKL103C,APE1,FALSE
YEL036C,YEL036C,ANP1,FALSE
YCL050C,YCL050C,APA1,FALSE
YKL157W,YKL157W,APE2,FALSE
YBR286W,YBR286W,APE3,FALSE
YML022W,YML022W,APT1,FALSE
YBR149W,YBR149W,ARA1,FALSE
YER036C,YER036C,ARB1,FALSE
YGL105W,YGL105W,ARC1,FALSE
YHR013C,YHR013C,ARD1,FALSE
YER069W,YER069W,ARG56,FALSE
YOL140W,YOL140W,ARG8,FALSE
YMR062C,YMR062C,ARG7,FALSE
YGL157W,YGL157W,ARI1,FALSE
YHR018C,YHR018C,ARG4,FALSE
YMR027W,YMR027W,YMR027W,FALSE
YDR127W,YDR127W,ARO1,FALSE
YGL202W,YGL202W,ARO8,FALSE
YGL148W,YGL148W,ARO2,FALSE
YDR035W,YDR035W,ARO3,FALSE
YBR249C,YBR249C,ARO4,FALSE
YDL029W,YDL029W,ARP2,FALSE
YJR065C,YJR065C,ARP3,FALSE
YPR034W,YPR034W,ARP7,FALSE
YBR234C,YBR234C,ARC40,FALSE
YNR035C,YNR035C,ARC35,FALSE
YLR370C,YLR370C,ARC18,FALSE
YKL013C,YKL013C,ARC19,FALSE
YIL062C,YIL062C,ARC15,FALSE
YDR101C,YDR101C,ARX1,FALSE
YDL197C,YDL197C,ASF2,FALSE
YPR145W,YPR145W,ASN1,FALSE
YGR124W,YGR124W,ASN2,FALSE
YDR321W,YDR321W,ASP1,FALSE
YOL058W,YOL058W,ARG1,FALSE
YGL167C,YGL167C,PMR1,FALSE
YEL031W,YEL031W,SPF1,FALSE
YDL181W,YDL181W,INH1,FALSE
YNL315C,YNL315C,ATP11,FALSE
YML081C-A,YML081C-A,ATP18,FALSE
YOL077W-A,YOL077W-A,ATP19,FALSE
YPL271W,YPL271W,ATP15,FALSE
YKL016C,YKL016C,ATP7,FALSE
YBL099W,YBL099W,ATP1,FALSE
YJR121W,YJR121W,ATP2,FALSE
YPL078C,YPL078C,ATP4,FALSE
YBR039W,YBR039W,ATP3,FALSE
YDR322C-A,YDR322C-A,TIM11,FALSE
YDR377W,YDR377W,ATP17,FALSE
YPR020W,YPR020W,ATP20,FALSE
YDR298C,YDR298C,ATP5,FALSE
YJL020C,YJL020C,BBC1,FALSE
YHR208W,YHR208W,BAT1,FALSE
YAL060W,YAL060W,BDH1,FALSE
YOR198C,YOR198C,BFR1,FALSE
YGR282C,YGR282C,BGL2,FALSE
YJL034W,YJL034W,KAR2,FALSE
YNL239W,YNL239W,LAP3,FALSE
