Pheno_Type	Pheno	Geno_Type	Chr	ChrPos	PValue	EffectSize	Loc	abs_effect	cis_trans
Transcriptomics	X1767-snap_masked	SNPs	12	877966	7.89e-07	0.03782773		0.03782773	
Transcriptomics	X1767-snap_masked	SNPs	15	727817	3.41e-06	0.05147592		0.05147592	
Transcriptomics	X1767-snap_masked	SNPs	7	1068065	4.03e-06	0.01657092		0.01657092	
Transcriptomics	YAL001C	SNPs	1	92368	2.31e-06	0.06044353	Distant	0.06044353	trans
Transcriptomics	YAL002W	SNPs	1	146738	1.01e-06	0.07425864	Local	0.07425864	cis
Transcriptomics	YAL002W	SNPs	16	422588	2.59e-06	0.08084766	Distant	0.08084766	trans
Transcriptomics	YAL005C	SNPs	7	367444	4.47e-06	0.00685094	Distant	0.00685094	trans
Transcriptomics	YAL008W	SNPs	4	66957	2.5e-06	0.10272067	Distant	0.10272067	trans
Transcriptomics	YAL016C-B	SNPs	12	739705	9.17e-06	0.02484231	Distant	0.02484231	trans
Transcriptomics	YAL017W	SNPs	1	132831	2.24e-06	0.0803265	Local	0.0803265	cis
Transcriptomics	YAL028W	SNPs	13	177810	8.4e-07	0.02449238	Distant	0.02449238	trans
Transcriptomics	YAL037W	SNPs	1	73871	1.28e-06	0.01794367	Local	0.01794367	cis
Transcriptomics	YAL037W	SNPs	8	291516	5.42e-06	0.01805923	Distant	0.01805923	trans
Transcriptomics	YAL044W-A	SNPs	12	1041082	4.2e-06	0.00593084	Distant	0.00593084	trans
Transcriptomics	YAL049C	SNPs	1	52603	7.230000000000001e-58	0.43855027	Local	0.43855027	cis
Transcriptomics	YAL049C	SNPs	1	49247	1.86e-12	0.11281688	Local	0.11281688	cis
Transcriptomics	YAL049C	SNPs	1	41481	5.14e-09	0.06863046	Local	0.06863046	cis
Transcriptomics	YAL049C	SNPs	15	940471	6.89e-08	0.00737974	Distant	0.00737974	trans
Transcriptomics	YAL049C	SNPs	1	49614	1.39e-06	0.02544756	Local	0.02544756	cis
Transcriptomics	YAL049C	SNPs	1	40237	2.05e-06	0.01739415	Local	0.01739415	cis
Transcriptomics	YAL059W	SNPs	7	655851	4.1e-08	0.0081169	Distant	0.0081169	trans
Transcriptomics	YAL060W	SNPs	1	34515	1.54e-06	0.06785074	Local	0.06785074	cis
Transcriptomics	YAL061W	SNPs	1	33140	3.68e-08	0.05821996	Local	0.05821996	cis
Transcriptomics	YAL063C	SNPs	1	198726	2.46e-12	0.02587444	Distant	0.02587444	trans
Transcriptomics	YAL063C	SNPs	5	115800	3.59e-06	0.00328787	Distant	0.00328787	trans
Transcriptomics	YAL065C	SNPs	1	198726	1.51e-06	0.0257317	Distant	0.0257317	trans
Transcriptomics	YAR007C	SNPs	16	768715	1.97e-06	0.04444782	Distant	0.04444782	trans
Transcriptomics	YAR008W	SNPs	9	112854	3.94e-06	0.00472957	Distant	0.00472957	trans
Transcriptomics	YAR015W	SNPs	5	115800	5.69e-06	0.00442621	Distant	0.00442621	trans
