Pheno_Type	Pheno	Geno_Type	Chr	ChrPos	PValue	EffectSize	Loc	abs_effect	cis_trans
Proteomics	YBR283C	SNPs	15	234579	1.45e-06	0.00938182	Distant	0.00938182	trans
Proteomics	YEL013W	SNPs	7	766797	8.29e-09	0.08747286	Distant	0.08747286	trans
Proteomics	YEL013W	SNPs	15	257563	1.71e-06	0.01945275	Distant	0.01945275	trans
Proteomics	YFL048C	SNPs	8	274614	2.06e-06	0.10106001	Distant	0.10106001	trans
Proteomics	YIL070C	SNPs	13	313379	1.2e-06	0.0127647	Distant	0.0127647	trans
Proteomics	YIR037W	SNPs	3	24352	4.25e-06	0.05706976	Distant	0.05706976	trans
Proteomics	YML012W	SNPs	10	450584	2.17e-07	0.01060039	Distant	0.01060039	trans
Proteomics	YML086C	SNPs	13	97573	2.13e-10	0.01302457	Local	0.01302457	cis
Proteomics	YMR015C	SNPs	5	33002	8.1e-06	0.06034173	Distant	0.06034173	trans
Proteomics	YMR105C	SNPs	4	1414327	1.02e-06	0.04540536	Distant	0.04540536	trans
Proteomics	YMR105C	SNPs	15	1031150	4.6e-06	0.058829	Distant	0.058829	trans
Proteomics	YMR120C	SNPs	7	735274	1.86e-07	0.00935336	Distant	0.00935336	trans
Proteomics	YMR120C	SNPs	5	157488	9.43e-07	0.0685774	Distant	0.0685774	trans
Proteomics	YMR120C	SNPs	16	233007	1.35e-07	0.01777507	Distant	0.01777507	trans
Proteomics	YMR120C	SNPs	4	241044	1.23e-06	0.00943755	Distant	0.00943755	trans
Proteomics	YNL255C	SNPs	11	174659	1.42e-06	0.01224207	Distant	0.01224207	trans
Proteomics	YPR113W	SNPs	10	423966	3.95e-06	0.02770185	Distant	0.02770185	trans
