sid_index	SNP	Chr	ChrPos	PValue	EffectSize	Pheno	type	abs_effect	cis_trans
4268	rs_chromosome8_497870	8	497870	3.34005563713915e-06	0.0107932962204765	YAL003W	TRANS	0.0107932962204765	trans
1214	rs_chromosome11_113405	11	113405	1.01518658262036e-06	0.023838783636007	YAL003W	TRANS	0.023838783636007	trans
4228	rs_chromosome13_545488	13	545488	3.14804865362769e-06	0.0219533243704768	YAL005C	TRANS	0.0219533243704768	trans
302	rs_chromosome8_36046	8	36046	5.29953636512487e-07	0.0242270980975425	YAL012W	TRANS	0.0242270980975425	trans
840	rs_chromosome12_94959	12	94959	3.11269441144432e-06	0.0885672010726643	YAL012W	TRANS	0.0885672010726643	trans
4407	rs_chromosome14_478701	14	478701	1.24979508579345e-06	0.0574451185599439	YAL012W	TRANS	0.0574451185599439	trans
4301	rs_chromosome14_466760	14	466760	4.66347010612447e-06	0.050579302603215	YAL023C	TRANS	0.050579302603215	trans
6819	rs_chromosome16_810752	16	810752	2.25913413460035e-07	0.0275313109283809	YAR007C	TRANS	0.0275313109283809	trans
11084	rs_chromosome4_1356006	4	1356006	1.0231648307599e-05	0.0400689241595791	YBL030C	TRANS	0.0400689241595791	trans
12051	rs_chromosome4_1461391	4	1461391	8.95159566594836e-06	0.0785782158858793	YBL030C	TRANS	0.0785782158858793	trans
4833	rs_chromosome7_567850	7	567850	6.01323386804678e-06	0.0013809631937485	YBL030C	TRANS	0.0013809631937485	trans
2044	rs_chromosome12_224239	12	224239	4.89684893728144e-06	0.0610612190869644	YBL047C	TRANS	0.0610612190869644	trans
5736	rs_chromosome15_617402	15	617402	5.02850196492857e-06	0.0200342757852226	YBL047C	TRANS	0.0200342757852226	trans
2105	rs_chromosome9_269148	9	269148	2.46727345666905e-06	0.0150291520904852	YBL058W	TRANS	0.0150291520904852	trans
2341	rs_chromosome3_235062	3	235062	9.06384689294111e-06	0.174520109716227	YBR088C	TRANS	0.174520109716227	trans
2342	rs_chromosome3_235065	3	235065	9.06384689294111e-06	0.174520109716227	YBR088C	TRANS	0.174520109716227	trans
6762	rs_chromosome12_796413	12	796413	2.2808206341029e-06	0.136173047861207	YBR088C	TRANS	0.136173047861207	trans
1624	rs_chromosome12_175382	12	175382	4.88734413067444e-07	0.231465376509617	YBR106W	TRANS	0.231465376509617	trans
1810	rs_chromosome13_220830	13	220830	1.5754420596579e-06	0.143245826955206	YBR106W	TRANS	0.143245826955206	trans
4468	rs_chromosome14_485955	14	485955	1.88644420390502e-06	0.0236581825973486	YBR109C	TRANS	0.0236581825973486	trans
180	rs_chromosome1_42413	1	42413	2.88441456707402e-06	0.0253475535649551	YBR127C	TRANS	0.0253475535649551	trans
2314	rs_chromosome3_233678	3	233678	1.62852729905862e-06	0.136116727119662	YBR127C	TRANS	0.136116727119662	trans
4512	rs_chromosome13_574079	13	574079	2.76363447130322e-06	0.0926384078354275	YBR127C	TRANS	0.0926384078354275	trans
6997	rs_chromosome4_845567	4	845567	8.18467646728238e-06	0.138428575835849	YBR143C	TRANS	0.138428575835849	trans
6998	rs_chromosome4_845568	4	845568	8.18467646728238e-06	0.138428575835849	YBR143C	TRANS	0.138428575835849	trans
6391	rs_chromosome12_758577	12	758577	3.06558269339978e-06	0.0113303487303369	YBR177C	TRANS	0.0113303487303369	trans
8662	rs_chromosome15_986169	15	986169	1.65809394159443e-06	0.0211395663281059	YBR249C	TRANS	0.0211395663281059	trans
561	rs_chromosome5_85780	5	85780	6.73830238061547e-07	0.0117819918355215	YBR263W	TRANS	0.0117819918355215	trans
165	rs_chromosome6_48886	6	48886	1.07871553642824e-06	0.0460329736441149	YBR263W	TRANS	0.0460329736441149	trans
188	rs_chromosome9_48222	9	48222	5.37002296729676e-06	0.0311608613461301	YBR263W	TRANS	0.0311608613461301	trans
1964	rs_chromosome16_219254	16	219254	1.40534417121924e-06	0.0104753097711015	YBR263W	TRANS	0.0104753097711015	trans
5726	rs_chromosome15_616835	15	616835	2.51267019858105e-06	0.0169858453511192	YBR286W	TRANS	0.0169858453511192	trans
5452	rs_chromosome15_579028	15	579028	3.38354878176126e-06	0.0239940505001298	YCL018W	TRANS	0.0239940505001298	trans
559	rs_chromosome3_75130	3	75130	1.00662667098375e-06	0.139848644648275	YCL026C-B	CIS	0.139848644648275	cis
1193	rs_chromosome13_133023	13	133023	2.03524863848574e-06	0.0181168657509101	YCL026C-B	TRANS	0.0181168657509101	trans
2924	rs_chromosome7_316157	7	316157	2.93911151248957e-06	0.0142980192298761	YCL028W	TRANS	0.0142980192298761	trans
6500	rs_chromosome12_767369	12	767369	5.12003133468649e-06	0.205038399368404	YCL028W	TRANS	0.205038399368404	trans
6538	rs_chromosome12_775524	12	775524	2.28577090998636e-06	0.194052069410829	YCL028W	TRANS	0.194052069410829	trans
4254	rs_chromosome15_446582	15	446582	4.1848261969674e-06	0.0070712761149517	YCL030C	TRANS	0.0070712761149517	trans
1566	rs_chromosome13_183321	13	183321	8.60954313964985e-06	0.0653149259372296	YCL040W	TRANS	0.0653149259372296	trans
1257	rs_chromosome16_142443	16	142443	1.2585381691294e-06	0.023102883782572	YCL040W	TRANS	0.023102883782572	trans
601	rs_chromosome2_93441	2	93441	2.92936572925935e-06	0.0114449623474884	YCL059C	TRANS	0.0114449623474884	trans
638	rs_chromosome7_66795	7	66795	7.61897999042333e-06	0.0170488079616994	YCL059C	TRANS	0.0170488079616994	trans
3613	rs_chromosome9_425822	9	425822	2.66791750636344e-06	0.0307467707602452	YCL059C	TRANS	0.0307467707602452	trans
5736	rs_chromosome15_617402	15	617402	8.02884882777756e-06	0.0177735829998284	YCL059C	TRANS	0.0177735829998284	trans
4146	rs_chromosome8_479996	8	479996	3.47935482661811e-07	0.0114235945566918	YCR012W	TRANS	0.0114235945566918	trans
3358	rs_chromosome13_436456	13	436456	4.52608759252798e-06	0.122451786210866	YCR012W	TRANS	0.122451786210866	trans
6196	rs_chromosome16_725524	16	725524	4.60485544364317e-06	0.0128900005799279	YCR012W	TRANS	0.0128900005799279	trans
766	rs_chromosome2_111999	2	111999	9.90261545330301e-07	0.0613365786171913	YCR028C-A	TRANS	0.0613365786171913	trans
7022	rs_chromosome7_796731	7	796731	4.97548624480627e-06	0.0111887970473214	YCR028C-A	TRANS	0.0111887970473214	trans
2427	rs_chromosome14_254579	14	254579	6.45775841909338e-06	0.0262266615444918	YCR053W	TRANS	0.0262266615444918	trans
2389	rs_chromosome5_295532	5	295532	1.39630045620694e-06	0.0095993007278991	YCR088W	TRANS	0.0095993007278991	trans
4588	rs_chromosome12_536332	12	536332	3.36669900620383e-07	0.198482479632419	YDL007W	TRANS	0.198482479632419	trans
4593	rs_chromosome12_536876	12	536876	3.36669900620383e-07	0.198482479632419	YDL007W	TRANS	0.198482479632419	trans
4699	rs_chromosome12_549760	12	549760	2.03503529425245e-06	0.145960657490944	YDL007W	TRANS	0.145960657490944	trans
625	rs_chromosome12_78868	12	78868	8.05328142433585e-07	0.0709700159009381	YDL022W	TRANS	0.0709700159009381	trans
4470	rs_chromosome4_527851	4	527851	2.52959320651423e-06	0.0480547996567395	YDL055C	TRANS	0.0480547996567395	trans
1428	rs_chromosome4_180004	4	180004	3.37908604648181e-07	0.0218151313944473	YDL081C	TRANS	0.0218151313944473	trans
6573	rs_chromosome7_763511	7	763511	4.18372134679132e-06	0.0178850576801272	YDL081C	TRANS	0.0178850576801272	trans
4147	rs_chromosome8_480361	8	480361	3.09177597073038e-06	0.0218387874521466	YDL081C	TRANS	0.0218387874521466	trans
4268	rs_chromosome8_497870	8	497870	5.23873525971464e-06	0.0089758353209995	YDL081C	TRANS	0.0089758353209995	trans
2656	rs_chromosome10_297976	10	297976	3.64449722369421e-06	0.0091970941436019	YDL081C	TRANS	0.0091970941436019	trans
1895	rs_chromosome13_231392	13	231392	6.77635179776424e-07	0.0112329574121653	YDL081C	TRANS	0.0112329574121653	trans
5850	rs_chromosome13_728436	13	728436	6.04777057915954e-07	0.0106424038383561	YDL081C	TRANS	0.0106424038383561	trans
6285	rs_chromosome14_711925	14	711925	1.58082650906014e-06	0.0157174719492165	YDL081C	TRANS	0.0157174719492165	trans
2385	rs_chromosome15_254124	15	254124	5.73343927282756e-06	0.0076696914889217	YDL081C	TRANS	0.0076696914889217	trans
6484	rs_chromosome16_760952	16	760952	8.58421822179102e-08	0.0121931868257869	YDL081C	TRANS	0.0121931868257869	trans
2483	rs_chromosome7_254979	7	254979	4.65109798612032e-07	0.0201946474298167	YDL084W	TRANS	0.0201946474298167	trans
3604	rs_chromosome9_425655	9	425655	2.84634501682841e-06	0.0311891203280286	YDL084W	TRANS	0.0311891203280286	trans
2656	rs_chromosome10_297976	10	297976	3.23536847015344e-06	0.0123060741138814	YDL084W	TRANS	0.0123060741138814	trans
5260	rs_chromosome15_550623	15	550623	2.4087153430292e-06	0.0141244786080839	YDL084W	TRANS	0.0141244786080839	trans
3136	rs_chromosome16_357947	16	357947	8.96458395114881e-07	0.0819793151358766	YDL084W	TRANS	0.0819793151358766	trans
4791	rs_chromosome2_590853	2	590853	2.27050619573538e-06	0.228770832387647	YDL125C	TRANS	0.228770832387647	trans
1119	rs_chromosome15_137187	15	137187	4.3723678910998e-06	0.0256865920221425	YDL125C	TRANS	0.0256865920221425	trans
1435	rs_chromosome15_161812	15	161812	1.52798917670916e-06	0.0404210730701821	YDL125C	TRANS	0.0404210730701821	trans
4198	rs_chromosome2_533308	2	533308	2.34164535906603e-06	0.0289256110518454	YDL126C	TRANS	0.0289256110518454	trans
278	rs_chromosome5_56063	5	56063	1.55694833430125e-07	0.0205152146481926	YDL126C	TRANS	0.0205152146481926	trans
