sid_index	SNP	Chr	ChrPos	PValue	EffectSize	Pheno	type	abs_effect	cis_trans
522	rs_chromosome5_81334	5	81334	1.73027011821271e-06	0.0105176497143721	YAL005C	TRANS	0.0105176497143721	trans
7704	rs_chromosome12_874900	12	874900	2.62602854622278e-06	0.0169410189080993	YAL005C	TRANS	0.0169410189080993	trans
7058	rs_chromosome13_833534	13	833534	2.94643537201397e-06	0.0526875752569483	YAL023C	TRANS	0.0526875752569483	trans
2485	rs_chromosome7_255756	7	255756	3.16018456532083e-06	0.0872331818633369	YAL038W	TRANS	0.0872331818633369	trans
2711	rs_chromosome15_286242	15	286242	8.25024027810829e-06	0.0817169219228034	YAL038W	TRANS	0.0817169219228034	trans
8098	rs_chromosome4_993763	4	993763	1.56985748120122e-05	0.010094043975415	YAR007C	TRANS	0.010094043975415	trans
1498	rs_chromosome7_147603	7	147603	1.55299084333318e-06	0.0514440164660858	YAR007C	TRANS	0.0514440164660858	trans
1353	rs_chromosome11_125651	11	125651	1.54442628124225e-06	0.0197310458985648	YAR007C	TRANS	0.0197310458985648	trans
3079	rs_chromosome14_335071	14	335071	8.65303211834771e-06	0.0337728852056228	YAR007C	TRANS	0.0337728852056228	trans
2967	rs_chromosome16_337961	16	337961	1.72804526299188e-06	0.0251619084808203	YAR015W	TRANS	0.0251619084808203	trans
4855	rs_chromosome10_587423	10	587423	4.94094873651716e-06	0.0647248730366678	YBL026W	TRANS	0.0647248730366678	trans
3927	rs_chromosome16_468415	16	468415	2.72267147947223e-06	0.0288574712986547	YBL026W	TRANS	0.0288574712986547	trans
625	rs_chromosome12_78868	12	78868	4.67759626499823e-06	0.0503730342968139	YBL041W	TRANS	0.0503730342968139	trans
3820	rs_chromosome14_411046	14	411046	1.55791032419425e-06	0.0087832285716424	YBL045C	TRANS	0.0087832285716424	trans
7075	rs_chromosome16_840263	16	840263	3.9002846114682e-06	0.162379197259142	YBL045C	TRANS	0.162379197259142	trans
5073	rs_chromosome4_601302	4	601302	2.04734999398928e-07	0.0279727831763703	YBL058W	TRANS	0.0279727831763703	trans
2177	rs_chromosome14_215116	14	215116	1.19437859771604e-06	0.122869230841522	YBL064C	TRANS	0.122869230841522	trans
6285	rs_chromosome14_711925	14	711925	1.34556165244351e-06	0.0175938866064135	YBL064C	TRANS	0.0175938866064135	trans
8044	rs_chromosome7_920124	7	920124	1.59765046740951e-06	0.0494365541650279	YBR011C	TRANS	0.0494365541650279	trans
6684	rs_chromosome16_791479	16	791479	1.81577834691933e-06	0.0134505712746968	YBR088C	TRANS	0.0134505712746968	trans
4275	rs_chromosome8_498433	8	498433	2.18102738417028e-06	0.0965868684910312	YBR177C	TRANS	0.0965868684910312	trans
3364	rs_chromosome14_361119	14	361119	3.87675079449097e-06	0.0821202742376951	YBR177C	TRANS	0.0821202742376951	trans
4223	rs_chromosome8_491483	8	491483	3.12092867525071e-06	0.0458170126880878	YBR221C	TRANS	0.0458170126880878	trans
5419	rs_chromosome15_571944	15	571944	2.29786554674202e-06	0.0144013502316212	YBR234C	TRANS	0.0144013502316212	trans
6356	rs_chromosome15_674568	15	674568	7.23689504406721e-06	0.0420431666352637	YBR234C	TRANS	0.0420431666352637	trans
6357	rs_chromosome15_674588	15	674588	7.23689504406721e-06	0.0420431666352637	YBR234C	TRANS	0.0420431666352637	trans
6358	rs_chromosome15_674631	15	674631	7.23689504406721e-06	0.0420431666352637	YBR234C	TRANS	0.0420431666352637	trans
4361	rs_chromosome13_562064	13	562064	2.87113177177134e-06	0.0434887618485687	YBR263W	TRANS	0.0434887618485687	trans
580	rs_chromosome1_74451	1	74451	8.15097081374748e-07	0.0121194935072088	YBR265W	TRANS	0.0121194935072088	trans
559	rs_chromosome3_75130	3	75130	1.79142320886566e-06	0.135461334591229	YCL026C-B	CIS	0.135461334591229	cis
780	rs_chromosome3_106931	3	106931	2.94377342827982e-06	0.0604966574816259	YCL026C-B	TRANS	0.0604966574816259	trans
2003	rs_chromosome16_224341	16	224341	3.73071589324675e-06	0.0245026471720337	YCL026C-B	TRANS	0.0245026471720337	trans
18	rs_chromosome2_7824	2	7824	4.15264316254991e-07	0.0075288809962915	YCL028W	TRANS	0.0075288809962915	trans
7716	rs_chromosome13_913190	13	913190	4.32504349618818e-06	0.115841351212181	YCL030C	TRANS	0.115841351212181	trans
1463	rs_chromosome13_169914	13	169914	1.03855899602088e-06	0.0155284892443274	YCL050C	TRANS	0.0155284892443274	trans
555	rs_chromosome6_85718	6	85718	3.88596837612335e-06	0.142207796980044	YCR083W	TRANS	0.142207796980044	trans
3696	rs_chromosome4_451706	4	451706	5.86061998440717e-07	0.0129667045111434	YCR084C	TRANS	0.0129667045111434	trans
1498	rs_chromosome7_147603	7	147603	4.45470417872806e-06	0.039790613338498	YCR084C	TRANS	0.039790613338498	trans
2483	rs_chromosome7_254979	7	254979	4.19751604991146e-08	0.0165261408373206	YCR084C	TRANS	0.0165261408373206	trans
6749	rs_chromosome12_795036	12	795036	8.12558170696251e-07	0.0597875521332511	YCR084C	TRANS	0.0597875521332511	trans
1547	rs_chromosome15_168532	15	168532	2.26058020482611e-06	0.0538101754160939	YCR084C	TRANS	0.0538101754160939	trans
1784	rs_chromosome15_189231	15	189231	4.37880978508878e-06	0.0451788230319695	YCR084C	TRANS	0.0451788230319695	trans
5726	rs_chromosome15_616835	15	616835	3.84001910260621e-06	0.0103310425510733	YCR084C	TRANS	0.0103310425510733	trans
6274	rs_chromosome15_668741	15	668741	3.97888920157104e-07	0.0125341761204302	YCR084C	TRANS	0.0125341761204302	trans
807	rs_chromosome11_78131	11	78131	3.93435245694173e-06	0.0583418738018922	YCR088W	TRANS	0.0583418738018922	trans
809	rs_chromosome11_78169	11	78169	3.93435245694173e-06	0.0583418738018922	YCR088W	TRANS	0.0583418738018922	trans
283	rs_chromosome12_39154	12	39154	1.62298755041404e-06	0.0176584665333045	YCR088W	TRANS	0.0176584665333045	trans
2315	rs_chromosome15_244594	15	244594	6.2910836752901e-06	0.0094498077125053	YDL007W	TRANS	0.0094498077125053	trans
2155	rs_chromosome5_261798	5	261798	5.38612299320919e-07	0.034387777755994	YDL022W	TRANS	0.034387777755994	trans
2160	rs_chromosome5_262066	5	262066	4.6581902769398e-06	0.0814352791889017	YDL022W	TRANS	0.0814352791889017	trans
615	rs_chromosome7_64329	7	64329	2.3181600666466e-06	0.0100250228389632	YDL022W	TRANS	0.0100250228389632	trans
5218	rs_chromosome10_618419	10	618419	2.98404925632503e-06	0.0498494409797314	YDL022W	TRANS	0.0498494409797314	trans
8184	rs_chromosome7_943177	7	943177	3.49340901643152e-06	0.0079723336160375	YDL046W	TRANS	0.0079723336160375	trans
2177	rs_chromosome14_215116	14	215116	1.99773413413356e-06	0.126553343036194	YDL046W	TRANS	0.126553343036194	trans
2794	rs_chromosome4_355467	4	355467	1.0851809386902402e-09	0.0473911357493521	YDL055C	CIS	0.0473911357493521	cis
2815	rs_chromosome4_357529	4	357529	6.26893235515964e-07	0.18327155613035	YDL055C	CIS	0.18327155613035	cis
724	rs_chromosome14_84464	14	84464	3.38428977805073e-06	0.0570219518380162	YDL081C	TRANS	0.0570219518380162	trans
3808	rs_chromosome12_408015	12	408015	3.58522167702237e-06	0.189155412881002	YDL095W	TRANS	0.189155412881002	trans
3846	rs_chromosome12_412826	12	412826	4.61626815758669e-06	0.110717159871827	YDL095W	TRANS	0.110717159871827	trans
3615	rs_chromosome15_379461	15	379461	6.43927735222371e-06	0.119258900000563	YDL095W	TRANS	0.119258900000563	trans
2080	rs_chromosome6_254049	6	254049	3.61040564038183e-06	0.154584087466384	YDL100C	TRANS	0.154584087466384	trans
3517	rs_chromosome4_424011	4	424011	3.95134422157336e-06	0.0179763830551589	YDL103C	TRANS	0.0179763830551589	trans
724	rs_chromosome14_84464	14	84464	2.65699707789615e-06	0.0579859011290511	YDL130W	TRANS	0.0579859011290511	trans
5585	rs_chromosome12_668131	12	668131	2.81418880875408e-06	0.0301075684622747	YDL140C	TRANS	0.0301075684622747	trans
4518	rs_chromosome12_528702	12	528702	7.7784117929445e-07	0.0296949228002944	YDL143W	TRANS	0.0296949228002944	trans
3696	rs_chromosome4_451706	4	451706	3.814182242221e-06	0.0171936311061215	YDL145C	TRANS	0.0171936311061215	trans
1499	rs_chromosome4_190248	4	190248	1.90980495662849e-07	0.0932350420176435	YDL147W	CIS	0.0932350420176435	cis
3515	rs_chromosome10_397093	10	397093	1.66408492149488e-06	0.0915186291627049	YDL147W	TRANS	0.0915186291627049	trans
5515	rs_chromosome10_651313	10	651313	2.23597085878717e-06	0.101921414545842	YDL147W	TRANS	0.101921414545842	trans
5516	rs_chromosome10_651316	10	651316	2.23597085878717e-06	0.101921414545842	YDL147W	TRANS	0.101921414545842	trans
1212	rs_chromosome4_158966	4	158966	3.40190029717931e-06	0.0945408374224593	YDL168W	CIS	0.0945408374224593	cis
1216	rs_chromosome4_159051	4	159051	1.76091645521211e-06	0.0377043897954458	YDL168W	CIS	0.0377043897954458	cis
1220	rs_chromosome4_159190	4	159190	4.43462727272812e-08	0.0857771841009021	YDL168W	CIS	0.0857771841009021	cis
1229	rs_chromosome4_159333	4	159333	1.45497387254295e-06	0.0151305684741624	YDL168W	CIS	0.0151305684741624	cis
1231	rs_chromosome4_159428	4	159428	1.72988450524694e-39	0.336799273126443	YDL168W	CIS	0.336799273126443	cis
1234	rs_chromosome4_159505	4	159505	1.35428443171663e-07	0.144286928775555	YDL168W	CIS	0.144286928775555	cis
1371	rs_chromosome4_173776	4	173776	1.2746947097273e-06	0.0604157998723978	YDL168W	CIS	0.0604157998723978	cis
3696	rs_chromosome4_451706	4	451706	4.54157668142587e-06	0.0164970568773345	YDL185W	TRANS	0.0164970568773345	trans
3980	rs_chromosome8_456359	8	456359	2.02454014348991e-06	0.008931504671736	YDL198C	TRANS	0.008931504671736	trans
