SNP	gene	beta	t-stat	p-value	FDR
11878	PLM2_HNM1_MTX_Metformin_avg_logratio_Fitness_minus_ref_delta_noMTX_Metformin_avg_logratio_Fitness_minus_ref	-0.266650669451515	-1.82342986951048	0.06908145626696	0.884605087527273
11880	PLM2_HNM1_MTX_Metformin_avg_logratio_Fitness_minus_ref_delta_noMTX_Metformin_avg_logratio_Fitness_minus_ref	-0.235539900913164	-1.58571777025435	0.113696182539929	0.884605087527273
11879	PLM2_HNM1_MTX_Metformin_avg_logratio_Fitness_minus_ref_delta_noMTX_Metformin_avg_logratio_Fitness_minus_ref	-0.212101422545598	-1.43928846828669	0.15095244163182	0.884605087527273
11884	PLM2_HNM1_MTX_Metformin_avg_logratio_Fitness_minus_ref_delta_noMTX_Metformin_avg_logratio_Fitness_minus_ref	-0.19973470062929	-1.2992802246786	0.194693318963207	0.884605087527273
11877	PLM2_HNM1_MTX_Metformin_avg_logratio_Fitness_minus_ref_delta_noMTX_Metformin_avg_logratio_Fitness_minus_ref	-0.186017739132538	-1.27794786098996	0.202105158336785	0.884605087527273
11876	PLM2_HNM1_MTX_Metformin_avg_logratio_Fitness_minus_ref_delta_noMTX_Metformin_avg_logratio_Fitness_minus_ref	-0.167169384980126	-1.21080276084884	0.226778750168608	0.884605087527273
11890	PLM2_HNM1_MTX_Metformin_avg_logratio_Fitness_minus_ref_delta_noMTX_Metformin_avg_logratio_Fitness_minus_ref	-0.192658377587253	-1.14180039452087	0.254308736386432	0.884605087527273
11881	PLM2_HNM1_MTX_Metformin_avg_logratio_Fitness_minus_ref_delta_noMTX_Metformin_avg_logratio_Fitness_minus_ref	-0.162081380275232	-1.07958768579954	0.281060826388487	0.884605087527273
11882	PLM2_HNM1_MTX_Metformin_avg_logratio_Fitness_minus_ref_delta_noMTX_Metformin_avg_logratio_Fitness_minus_ref	-0.162081380275232	-1.07958768579954	0.281060826388487	0.884605087527273
11885	PLM2_HNM1_MTX_Metformin_avg_logratio_Fitness_minus_ref_delta_noMTX_Metformin_avg_logratio_Fitness_minus_ref	-0.158747514240223	-1.03761744349763	0.300156419244306	0.884605087527273
11875	PLM2_HNM1_MTX_Metformin_avg_logratio_Fitness_minus_ref_delta_noMTX_Metformin_avg_logratio_Fitness_minus_ref	-0.141389753475528	-1.00490690880736	0.315628069381851	0.884605087527273
11910	PLM2_HNM1_MTX_Metformin_avg_logratio_Fitness_minus_ref_delta_noMTX_Metformin_avg_logratio_Fitness_minus_ref	-0.174438119894184	-0.973998579050294	0.330722320210011	0.884605087527273
11883	PLM2_HNM1_MTX_Metformin_avg_logratio_Fitness_minus_ref_delta_noMTX_Metformin_avg_logratio_Fitness_minus_ref	-0.137123871887655	-0.910850097436122	0.362994158088755	0.884605087527273
11903	PLM2_HNM1_MTX_Metformin_avg_logratio_Fitness_minus_ref_delta_noMTX_Metformin_avg_logratio_Fitness_minus_ref	-0.196367139608221	-0.877477851033737	0.38082226262992	0.884605087527273
11908	PLM2_HNM1_MTX_Metformin_avg_logratio_Fitness_minus_ref_delta_noMTX_Metformin_avg_logratio_Fitness_minus_ref	-0.133184571766046	-0.723672779797615	0.469744573248162	0.884605087527273
11905	PLM2_HNM1_MTX_Metformin_avg_logratio_Fitness_minus_ref_delta_noMTX_Metformin_avg_logratio_Fitness_minus_ref	-0.111384821076033	-0.611608574942885	0.541189334402855	0.884605087527273
11901	PLM2_HNM1_MTX_Metformin_avg_logratio_Fitness_minus_ref_delta_noMTX_Metformin_avg_logratio_Fitness_minus_ref	0.236775480288118	0.567881876801903	0.570475173686476	0.884605087527273
11898	PLM2_HNM1_MTX_Metformin_avg_logratio_Fitness_minus_ref_delta_noMTX_Metformin_avg_logratio_Fitness_minus_ref	-0.171382925077063	-0.543993059732053	0.586788695357438	0.884605087527273
11892	PLM2_HNM1_MTX_Metformin_avg_logratio_Fitness_minus_ref_delta_noMTX_Metformin_avg_logratio_Fitness_minus_ref	-0.0970629994823791	-0.516307990663651	0.60596167331713	0.884605087527273
11891	PLM2_HNM1_MTX_Metformin_avg_logratio_Fitness_minus_ref_delta_noMTX_Metformin_avg_logratio_Fitness_minus_ref	-0.0950402117402529	-0.514055414774309	0.607533982843045	0.884605087527273
11906	PLM2_HNM1_MTX_Metformin_avg_logratio_Fitness_minus_ref_delta_noMTX_Metformin_avg_logratio_Fitness_minus_ref	-0.0943372903949893	-0.512850681699422	0.608375642322087	0.884605087527273
11907	PLM2_HNM1_MTX_Metformin_avg_logratio_Fitness_minus_ref_delta_noMTX_Metformin_avg_logratio_Fitness_minus_ref	-0.0915862975336024	-0.497348683256558	0.619251949931903	0.884605087527273
11888	PLM2_HNM1_MTX_Metformin_avg_logratio_Fitness_minus_ref_delta_noMTX_Metformin_avg_logratio_Fitness_minus_ref	-0.0800929708025784	-0.49530895988762	0.620689356312444	0.884605087527273
11897	PLM2_HNM1_MTX_Metformin_avg_logratio_Fitness_minus_ref_delta_noMTX_Metformin_avg_logratio_Fitness_minus_ref	-0.150098129827714	-0.473368290970829	0.636242218690916	0.884605087527273
11886	PLM2_HNM1_MTX_Metformin_avg_logratio_Fitness_minus_ref_delta_noMTX_Metformin_avg_logratio_Fitness_minus_ref	-0.0721902809717574	-0.446090876650972	0.655804327778925	0.884605087527273
11889	PLM2_HNM1_MTX_Metformin_avg_logratio_Fitness_minus_ref_delta_noMTX_Metformin_avg_logratio_Fitness_minus_ref	-0.0720721190958844	-0.444247354401661	0.657135207877403	0.884605087527273
11887	PLM2_HNM1_MTX_Metformin_avg_logratio_Fitness_minus_ref_delta_noMTX_Metformin_avg_logratio_Fitness_minus_ref	-0.0564039209913414	-0.349331484345988	0.727048171556747	0.893176088620901
11904	PLM2_HNM1_MTX_Metformin_avg_logratio_Fitness_minus_ref_delta_noMTX_Metformin_avg_logratio_Fitness_minus_ref	-0.0682518162867019	-0.335087607621081	0.737757473325795	0.893176088620901
11899	PLM2_HNM1_MTX_Metformin_avg_logratio_Fitness_minus_ref_delta_noMTX_Metformin_avg_logratio_Fitness_minus_ref	-0.130196988436123	-0.328540274012135	0.742697454667863	0.893176088620901
11893	PLM2_HNM1_MTX_Metformin_avg_logratio_Fitness_minus_ref_delta_noMTX_Metformin_avg_logratio_Fitness_minus_ref	-0.0565327634117056	-0.298391420480365	0.765579504532201	0.893176088620901
11902	PLM2_HNM1_MTX_Metformin_avg_logratio_Fitness_minus_ref_delta_noMTX_Metformin_avg_logratio_Fitness_minus_ref	0.111390198910318	0.240118595825985	0.810377303129561	0.912834803075845
11894	PLM2_HNM1_MTX_Metformin_avg_logratio_Fitness_minus_ref_delta_noMTX_Metformin_avg_logratio_Fitness_minus_ref	-0.0403849312980326	-0.208970040940316	0.834591819955059	0.912834803075845
11895	PLM2_HNM1_MTX_Metformin_avg_logratio_Fitness_minus_ref_delta_noMTX_Metformin_avg_logratio_Fitness_minus_ref	0.0206186574701126	0.0987803247572817	0.921368600791684	0.960279625110057
11909	PLM2_HNM1_MTX_Metformin_avg_logratio_Fitness_minus_ref_delta_noMTX_Metformin_avg_logratio_Fitness_minus_ref	-0.0163454021154216	-0.0843283203850876	0.932843064392626	0.960279625110057
11896	PLM2_HNM1_MTX_Metformin_avg_logratio_Fitness_minus_ref_delta_noMTX_Metformin_avg_logratio_Fitness_minus_ref	0.0133202946523645	0.0455096435406097	0.963726749509476	0.963726749509476
