SNP	gene	beta	t-stat	p-value	FDR
8797	ERG11_ORM2_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref_delta_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref	0.228728251622933	1.43187074962225	0.153063137071337	0.909639024398154
8807	ERG11_ORM2_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref_delta_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref	0.200372662986079	0.884202715730477	0.377186918197012	0.909639024398154
8799	ERG11_ORM2_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref_delta_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref	0.173770911724387	0.632399668278102	0.527533989325238	0.909639024398154
8798	ERG11_ORM2_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref_delta_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref	0.0962073431965079	0.534035210090941	0.593652362871934	0.909639024398154
8803	ERG11_ORM2_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref_delta_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref	0.226293150512988	0.370659432104246	0.711112904441681	0.909639024398154
8804	ERG11_ORM2_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref_delta_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref	-0.166558761454477	-0.359426797190134	0.719490134886793	0.909639024398154
8801	ERG11_ORM2_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref_delta_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref	-0.134792595356389	-0.331989375457464	0.740093756845101	0.909639024398154
8805	ERG11_ORM2_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref_delta_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref	-0.143786686463197	-0.294887028365348	0.768253042881394	0.909639024398154
8806	ERG11_ORM2_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref_delta_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref	-0.0467254305294116	-0.229419826062243	0.818675121958339	0.909639024398154
8800	ERG11_ORM2_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref_delta_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref	0.0135432068656793	0.0471034771699029	0.96245731776462	0.96245731776462
