SNP	gene	beta	t-stat	p-value	FDR
10495	SRO9_GIS2_MTX_Fluconazole_avg_logratio_Fitness_minus_ref_delta_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref	-0.248743479290856	-1.77373689618703	0.0769662837877503	0.951451742762208
10497	SRO9_GIS2_MTX_Fluconazole_avg_logratio_Fitness_minus_ref_delta_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref	-0.205372721023044	-1.32053353810006	0.187510042359168	0.951451742762208
10498	SRO9_GIS2_MTX_Fluconazole_avg_logratio_Fitness_minus_ref_delta_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref	-0.192295516451454	-1.23619349662181	0.217206247605908	0.951451742762208
10503	SRO9_GIS2_MTX_Fluconazole_avg_logratio_Fitness_minus_ref_delta_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref	-0.233044293659715	-1.16223716187338	0.245922096331287	0.951451742762208
10494	SRO9_GIS2_MTX_Fluconazole_avg_logratio_Fitness_minus_ref_delta_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref	-0.168286396498435	-1.06869184823388	0.285936737799576	0.951451742762208
10496	SRO9_GIS2_MTX_Fluconazole_avg_logratio_Fitness_minus_ref_delta_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref	-0.167036886825145	-1.0603060019253	0.289728292380447	0.951451742762208
10511	SRO9_GIS2_MTX_Fluconazole_avg_logratio_Fitness_minus_ref_delta_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref	-0.21345396345646	-0.799038471168033	0.424803879936518	0.951451742762208
10506	SRO9_GIS2_MTX_Fluconazole_avg_logratio_Fitness_minus_ref_delta_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref	-0.185543559111036	-0.735386182167024	0.46259126086595	0.951451742762208
10499	SRO9_GIS2_MTX_Fluconazole_avg_logratio_Fitness_minus_ref_delta_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref	-0.102996607199179	-0.658134988473739	0.51087915729586	0.951451742762208
10505	SRO9_GIS2_MTX_Fluconazole_avg_logratio_Fitness_minus_ref_delta_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref	-0.134163541309997	-0.64542583110117	0.519069372679393	0.951451742762208
10492	SRO9_GIS2_MTX_Fluconazole_avg_logratio_Fitness_minus_ref_delta_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref	-0.0919882645709523	-0.59899864205393	0.549556911336539	0.951451742762208
10507	SRO9_GIS2_MTX_Fluconazole_avg_logratio_Fitness_minus_ref_delta_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref	0.158005970169265	0.594207180447887	0.55275309257313	0.951451742762208
10493	SRO9_GIS2_MTX_Fluconazole_avg_logratio_Fitness_minus_ref_delta_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref	-0.0861826690934946	-0.568860158086694	0.56981176287431	0.951451742762208
10486	SRO9_GIS2_MTX_Fluconazole_avg_logratio_Fitness_minus_ref_delta_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref	-0.0736818750907154	-0.538102210320144	0.590844635591325	0.951451742762208
10491	SRO9_GIS2_MTX_Fluconazole_avg_logratio_Fitness_minus_ref_delta_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref	-0.0568400904618916	-0.383880250222294	0.701297667774735	0.951451742762208
10490	SRO9_GIS2_MTX_Fluconazole_avg_logratio_Fitness_minus_ref_delta_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref	-0.05471927105941	-0.374772686177661	0.708053944075055	0.951451742762208
10504	SRO9_GIS2_MTX_Fluconazole_avg_logratio_Fitness_minus_ref_delta_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref	-0.0715512088193685	-0.352796124911135	0.724451255341063	0.951451742762208
10502	SRO9_GIS2_MTX_Fluconazole_avg_logratio_Fitness_minus_ref_delta_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref	-0.0582750079884176	-0.2960286220074	0.767381803028794	0.951451742762208
