SNP	gene	beta	t-stat	p-value	FDR
8798	MID2_WSC2_MTX_Fluconazole_avg_logratio_Fitness_minus_ref_delta_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref	-0.384715364893941	-1.98349156155121	0.0480847802439221	0.480847802439221
8797	MID2_WSC2_MTX_Fluconazole_avg_logratio_Fitness_minus_ref_delta_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref	-0.294959442138149	-1.62951010007408	0.104094549522813	0.520472747614067
8799	MID2_WSC2_MTX_Fluconazole_avg_logratio_Fitness_minus_ref_delta_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref	-0.311810535711457	-1.33031817909126	0.18426982731987	0.6142327577329
8800	MID2_WSC2_MTX_Fluconazole_avg_logratio_Fitness_minus_ref_delta_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref	-0.27541885193024	-1.15319418979241	0.249608733340231	0.624021833350578
8806	MID2_WSC2_MTX_Fluconazole_avg_logratio_Fitness_minus_ref_delta_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref	0.111206550068623	0.324858628272138	0.745479963117403	0.981808076267155
8801	MID2_WSC2_MTX_Fluconazole_avg_logratio_Fitness_minus_ref_delta_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref	-0.0655714204663406	-0.234804239767962	0.814496432465498	0.981808076267155
8802	MID2_WSC2_MTX_Fluconazole_avg_logratio_Fitness_minus_ref_delta_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref	-0.0215936800463015	-0.0758473758238184	0.939583369663159	0.981808076267155
8803	MID2_WSC2_MTX_Fluconazole_avg_logratio_Fitness_minus_ref_delta_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref	0.0218110905717737	0.0744314022041477	0.940709163927663	0.981808076267155
8805	MID2_WSC2_MTX_Fluconazole_avg_logratio_Fitness_minus_ref_delta_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref	-0.01568354829358	-0.0557799435945243	0.955548581121471	0.981808076267155
8804	MID2_WSC2_MTX_Fluconazole_avg_logratio_Fitness_minus_ref_delta_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref	-0.00645389007936589	-0.022818288284246	0.981808076267155	0.981808076267155
