Pheno_Type	Pheno	Geno_Type	Chr	ChrPos	PValue	EffectSize	Loc	abs_effect	cis_trans
Transcriptomics	YDL160C	SNPs	4	170349	5.72e-08	0.10341095	Local	0.10341095	cis
Transcriptomics	YDL160C	SNPs	4	174089	2.2e-07	0.06910558	Local	0.06910558	cis
Transcriptomics	YDL160C	SNPs	11	303165	2.1e-06	0.08835544	Distant	0.08835544	trans
Transcriptomics	YFL048C	SNPs	12	250030	2.89e-06	0.01697355	Distant	0.01697355	trans
Transcriptomics	YGL006W	SNPs	7	485777	1.54e-12	0.06539853	Local	0.06539853	cis
Transcriptomics	YGR121C	SNPs	7	733088	4.15e-06	0.02073931	Local	0.02073931	cis
Transcriptomics	YGR138C	SNPs	4	568116	9.67e-07	0.00885139	Distant	0.00885139	trans
Transcriptomics	YHR175W	SNPs	13	547541	1.62e-06	0.02692087	Distant	0.02692087	trans
Transcriptomics	YIR001C	SNPs	8	519007	2.69e-06	0.00808063	Distant	0.00808063	trans
Transcriptomics	YIR001C	SNPs	13	667327	3.55e-06	0.00574322	Distant	0.00574322	trans
Transcriptomics	YIR037W	SNPs	14	735047	2.88e-07	0.07072939	Distant	0.07072939	trans
Transcriptomics	YLR083C	SNPs	7	655851	1.58e-06	0.00651131	Distant	0.00651131	trans
Transcriptomics	YLR100W	SNPs	12	210539	1.72e-07	0.0066626	Distant	0.0066626	trans
Transcriptomics	YLR332W	SNPs	1	175532	4.17e-06	0.02705546	Distant	0.02705546	trans
Transcriptomics	YLR438C-A	SNPs	16	659460	2.52e-06	0.04428223	Distant	0.04428223	trans
Transcriptomics	YML012W	SNPs	15	586701	1.19e-06	0.01542663	Distant	0.01542663	trans
Transcriptomics	YML058W-A	SNPs	13	370963	4.37e-07	0.00778806	Distant	0.00778806	trans
Transcriptomics	YML086C	SNPs	13	97577	5.54e-14	0.02141367	Local	0.02141367	cis
Transcriptomics	YMR120C	SNPs	16	382024	1.35e-06	0.06689642	Distant	0.06689642	trans
Transcriptomics	YMR120C	SNPs	16	391587	6.49e-06	0.00853252	Distant	0.00853252	trans
Transcriptomics	YMR266W	SNPs	13	798333	6.48e-07	0.05280881	Local	0.05280881	cis
Transcriptomics	YMR266W	SNPs	8	489103	4.73e-06	0.0158264	Distant	0.0158264	trans
Transcriptomics	YNL087W	SNPs	14	462377	2.66e-08	0.01976908	Local	0.01976908	cis
Transcriptomics	YNL087W	SNPs	10	647098	4.16e-06	0.01866183	Distant	0.01866183	trans
Transcriptomics	YNL255C	SNPs	15	678815	3.15e-06	0.00962367	Distant	0.00962367	trans
Transcriptomics	YNL255C	SNPs	9	203358	3.85e-06	0.01195316	Distant	0.01195316	trans
Transcriptomics	YOR104W	SNPs	16	428330	6.64e-07	0.08740086	Distant	0.08740086	trans
Transcriptomics	YOR104W	SNPs	11	271621	3.52e-06	0.01254292	Distant	0.01254292	trans
Transcriptomics	YOR273C	SNPs	15	836747	3.19e-11	0.05677599	Local	0.05677599	cis
Transcriptomics	YOR273C	SNPs	15	935795	3.62e-06	0.00617623	Distant	0.00617623	trans
