SNP_A,SNP_B,R2,CHR_B,BP_B,CHR_A,BP_A
4842,4842,0.0,CHR_8,13662,CHR_8,13662
4842,4843,0.849512092509769,CHR_8,16664,CHR_8,13662
4842,4844,0.720030117763563,CHR_8,17315,CHR_8,13662
4842,4845,0.769150953865125,CHR_8,17627,CHR_8,13662
4842,4846,0.710958304853363,CHR_8,19058,CHR_8,13662
4842,4847,0.710958304853363,CHR_8,19062,CHR_8,13662
4842,4848,0.702035274522883,CHR_8,19760,CHR_8,13662
4842,4849,0.65983725137728,CHR_8,20879,CHR_8,13662
4842,4850,0.642306233911145,CHR_8,21364,CHR_8,13662
4842,4851,0.57625945152219,CHR_8,23859,CHR_8,13662
4842,4852,0.561279451738759,CHR_8,24772,CHR_8,13662
4842,4853,0.566643834144765,CHR_8,24855,CHR_8,13662
4842,4854,0.421347940256463,CHR_8,25786,CHR_8,13662
4842,4855,0.404267014267878,CHR_8,26026,CHR_8,13662
4842,4856,0.403821837706078,CHR_8,26028,CHR_8,13662
4842,4857,0.349418167403138,CHR_8,29272,CHR_8,13662
4842,4858,0.360130166124412,CHR_8,31948,CHR_8,13662
4842,4859,0.326356560536143,CHR_8,32371,CHR_8,13662
4842,4860,0.27280774174472,CHR_8,33975,CHR_8,13662
4842,4861,0.229946312822341,CHR_8,35149,CHR_8,13662
4842,4862,0.144226973942885,CHR_8,35271,CHR_8,13662
4842,4863,0.128010820658192,CHR_8,35378,CHR_8,13662
4842,4864,0.110353094847036,CHR_8,36243,CHR_8,13662
4842,4865,0.235277996111406,CHR_8,37633,CHR_8,13662
4842,4866,0.230386451260285,CHR_8,37678,CHR_8,13662
4842,4867,0.188530374242444,CHR_8,39906,CHR_8,13662
4842,4868,0.178738245625056,CHR_8,40485,CHR_8,13662
4842,4869,0.183346260949013,CHR_8,40881,CHR_8,13662
4842,4870,0.185256285968765,CHR_8,41487,CHR_8,13662
4842,4871,0.190278532760495,CHR_8,42121,CHR_8,13662
4842,4872,0.170078918090103,CHR_8,42238,CHR_8,13662
4842,4873,0.183268203053544,CHR_8,42789,CHR_8,13662
4842,4874,0.186149961766926,CHR_8,42932,CHR_8,13662
4842,4875,0.178551083124688,CHR_8,43002,CHR_8,13662
4842,4876,0.195387331454436,CHR_8,44406,CHR_8,13662
4842,4877,0.182761278786938,CHR_8,44454,CHR_8,13662
4842,4878,0.190551936248048,CHR_8,45167,CHR_8,13662
4842,4879,0.176413149821047,CHR_8,45571,CHR_8,13662
4842,4880,0.0638472214720159,CHR_8,48099,CHR_8,13662
4842,4881,0.148787685315123,CHR_8,48214,CHR_8,13662
4842,4882,0.144454075825273,CHR_8,48235,CHR_8,13662
4842,4883,0.14814510421187,CHR_8,48299,CHR_8,13662
4842,4884,0.034982913059405,CHR_8,50901,CHR_8,13662
4842,4885,0.0247105775261229,CHR_8,53019,CHR_8,13662
4842,4886,0.033680484714479,CHR_8,53401,CHR_8,13662
