SNP,gene,EFFECTSIZE,t-stat,P,FDR,CHR,BP,Effect,SE,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM,locus_id,GENE,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
4291,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.87962814031962,6.35574895296037,6.37027112286115e-10,6.77888278958854e-07,7,469734,0.877902605951883,0.138677556288606,7.42272929974096e-10,YGL013C,PDR1,SGDID:S000002981,ORF,Verified ORF,"""Transcription factor that regulates the pleiotropic drug response; zinc cluster protein that is a master regulator involved in recruiting other zinc cluster proteins to pleiotropic drug response elements (PDREs) to fine tune the regulation of multidrug resistance genes; relocalizes to the cytosol in response to hypoxia; PDR1 has a paralog ; PDR3 ; that arose from the whole genome duplication""",Verified ORF
4293,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.859063609766277,6.24872877097032,1.18550011585873e-09,1.22814130938009e-06,7,472246,0.861000186911298,0.137721792551573,1.1716344917218101e-09,YGL013C,PDR1,SGDID:S000002981,ORF,Verified ORF,"""Transcription factor that regulates the pleiotropic drug response; zinc cluster protein that is a master regulator involved in recruiting other zinc cluster proteins to pleiotropic drug response elements (PDREs) to fine tune the regulation of multidrug resistance genes; relocalizes to the cytosol in response to hypoxia; PDR1 has a paralog ; PDR3 ; that arose from the whole genome duplication""",Verified ORF
4285,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.840433685571026,6.10495676606527,2.69653889849379e-09,2.68951415015552e-06,7,467332,0.840758581483488,0.137949994481313,2.87294406021578e-09,YGL014W,PUF4,SGDID:S000002982,ORF,Verified ORF,"""Member of the PUF protein family; PUF family is defined by the presence of Pumilio homology domains that confer RNA binding activity; preferentially binds mRNAs encoding nucleolar ribosomal RNA-processing factors""",Verified ORF
4286,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.839445114561973,6.07021351056689,3.28174534365976e-09,3.24033005561294e-06,7,467497,0.841996546687469,0.138515797249818,3.1439804883835303e-09,YGL014W,PUF4,SGDID:S000002982,ORF,Verified ORF,"""Member of the PUF protein family; PUF family is defined by the presence of Pumilio homology domains that confer RNA binding activity; preferentially binds mRNAs encoding nucleolar ribosomal RNA-processing factors""",Verified ORF
4290,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.838952709959887,6.01903898335635,4.37587876107871e-09,4.26765527904822e-06,7,469647,0.836495661561561,0.139660061165144,5.1864134872498905e-09,YGL013C,PDR1,SGDID:S000002981,ORF,Verified ORF,"""Transcription factor that regulates the pleiotropic drug response; zinc cluster protein that is a master regulator involved in recruiting other zinc cluster proteins to pleiotropic drug response elements (PDREs) to fine tune the regulation of multidrug resistance genes; relocalizes to the cytosol in response to hypoxia; PDR1 has a paralog ; PDR3 ; that arose from the whole genome duplication""",Verified ORF
4292,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.811305606622142,5.89873121822326,8.54349953064179e-09,8.08121413394011e-06,7,471518,0.81130560662229,0.137838353078986,9.20986761839629e-09,YGL013C,PDR1,SGDID:S000002981,ORF,Verified ORF,"""Transcription factor that regulates the pleiotropic drug response; zinc cluster protein that is a master regulator involved in recruiting other zinc cluster proteins to pleiotropic drug response elements (PDREs) to fine tune the regulation of multidrug resistance genes; relocalizes to the cytosol in response to hypoxia; PDR1 has a paralog ; PDR3 ; that arose from the whole genome duplication""",Verified ORF
4284,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.822922643899405,5.84004869672923,1.17957423646912e-08,1.09837085282423e-05,7,465688,0.82171494785846,0.141134346005587,1.30600312148737e-08,YGL014W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
4283,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.806988345005522,5.76819296883505,1.74495753521321e-08,1.59599868318017e-05,7,465310,0.814590889385864,0.14001488855959,1.33724147056445e-08,YGL015C,BIL2,SGDID:S000002983,ORF,Verified ORF,"""Formin inhibitor; negatively regulates Bnr1-mediated actin filament nucleation but not filament elongation; performs distinct but overlapping roles with Hof1p to control actin cable assembly and polarized secretion; bnr1 bil2 double mutants are inviable; localizes to the cytosol ; secretory vesicles and sites of polarized growth""",Verified ORF
4282,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.805800189279952,5.7071036232919,2.42704178925903e-08,2.18931180098872e-05,7,462915,0.806570479402948,0.141377695809237,2.4634684629274e-08,YGL016W,KAP122,SGDID:S000002984,ORF,Verified ORF,"""Karyopherin beta; responsible for import of the Toa1p-Toa2p complex into the nucleus; binds to nucleoporins Nup1p and Nup2p; may play a role in regulation of pleiotropic drug resistance""",Verified ORF
4281,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.763525070348708,5.48663800799484,7.80317076518888e-08,6.58798470969541e-05,7,461431,0.766015544823978,0.139394791832835,7.48447955413337e-08,YGL016W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
4280,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.735876698666737,5.34760590718306,1.5996603288188e-07,0.0001301156886615,7,460988,0.735876698666897,0.137909555762238,1.70318701841975e-07,YGL017W,ATE1,SGDID:S000002985,ORF,Verified ORF,"""Arginyl-tRNA-protein transferase; catalyzes post-translational conjugation of arginine to the amino termini of acceptor proteins which are then subject to degradation via the N-end rule pathway; may have a role in regulating stress response""",Verified ORF
4275,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.698311451409382,5.0614771162437,6.69232740432089e-07,0.0004954921241296,7,458896,0.69831145140905,0.138268340227504,7.08245138295012e-07,YGL019W,CKB1,SGDID:S000002987,ORF,Verified ORF,"""Beta regulatory subunit of casein kinase 2 (CK2); a Ser/Thr protein kinase with roles in cell growth and proliferation; CK2 ; comprised of CKA1 ; CKA2 ; CKB1 and CKB2 ; has many substrates including transcription factors and all RNA polymerases""",Verified ORF
4276,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.691178434359506,4.98129988888967,9.88190626370244e-07,0.0007141691212035,7,458995,0.692723698227045,0.139029077673926,9.84479925766187e-07,YGL019W,CKB1,SGDID:S000002987,Close to 3'-UTR,Close to 3'-UTR,"""Beta regulatory subunit of casein kinase 2 (CK2); a Ser/Thr protein kinase with roles in cell growth and proliferation; CK2 ; comprised of CKA1 ; CKA2 ; CKB1 and CKB2 ; has many substrates including transcription factors and all RNA polymerases""",Verified ORF
4278,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.634431461292684,4.52585914216714,8.21849745683789e-06,0.0050431707343565,7,460296,0.634796391612891,0.140469250142819,8.48434154396453e-06,YGL017W,ATE1,SGDID:S000002985,ORF,Verified ORF,"""Arginyl-tRNA-protein transferase; catalyzes post-translational conjugation of arginine to the amino termini of acceptor proteins which are then subject to degradation via the N-end rule pathway; may have a role in regulating stress response""",Verified ORF
4279,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.632092705051227,4.51320939768307,8.69607158817598e-06,0.0053096337494118,7,460447,0.631248479419967,0.140363420991505,9.35250999651891e-06,YGL017W,ATE1,SGDID:S000002985,ORF,Verified ORF,"""Arginyl-tRNA-protein transferase; catalyzes post-translational conjugation of arginine to the amino termini of acceptor proteins which are then subject to degradation via the N-end rule pathway; may have a role in regulating stress response""",Verified ORF
4297,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.627037107029735,4.47577297709184,1.0270556071157e-05,0.0061855746141244,7,479063,0.626217562421216,0.140409293645367,1.10333216350728e-05,YGL009C,LEU1,SGDID:S000002977,Close to 3'-UTR,Close to 3'-UTR,"""Isopropylmalate isomerase; catalyzes the second step in the leucine biosynthesis pathway""",Verified ORF
4294,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.62309035814729,4.44642126487042,1.16927096244944e-05,0.006970742782743,7,477177,0.623090358147408,0.140441522964849,1.22258568148855e-05,YGL009C,LEU1,SGDID:S000002977,ORF,Verified ORF,"""Isopropylmalate isomerase; catalyzes the second step in the leucine biosynthesis pathway""",Verified ORF
4295,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.615585437158953,4.38528107045731,1.52849919284399e-05,0.0088882727573418,7,477678,0.615728740499399,0.140677107964586,1.58773759200096e-05,YGL009C,LEU1,SGDID:S000002977,ORF,Verified ORF,"""Isopropylmalate isomerase; catalyzes the second step in the leucine biosynthesis pathway""",Verified ORF
4296,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.611193353984961,4.35973806277016,1.70799004483576e-05,0.0098072839479601,7,477857,0.609484509963826,0.140511502586384,1.88235242263186e-05,YGL009C,LEU1,SGDID:S000002977,ORF,Verified ORF,"""Isopropylmalate isomerase; catalyzes the second step in the leucine biosynthesis pathway""",Verified ORF
4974,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.58822014725631,4.14486170516487,4.25614390844288e-05,0.0220767673354176,8,122014,0.590779388456047,0.142174510991603,4.07991696586944e-05,SUT153,,,Unstable transcript,SUT,ncRNA_UNB,Unstable transcript
4273,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.572682434623654,4.10716631260519,4.97612145825248e-05,0.0252607962205004,7,455708,0.57276747952441,0.139740134991784,5.15695139881971e-05,YGL021W,ALK1,SGDID:S000002989,ORF,Verified ORF,"""Atypical protein kinase; along with paralog ; ALK2 ; required for proper spindle positioning and nuclear segregation following mitotic arrest ; proper organization of cell polarity factors in mitosis ; proper localization of formins and polarity factors ; and survival in cells that activate spindle assembly checkpoint; regulates the morphogenesis checkpoint in response to polarity insults through inactivation of Mih1p; phosphorylated in response to DNA damage; similar to mammalian haspins""",Verified ORF
4976,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.580248663443675,4.10414641954875,5.03856330120248e-05,0.0255465414248784,8,122347,0.583370802662465,0.141638276188769,4.74934763092922e-05,SUT153,,,Unstable transcript,SUT,ncRNA_UNB,Unstable transcript
4915,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.570516604772452,4.0934827829457,5.26507322901598e-05,0.0265186814096147,8,74974,0.570685418377613,0.139677351009207,5.44192834071157e-05,YHL016C,DUR3,SGDID:S000001008,Close to 3'-UTR,Close to 3'-UTR,"""Plasma membrane transporter for both urea and polyamines; expression is highly sensitive to nitrogen catabolite repression and induced by allophanate ; the last intermediate of the allantoin degradative pathway""",Verified ORF
4274,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.566666706043695,4.05491223427541,6.16797012285062e-05,0.0303244532292097,7,455735,0.567646087544853,0.140042267804922,6.21349104607088e-05,YGL021W,ALK1,SGDID:S000002989,ORF,Verified ORF,"""Atypical protein kinase; along with paralog ; ALK2 ; required for proper spindle positioning and nuclear segregation following mitotic arrest ; proper organization of cell polarity factors in mitosis ; proper localization of formins and polarity factors ; and survival in cells that activate spindle assembly checkpoint; regulates the morphogenesis checkpoint in response to polarity insults through inactivation of Mih1p; phosphorylated in response to DNA damage; similar to mammalian haspins""",Verified ORF
4916,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.566070049533452,4.05386166833912,6.19451167912543e-05,0.0304269202390472,8,74975,0.566385759636989,0.139941507275495,6.36986145435653e-05,YHL016C,DUR3,SGDID:S000001008,Close to 3'-UTR,Close to 3'-UTR,"""Plasma membrane transporter for both urea and polyamines; expression is highly sensitive to nitrogen catabolite repression and induced by allophanate ; the last intermediate of the allantoin degradative pathway""",Verified ORF
4272,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.608582099428301,4.02929651553964,6.84698119549355e-05,0.0331356132122471,7,454664,0.62157221755601,0.150837353416901,4.70874405651219e-05,YGL021W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
4977,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.566618355232581,4.02408807071339,6.9934718925079e-05,0.0337349592197895,8,122370,0.566618355233571,0.141117496486982,7.2576104742124e-05,SUT153,,,Unstable transcript,SUT,ncRNA_UNB,Unstable transcript
4299,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.6252085342888,4.01501799470698,7.25570672530211e-05,0.0348067135871435,7,479883,0.620621685963932,0.15526646150726,7.80863432615388e-05,YGL008C,PMA1,SGDID:S000002976,Close to 3'-UTR,Close to 3'-UTR,"""Plasma membrane P2-type H+-ATPase; pumps protons out of cell; major regulator of cytoplasmic pH and plasma membrane potential; long-lived protein asymmetrically distributed at plasma membrane between mother cells and buds; accumulates at high levels in mother cells during aging ; buds emerge with very low levels of Pma1p ; newborn cells have low levels of Pma1p; Hsp30p plays a role in Pma1p regulation; interactions with Std1p appear to propagate [GAR+]""",Verified ORF
4975,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.56342074887405,3.9921164972481,7.96002983519892e-05,0.0376058026578239,8,122207,0.563420748875432,0.141444973073582,8.25619593292266e-05,SUT153,,,Unstable transcript,SUT,ncRNA_UNB,Unstable transcript
4973,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.603354905560451,3.95112730703603,9.38550937736903e-05,0.0431565967031193,8,121738,0.615639761190277,0.15260572198783,6.71963722087504e-05,SUT153_NFR/NDR,,,Promoter,Promoter,,Promoter
4914,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.546687808443064,3.91999783323077,0.0001062645850146,0.0477624613266969,8,74739,0.546582566275727,0.139770226748094,0.0001104255786757,YHL015W-A,YHL015W-A,SGDID:S000028828,ORF,Uncharacterized ORF,"""Putative protein of unknown function""",Uncharacterized ORF
4978,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.549163913254787,3.89854162819726,0.0001157064974753,0.0511039651765106,8,122655,0.549163913254025,0.141175143515271,0.0001198238184107,SUT153,,,Unstable transcript,SUT,ncRNA_UNB,Unstable transcript
