SNP,gene,EFFECTSIZE,t-stat,P,FDR,CHR,BP,Effect,SE,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref.GLM,locus_id,GENE,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
10448,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-1.77385397890725,-16.3416253638609,3.71737273630037e-45,6.460862976113049e-40,15,461014,-1.77420601566247,0.10875144816072,5.4809700022639604e-45,YOR071C,NRT1,SGDID:S000005597,ORF,Verified ORF,"""High-affinity nicotinamide riboside transporter; also transports thiamine with low affinity; major transporter for 5-aminoimidazole-4-carboxamide-1-beta-D-ribofuranoside (acadesine) uptake; shares sequence similarity with Thi7p and Thi72p; proposed to be involved in 5-fluorocytosine sensitivity""",Verified ORF
10446,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-1.76103848411687,-16.1066379392327,3.3462560100375804e-44,4.45063081866225e-39,15,460514,-1.76151676568893,0.109536426429088,4.804471992261273e-44,YOR071C,NRT1,SGDID:S000005597,ORF,Verified ORF,"""High-affinity nicotinamide riboside transporter; also transports thiamine with low affinity; major transporter for 5-aminoimidazole-4-carboxamide-1-beta-D-ribofuranoside (acadesine) uptake; shares sequence similarity with Thi7p and Thi72p; proposed to be involved in 5-fluorocytosine sensitivity""",Verified ORF
10447,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-1.76103848411687,-16.1066379392327,3.3462560100375804e-44,4.45063081866225e-39,15,460515,-1.76151676568893,0.109536426429088,4.804471992261273e-44,YOR071C,NRT1,SGDID:S000005597,ORF,Verified ORF,"""High-affinity nicotinamide riboside transporter; also transports thiamine with low affinity; major transporter for 5-aminoimidazole-4-carboxamide-1-beta-D-ribofuranoside (acadesine) uptake; shares sequence similarity with Thi7p and Thi72p; proposed to be involved in 5-fluorocytosine sensitivity""",Verified ORF
10452,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-1.74697328608607,-15.7092090975842,1.3607538550622198e-42,1.35594222943072e-37,15,461793,-1.74655427536457,0.111453367713544,2.19150055306169e-42,YOR072W,YOR072W,SGDID:S000005598,ORF,Uncharacterized ORF,"""Putative protein of unknown function; conserved across S. cerevisiae strains; partially overlaps the dubious gene YOR072W-A; diploid deletion strains are methotrexate ; paraquat and wortmannin sensitive""",Uncharacterized ORF
10453,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-1.73135792121715,-15.6452593176316,2.46657199107238e-42,2.39400992777138e-37,15,461814,-1.73116302090694,0.110898859661389,3.8386536047614e-42,YOR072W,YOR072W,SGDID:S000005598,ORF,Uncharacterized ORF,"""Putative protein of unknown function; conserved across S. cerevisiae strains; partially overlaps the dubious gene YOR072W-A; diploid deletion strains are methotrexate ; paraquat and wortmannin sensitive""",Uncharacterized ORF
10451,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-1.72927766029133,-15.5484990430828,6.061583045558569e-42,5.45796622401458e-37,15,461760,-1.72943142176841,0.111439956989962,8.949351773459779e-42,YOR072W,YOR072W,SGDID:S000005598,ORF,Uncharacterized ORF,"""Putative protein of unknown function; conserved across S. cerevisiae strains; partially overlaps the dubious gene YOR072W-A; diploid deletion strains are methotrexate ; paraquat and wortmannin sensitive""",Uncharacterized ORF
10450,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-1.77151663239022,-15.3101123736352,5.52990329083518e-41,3.89883223075386e-36,15,461411,-1.77145369905377,0.115950825419675,8.34028541371006e-41,YOR071C,NRT1,SGDID:S000005597,Close to 3'-UTR,Close to 3'-UTR,"""High-affinity nicotinamide riboside transporter; also transports thiamine with low affinity; major transporter for 5-aminoimidazole-4-carboxamide-1-beta-D-ribofuranoside (acadesine) uptake; shares sequence similarity with Thi7p and Thi72p; proposed to be involved in 5-fluorocytosine sensitivity""",Verified ORF
10445,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-1.70867789725419,-15.2702847739859,7.99556657945387e-41,5.5328432333534194e-36,15,459550,-1.70855671220648,0.11213167657596,1.2130321601115e-40,XUT_15F-217,,,Unstable transcript,XUT,ncRNA_UNB,Unstable transcript
10454,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-1.68603653239474,-14.7698832173836,8.07798654175832e-39,3.68113846707927e-34,15,462280,-1.6866984732081,0.114362591799631,1.08410523829227e-38,YOR072W,YOR072W,SGDID:S000005598,Close to 3'-UTR,Close to 3'-UTR,"""Putative protein of unknown function; conserved across S. cerevisiae strains; partially overlaps the dubious gene YOR072W-A; diploid deletion strains are methotrexate ; paraquat and wortmannin sensitive""",Uncharacterized ORF
10459,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-1.66082881583505,-14.5400371215864,6.6517002792804e-38,2.51067419208063e-33,15,465855,-1.66027099230346,0.114485352593496,1.03535169024691e-37,YOR073W,SGO1,SGDID:S000005599,ORF,Verified ORF,"""Component of the spindle checkpoint; involved in sensing lack of tension on mitotic chromosomes; protects centromeric Rec8p at meiosis I; required for accurate chromosomal segregation at meiosis II and for mitotic chromosome stability; recruits condensin to the pericentric region of chromosomes during meiosis; dissociates from pericentromeres when sister kinetochores are under tension""",Verified ORF
