SNP,pQTL_protein,pQTL_protein_name,eQTL_gene_id,eQTL_gene,Chromosome,pQTL_peak,pQTL_left,pQTL_right,eQTL_peak,eQTL_left,eQTL_right,pQTL_effect,eQTL_LOD,pQTL_gene_dist,pQTL_cis,eQTL_gene_dist,eQTL_cis,peak_distance,is_eQTL_peak_in_pQTL,is_pQTL_peak_in_eQTL
29,YAL060W,BDH1; BDH,YAL060W,BDH1,Chr1,36146,28495,41499,35818,35128,36637,0.212339538,100.8117352,0.0,True,0.0,True,328,True,True
315,YBL041W,PRE7,YBL041W,PRE7,Chr2,140863,133355,147946,141987,140850,142208,0.248531512,146.5607163,387.0,True,0.0,True,1124,True,True
342,YBL030C,PET9; AAC2,YBL030C,PET9,Chr2,165270,161229,171254,163892,162696,165729,0.124947416,21.07611222,1270.0,False,0.0,True,1378,True,True
608,YBR121C,GRS1,YBR121C,GRS1,Chr2,483628,472403,488757,481964,477249,487047,0.267232935,20.25492562,267.0,True,0.0,True,1664,True,True
793,YBR249C,ARO4,YBR249C,ARO4,Chr2,718839,707207,725577,718018,718018,721088,0.114321415,86.99258896,850.0,True,0.0,True,821,True,True
769,YKL029C,MAE1,YKL029C,MAE1,Chr2,699889,682239,701195,695857,694124,700736,0.135212029,21.8104758,inf,False,,False,4032,True,True
1088,YCL050C,APA1; DTP,YCL050C,APA1,Chr3,197297,186935,204903,204750,175569,209941,0.151823231,7.529997109,158496.0,False,135767.0,False,7453,True,True
1088,YGR180C,RNR4; CRT3,YGR180C,RNR4,Chr3,197297,186935,204903,198164,187346,209941,0.106067262,5.74663166,inf,False,,False,867,True,True
1093,YJL171C,YJL171C; J0512,YJL171C,TOH1,Chr3,198615,188758,204903,201185,198164,204750,0.403047324,52.96886941,inf,False,,False,2570,True,True
1532,YAR015W,ADE1,YAR015W,ADE1,Chr4,271035,264432,275191,265022,263532,275637,0.192412039,28.00728938,inf,False,,False,6013,True,True
1281,YDL229W,SSB1; YG101,YDL229W,SSB1,Chr4,51735,43687,60460,49229,40439,73193,0.191090445,5.484078562,5828.0,False,0.0,True,2506,True,True
1767,YDR019C,GCV1,YDR019C,GCV1,Chr4,485454,466223,504419,485593,435452,505548,0.537439376,11.43261823,92.0,True,0.0,True,139,True,True
1883,YDR063W,AIM7,YDR063W,AIM7,Chr4,578512,563928,591983,578506,578506,579940,0.300314432,151.9711791,149.0,True,0.0,True,6,True,True
2108,YDR177W,UBC1,YDR177W,UBC1,Chr4,817729,808113,832289,817854,814423,826324,0.418791073,62.00309831,207.0,True,0.0,True,125,True,True
1984,YDR212W,TCP1; CCT1,YDR212W,TCP1,Chr4,672752,657631,682178,681251,671424,696696,0.182524969,6.741021948,214477.0,False,190611.0,False,8499,True,True
2280,YDR258C,HSP78,YDR258C,HSP78,Chr4,962979,956734,1000959,969630,955222,998628,0.253967747,5.648762175,8825.0,False,0.0,True,6651,True,True
2498,YDR399W,HPT1; BRA6,YDR399W,HPT1,Chr4,1270033,1266919,1278850,1273940,1268647,1277186,0.366925636,74.84248758,27.0,True,0.0,True,3907,True,True
2682,YDR515W,SLF1,YDR515W,SLF1,Chr4,1475645,1467660,1475645,1474416,1473027,1475645,0.250404381,31.34213921,881.0,True,0.0,True,1229,True,True
1532,YGL234W,"ADE5,7",YGL234W,"ADE5,7",Chr4,271035,264432,275191,270858,246448,275637,0.242116574,15.17967113,inf,False,,False,177,True,True
1532,YLR359W,ADE13,YLR359W,ADE13,Chr4,271035,264432,275191,272291,265022,275637,0.30704652,40.46529107,inf,False,,False,1256,True,True
