SNP,pQTL_protein,pQTL_protein_name,eQTL_gene_id,eQTL_gene,Chromosome,pQTL_peak,pQTL_left,pQTL_right,eQTL_peak,eQTL_left,eQTL_right,pQTL_effect,eQTL_LOD,pQTL_gene_dist,pQTL_cis,eQTL_gene_dist,eQTL_cis,peak_distance,is_eQTL_peak_in_pQTL,is_pQTL_peak_in_eQTL,pQTL_ORF_chrom,pQTL_ORF_start,pQTL_ORF_end,eQTL_ORF_chrom,eQTL_ORF_start,eQTL_ORF_end
1532,YOR128C,ADE2,YOR128C,ADE2,Chr4,271035,264432,275191,271035,268919,275637,0.336199784,26.5195766,inf,False,,False,0,True,True,CHR_15,563476,567191,CHR_15,563476,567191
3107,YER049W,TPA1,YER049W,TPA1,Chr5,253670,243584,262671,253670,252103,256810,0.253965736,53.04207521,9.0,True,0.0,True,0,True,True,CHR_5,250728,254662,CHR_5,250728,254662
5049,YHR042W,NCP1,YHR042W,NCP1,Chr8,190366,190366,190872,190366,190366,191248,0.524334922,45.37045523,170.0,True,0.0,True,0,True,True,CHR_8,189543,193618,CHR_8,189543,193618
5172,YHR108W,GGA2,YHR108W,GGA2,Chr8,329765,327592,334860,329765,328271,330276,0.260219709,89.86522722,0.0,True,0.0,True,0,True,True,CHR_8,327303,331060,CHR_8,327303,331060
5350,YHR190W,ERG9,YHR190W,ERG9,Chr8,484694,484694,485972,484694,482896,485700,0.305658657,76.51090379,151.0,True,0.0,True,0,True,True,CHR_8,483845,487179,CHR_8,483845,487179
5610,YDR148C,KGD2,YDR148C,KGD2,Chr9,138636,125289,144955,138636,104822,143092,0.236808466,6.814181162,inf,False,,False,0,True,True,CHR_4,752675,756066,CHR_4,752675,756066
5812,YIL033C,BCY1,YIL033C,BCY1,Chr9,292353,286125,300482,292353,292353,296453,0.407845453,72.77497223,685.0,True,0.0,True,0,True,True,CHR_9,289419,292669,CHR_9,289419,292669
7905,YEL047C,FRD1,YEL047C,FRD1,Chr12,510268,504262,511884,510268,510208,510855,0.341478316,103.2573197,inf,False,,False,0,True,True,CHR_5,64385,67797,CHR_5,64385,67797
8197,YLR364W,GRX8,YLR364W,GRX8,Chr12,853997,840314,860877,853997,851969,856379,0.226110943,40.89931082,64.0,True,0.0,True,0,True,True,CHR_12,853062,855391,CHR_12,853062,855391
8667,YLR300W,EXG1,YLR300W,EXG1,Chr13,331334,329611,333904,331334,328866,336381,0.118985852,12.46833191,inf,False,,False,0,True,True,CHR_12,727955,731301,CHR_12,727955,731301
10190,YMR196W,YMR196W; YM9646.09,YMR196W,YMR196W,Chr15,171150,165912,184082,171150,139908,172102,0.314148593,20.94002714,inf,False,,False,0,True,True,CHR_13,654076,659342,CHR_13,654076,659342
11890,YKR039W,GAP1,YKR039W,GAP1,Chr16,812990,798666,821586,812990,803590,816544,0.176695434,7.063592294,inf,False,,False,0,True,True,CHR_11,514063,517871,CHR_11,514063,517871
