SNP,PPI,DRUG,eQTL_gene,eQTL_gene_id,pQTL_protein,pQTL_protein_name,Chromosome,piQTL_peak,piQTL_left,piQTL_right,eQTL_peak,eQTL_left,eQTL_right,pQTL_peak,pQTL_left,pQTL_right,piQTL_EFFECTSIZE,piQTL_pvalue,piQTL_FDR,eQTL_LOD,eQTL_gene_dist,eQTL_cis,pQTL_effect,pQTL_gene_dist,pQTL_cis,peak_distance,is_piQTL_peak_in_eQTL,is_eQTL_peak_in_piQTL,is_piQTL_peak_in_pQTL,is_pQTL_peak_in_piQTL,is_eQTL_peak_in_pQTL,is_pQTL_peak_in_eQTL,piQTL_locus_id,piQTL_locus_gene,piQTL_locus_description
798,ERV25_ORM2,5-FC,ERG13,YML126C,YOR027W,STI1,Chr2,723281,722169,723281,723281,705106,737571,723281,717833,734586,-0.476860796,4.12167149,0.021006684,3.523789666,,False,0.171907648,inf,False,0,True,True,True,True,True,True,YBR253W,SRB6,"""Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation"""
798,ERV25_ORM2,5-FC,ERG13,YML126C,YOR270C,VPH1,Chr2,723281,722169,723281,723281,705106,737571,723281,717833,734586,-0.476860796,4.12167149,0.021006684,3.523789666,,False,0.124744942,inf,False,0,True,True,True,True,True,True,YBR253W,SRB6,"""Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation"""
798,ERV25_ORM2,5-FC,MNC1,YBR056W-A,YOR027W,STI1,Chr2,723281,722169,723281,723281,653876,737571,723281,717833,734586,-0.476860796,4.12167149,0.021006684,5.428588941,302220.0,False,0.171907648,inf,False,0,True,True,True,True,True,True,YBR253W,SRB6,"""Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation"""
798,ERV25_ORM2,5-FC,MNC1,YBR056W-A,YOR270C,VPH1,Chr2,723281,722169,723281,723281,653876,737571,723281,717833,734586,-0.476860796,4.12167149,0.021006684,5.428588941,302220.0,False,0.124744942,inf,False,0,True,True,True,True,True,True,YBR253W,SRB6,"""Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation"""
1097,ADE17_PGM2,Trifluoperazine,CHA1,YCL064C,YBR135W,CKS1,Chr3,204897,203261,204903,204897,188904,211772,204897,195779,204903,-0.695476542,6.5091007,0.000116297,6.389998844,171023.0,False,0.148045621,inf,False,0,True,True,True,True,True,True,YCR042C,TAF2,"""TFIID subunit (150 kDa); involved in RNA polymerase II transcription initiation"""
1097,ADE17_PGM2,Trifluoperazine,TMA20,YER007C-A,YBR135W,CKS1,Chr3,204897,203261,204903,204897,187932,209941,204897,195779,204903,-0.695476542,6.5091007,0.000116297,4.092765257,,False,0.148045621,inf,False,0,True,True,True,True,True,True,YCR042C,TAF2,"""TFIID subunit (150 kDa); involved in RNA polymerase II transcription initiation"""
1097,ADE17_PGM2,Trifluoperazine,IXR1,YKL032C,YBR135W,CKS1,Chr3,204897,203261,204903,204897,131280,209941,204897,195779,204903,-0.695476542,6.5091007,0.000116297,4.501750777,,False,0.148045621,inf,False,0,True,True,True,True,True,True,YCR042C,TAF2,"""TFIID subunit (150 kDa); involved in RNA polymerase II transcription initiation"""
1097,ADE17_PGM2,Trifluoperazine,RIC1,YLR039C,YBR135W,CKS1,Chr3,204897,203261,204903,204897,162361,211881,204897,195779,204903,-0.695476542,6.5091007,0.000116297,4.784997168,,False,0.148045621,inf,False,0,True,True,True,True,True,True,YCR042C,TAF2,"""TFIID subunit (150 kDa); involved in RNA polymerase II transcription initiation"""
1097,ADE17_PGM2,Trifluoperazine,PEX9,YMR018W,YBR135W,CKS1,Chr3,204897,203261,204903,204897,163856,226510,204897,195779,204903,-0.695476542,6.5091007,0.000116297,7.096930826,,False,0.148045621,inf,False,0,True,True,True,True,True,True,YCR042C,TAF2,"""TFIID subunit (150 kDa); involved in RNA polymerase II transcription initiation"""
1097,ADE17_PGM2,Trifluoperazine,ALF1,YNL148C,YBR135W,CKS1,Chr3,204897,203261,204903,204897,178367,209941,204897,195779,204903,-0.695476542,6.5091007,0.000116297,11.00772084,,False,0.148045621,inf,False,0,True,True,True,True,True,True,YCR042C,TAF2,"""TFIID subunit (150 kDa); involved in RNA polymerase II transcription initiation"""
