gene	var.exp	beta	cis	cis_trans
YAL062W	0.574708067	1.0721082659880952	True	cis
YAL060W	0.322079575	0.8025952591437355	True	cis
YAL056W	0.656611338	1.1459592819991469	True	cis
YAL055W	0.082007525	0.4049877158630864	True	cis
YAL054C	0.14933134	0.5465003934124842	True	cis
YAL049C	0.729126935	1.2075818274551833	True	cis
YAL047C	0.020370027	0.20184165576015273	True	cis
YAL046C	0.05358949	0.32738200927967925	False	trans
YAL044C	0.008642302	0.13147092454227283	True	cis
YAL042W	0.04715644	0.3071040214650404	True	cis
YAL040C	0.003803975	0.0872235633301002	True	cis
YAL039C	0.22404963	0.6694021661154078	True	cis
YAL038W	0.008177714	0.12788834192372658	True	cis
YAL036C	0.019679653	0.19839179922567363	False	trans
YAL035W	0.011958585	0.15465177011596085	False	trans
YAL034C	0.015323066	0.17506036673102224	False	trans
YAL033W	0.239111575	0.6915368030698005	True	cis
YAL032C	0.126917005	0.5038194220154678	True	cis
YAL030W	0.033896997	0.26037279811839026	False	trans
YAL029C	0.027966347	0.2365009386873549	True	cis
YAL028W	0.057728269	0.3397889609743083	True	cis
YAL027W	0.009835518	0.14025347054529524	True	cis
YAL026C	0.013669629	0.16534587385235835	False	trans
YAL022C	0.04732674	0.3076580569398435	True	cis
YAL020C	0.018323173	0.1914323535873704	True	cis
YAL019W	0.060938615	0.349109194951952	True	cis
YAL013W	0.015169044	0.17417832241699885	True	cis
YAL012W	0.009703	0.13930541985149034	True	cis
YAL011W	0.07453528	0.38609656823131694	True	cis
YAL010C	0.037779138	0.2748786568651702	True	cis
YAL009W	0.063448568	0.3562262427166196	True	cis
YAL008W	0.041769007	0.2890294344872162	True	cis
YAL005C	0.303829809	0.7795252516756593	False	trans
YAL003W	0.119055425	0.48796603365398294	True	cis
YAL002W	0.040786187	0.28560877787631106	False	trans
YAR002W	0.076489806	0.39112608197357535	True	cis
YAR002C-A	0.059857856	0.3459995838147786	True	cis
YAR003W	0.033834889	0.26013415385143107	True	cis
YAR008W	0.043164103	0.2938166196796907	True	cis
YAR009C	0.782804804	1.2512432249566827	True	cis
YAR010C	0.240948844	0.6941885104206206	True	cis
YAR015W	0.084875666	0.41200889796216783	True	cis
YAR018C	0.061508683	0.3507383155573397	True	cis
YAR019C	0.048288681	0.3107689849389736	True	cis
YAR020C	0.069867686	0.37381194737461243	True	cis
YAR023C	0.297900236	0.7718811255627385	True	cis
YAR027W	0.734334918	1.2118868907616749	False	trans
YAR028W	0.750953033	1.2255227725342357	False	trans
YAR029W	0.103508453	0.45499110540756726	True	cis
YAR033W	0.728688759	1.2072189188378386	False	trans
YAR035W	0.021235565	0.2060852493508451	True	cis
YAR042W	0.014073262	0.16776925820900562	True	cis
YAR050W	0.308934422	0.7860463370565376	True	cis
YAR071W	0.63279382	1.124983395433017	False	trans
YBL099W	0.006609517	0.11497405794352046	False	trans
YBL097W	0.00626548	0.11194177057738545	False	trans
YBL095W	0.111630034	0.47250404019436704	False	trans
YBL093C	0.007387718	0.12155425126255354	False	trans
YBL091C	0.012131248	0.15576423209453447	False	trans
YBL068W	0.015587847	0.17656640110734545	False	trans
YBL066C	0.013113378	0.16194676903229654	False	trans
YBL045C	0.011753472	0.15331974432538034	False	trans
YBL042C	0.007162397	0.11968623145541846	False	trans
YBL039W-B	0.017175826	0.18534198660853943	False	trans
YBL039C	0.014927351	0.17278513246225788	False	trans
YBL038W	0.006287119	0.11213490981848605	False	trans
YBL030C	0.008611407	0.13123571922308347	False	trans
YBL015W	0.009688187	0.13919904453695076	False	trans
YBL011W	0.021961297	0.20957717910116072	False	trans
YBL009W	0.017857311	0.18898312623088867	False	trans
YBL005W	0.01034271	0.14382426777147173	False	trans
YBL002W	0.014265539	0.1689114501743443	False	trans
YBL001C	0.016020153	0.17899806144201674	False	trans
YBR003W	0.006194558	0.1113064059252656	False	trans
YBR009C	0.011726517	0.15314383435189285	False	trans
YBR015C	0.005904876	0.10867268286004537	False	trans
YBR022W	0.018512799	0.19242036794476824	False	trans
YBR025C	0.019850661	0.19925190588799896	False	trans
YBR035C	0.01727222	0.18586134616966488	False	trans
YBR037C	0.005683874	0.10661964171764976	False	trans
YBR038W	0.008723276	0.13208539661900554	False	trans
YBR039W	0.00514584	0.10144791767207446	False	trans
YBR052C	0.014414818	0.16979292093606257	False	trans
YBR058C	0.015032316	0.17339155688787156	False	trans
YBR067C	0.084759136	0.41172596711890785	False	trans
YBR073W	0.008398701	0.12960479157808943	False	trans
