iteration,overlap_pqtl,overlap_eqtl,overlap_both
1,72,38,9
2,69,26,9
3,75,28,7
4,74,25,7
5,61,33,11
6,69,27,8
7,60,29,1
8,75,41,7
9,58,24,6
10,72,41,11
11,66,30,8
12,71,24,9
13,64,41,8
14,70,41,8
15,78,19,4
16,65,34,5
17,86,32,10
18,65,24,1
19,73,27,9
20,74,28,6
21,63,40,13
22,69,34,6
23,76,32,4
24,75,30,7
25,70,32,5
26,75,29,6
27,70,30,8
28,59,37,8
29,64,28,7
30,65,28,8
31,80,27,7
32,56,32,5
33,63,33,5
34,69,27,7
35,60,35,5
36,67,34,8
37,62,27,4
38,72,29,7
39,72,25,5
40,70,31,13
41,76,34,11
42,62,33,6
43,79,34,5
44,69,30,7
45,76,28,6
46,60,30,6
47,68,29,5
48,83,26,5
49,67,35,9
50,66,38,8
51,72,34,6
52,81,27,4
53,80,32,7
54,60,33,5
55,66,33,7
56,69,30,7
57,70,43,10
58,75,29,4
59,63,34,9
60,70,33,6
61,63,33,9
62,70,26,5
63,72,31,4
64,71,34,10
65,73,30,7
66,77,25,8
67,54,35,7
68,67,30,8
69,65,33,9
70,67,35,10
71,68,35,8
72,73,39,16
73,58,29,5
74,73,32,7
75,78,37,6
76,71,29,5
77,74,26,4
78,78,23,5
79,94,28,9
80,74,23,4
81,66,39,6
82,76,26,6
83,67,31,6
84,59,33,4
85,68,38,8
86,69,22,5
87,63,31,6
88,56,29,5
89,73,34,10
90,61,28,7
91,71,35,12
92,75,37,10
93,81,35,7
94,61,29,9
95,67,27,4
96,73,38,14
97,77,34,11
98,67,25,5
99,67,25,10
100,67,36,8
101,68,28,9
102,58,33,4
103,81,28,5
104,81,25,4
105,77,41,9
106,66,32,9
107,62,41,8
108,74,29,6
109,66,38,8
110,68,41,6
111,71,29,10
112,67,32,9
113,75,28,8
114,88,26,8
115,61,28,4
116,72,33,9
117,63,38,5
118,74,32,8
119,74,28,8
120,65,35,9
121,62,26,6
122,72,25,7
123,71,27,7
124,71,31,11
125,82,34,10
126,65,38,9
127,80,32,7
128,57,39,6
129,75,31,7
130,71,27,3
131,72,37,9
132,75,24,5
133,61,39,6
134,69,31,6
135,77,32,9
136,73,25,9
137,71,27,7
138,70,26,6
139,65,39,10
140,64,20,2
141,66,22,6
142,62,28,5
143,67,31,4
144,66,30,5
145,70,30,10
146,75,34,6
147,65,34,8
148,71,33,9
149,76,31,6
150,67,30,6
151,75,34,8
152,60,27,5
153,63,27,3
154,67,26,8
155,70,42,9
156,53,34,4
157,76,24,3
158,56,32,4
159,64,37,7
160,64,31,7
161,77,37,6
162,71,30,3
163,62,29,7
164,78,37,8
165,85,21,9
166,81,38,6
167,59,34,7
168,75,27,7
169,74,32,6
170,81,33,6
171,69,32,8
172,79,29,8
173,62,27,6
174,63,44,12
175,78,30,8
176,68,26,5
177,71,26,7
178,70,33,9
179,62,36,7
180,62,24,4
181,68,26,4
182,61,28,7
183,75,28,8
184,61,37,6
185,63,20,7
186,66,31,6
187,72,32,8
188,77,26,6
189,69,21,2
190,66,32,2
191,78,39,12
192,73,32,5
193,60,32,6
194,63,24,9
195,65,25,5
196,72,35,8
197,72,42,10
198,69,34,9
199,63,25,5
200,76,31,6
201,78,30,8
202,73,30,4
203,73,25,6
204,56,35,8
205,72,34,7
206,65,29,5
207,62,32,5
208,62,29,6
209,69,34,9
210,87,34,10
211,70,32,8
212,66,31,7
213,76,29,8
214,79,30,9
215,77,40,11
216,75,37,7
217,62,33,1
218,72,34,2
219,70,31,8
220,63,41,9
221,67,33,6
222,74,31,10
223,70,44,7
224,76,27,10
225,67,34,11
226,75,31,8
227,81,40,9
228,73,35,6
229,65,36,8
230,63,33,9
231,72,38,6
232,67,36,6
233,75,27,9
234,68,31,5
235,64,30,5
236,66,27,8
237,77,34,8
238,69,40,9
239,62,24,4
240,62,31,9
241,65,26,1
242,87,35,6
243,59,36,4
244,59,32,8
245,61,30,3
246,64,31,7
247,63,23,4
248,60,26,4
249,79,20,7
250,66,35,7
251,72,36,11
252,65,37,6
253,67,41,11
254,77,32,5
255,68,37,11
256,74,32,8
257,74,23,4
258,68,20,5
259,71,30,3
260,80,34,10
261,61,41,6
262,65,35,9
263,63,23,5
264,58,37,7
265,74,26,6
266,69,26,7
267,75,27,7
268,66,41,6
269,82,27,5
270,75,31,11
271,76,39,8
272,65,34,6
273,78,33,7
274,66,31,3
275,84,30,4
276,87,39,10
277,84,27,7
278,58,35,6
279,59,29,5
280,89,37,17
281,65,27,8
282,65,34,9
283,73,27,6
284,50,23,1
285,67,38,11
286,68,41,13
