SNP,SNP_marker,chr,pos,start,end
27,chr1:35128,1,35128,35128,35128
29,chr1:36146,1,36146,36146,36146
30,chr1:37255,1,37255,37255,37255
31,chr1:37409,1,37409,37409,41499
32,chr1:37478,1,37478,37409,41499
33,chr1:39144,1,39144,37409,41499
34,chr1:41499,1,41499,37409,41499
36,chr1:45634,1,45634,45634,45634
39,chr1:52124,1,52124,51248,60165
42,chr1:59265,1,59265,51248,60165
43,chr1:60165,1,60165,51248,60165
45,chr1:62869,1,62869,62308,69417
46,chr1:65431,1,65431,62308,69417
48,chr1:65719,1,65719,62308,69417
50,chr1:66948,1,66948,62308,69417
51,chr1:68621,1,68621,62308,69417
56,chr1:74327,1,74327,74327,76030
57,chr1:74572,1,74572,74327,76030
59,chr1:76030,1,76030,74327,76030
61,chr1:81262,1,81262,80108,99148
62,chr1:81999,1,81999,80108,99148
63,chr1:82431,1,82431,80108,99148
64,chr1:83284,1,83284,80108,99148
65,chr1:83613,1,83613,80108,99148
66,chr1:84112,1,84112,80108,99148
68,chr1:84858,1,84858,80108,99148
70,chr1:87445,1,87445,80108,99148
75,chr1:89880,1,89880,80108,99148
76,chr1:91472,1,91472,80108,99148
77,chr1:93789,1,93789,80108,99148
78,chr1:94351,1,94351,80108,99148
85,chr1:112549,1,112549,106011,116283
86,chr1:112742,1,112742,106011,116283
90,chr1:114628,1,114628,106011,116283
93,chr1:127853,1,127853,127853,128911
94,chr1:128302,1,128302,127853,128911
95,chr1:128704,1,128704,127853,128911
98,chr1:130271,1,130271,130267,130613
99,chr1:130613,1,130613,130267,130613
105,chr1:149562,1,149562,132012,150447
108,chr1:154084,1,154084,154084,178960
109,chr1:156633,1,156633,154084,178960
110,chr1:157269,1,157269,154084,178960
111,chr1:160054,1,160054,154084,178960
112,chr1:166222,1,166222,154084,178960
114,chr1:167326,1,167326,154084,178960
115,chr1:168836,1,168836,154084,178960
117,chr1:171431,1,171431,154084,178960
118,chr1:173339,1,173339,154084,178960
119,chr1:173845,1,173845,154084,178960
121,chr1:175281,1,175281,154084,178960
122,chr1:175315,1,175315,154084,178960
123,chr1:175523,1,175523,154084,178960
124,chr1:175541,1,175541,154084,178960
125,chr1:175653,1,175653,154084,178960
127,chr1:175818,1,175818,154084,178960
128,chr1:175856,1,175856,154084,178960
129,chr1:175876,1,175876,154084,178960
130,chr1:175989,1,175989,154084,178960
131,chr1:176001,1,176001,154084,178960
134,chr1:178191,1,178191,154084,178960
136,chr1:178960,1,178960,154084,178960
166,chr1:192149,1,192149,192149,192149
171,chr1:192795,1,192795,192795,192795
172,chr1:194020,1,194020,194020,197392
174,chr1:194867,1,194867,194020,197392
175,chr1:197325,1,197325,194020,197392
176,chr1:197392,1,197392,194020,197392
179,chr1:206675,1,206675,206675,206675
199,chr2:10135,2,10135,9812,28695
201,chr2:12133,2,12133,9812,28695
202,chr2:12194,2,12194,9812,28695
204,chr2:13061,2,13061,9812,28695
205,chr2:14298,2,14298,9812,28695
206,chr2:15222,2,15222,9812,28695
211,chr2:21595,2,21595,9812,28695
212,chr2:22385,2,22385,9812,28695
213,chr2:23441,2,23441,9812,28695
214,chr2:24209,2,24209,9812,28695
215,chr2:24341,2,24341,9812,28695
221,chr2:41245,2,41245,41245,59477
223,chr2:47104,2,47104,41245,59477
224,chr2:50915,2,50915,41245,59477
226,chr2:56422,2,56422,41245,59477
228,chr2:59046,2,59046,41245,59477
242,chr2:63857,2,63857,60471,67007
247,chr2:67976,2,67976,67976,69628
252,chr2:73646,2,73646,72389,74739
254,chr2:74739,2,74739,72389,74739
256,chr2:80748,2,80748,79931,83845
258,chr2:81501,2,81501,79931,83845
264,chr2:87391,2,87391,84447,87878
266,chr2:87849,2,87849,84447,87878
273,chr2:93952,2,93952,89785,95085
275,chr2:103188,2,103188,103188,116024
282,chr2:116024,2,116024,103188,116024
283,chr2:119244,2,119244,119244,124677
284,chr2:119246,2,119246,119244,124677
286,chr2:120090,2,120090,119244,124677
290,chr2:123100,2,123100,119244,124677
291,chr2:124677,2,124677,119244,124677
294,chr2:128935,2,128935,127887,133435
296,chr2:130040,2,130040,127887,133435
297,chr2:130976,2,130976,127887,133435
298,chr2:132199,2,132199,127887,133435
299,chr2:133355,2,133355,127887,133435
300,chr2:133435,2,133435,127887,133435
302,chr2:135183,2,135183,135183,145823
303,chr2:135402,2,135402,135183,145823
307,chr2:136002,2,136002,135183,145823
310,chr2:138318,2,138318,135183,145823
311,chr2:138695,2,138695,135183,145823
313,chr2:139728,2,139728,135183,145823
314,chr2:140174,2,140174,135183,145823
315,chr2:140863,2,140863,135183,145823
317,chr2:141292,2,141292,135183,145823
323,chr2:147946,2,147946,145980,150394
324,chr2:150394,2,150394,145980,150394
327,chr2:153035,2,153035,151397,155527
328,chr2:153228,2,153228,151397,155527
329,chr2:153455,2,153455,151397,155527
331,chr2:153815,2,153815,151397,155527
335,chr2:159870,2,159870,159870,161229
336,chr2:161229,2,161229,159870,161229
337,chr2:161451,2,161451,161451,161451
339,chr2:162696,2,162696,162696,165675
340,chr2:163284,2,163284,162696,165675
343,chr2:165675,2,165675,162696,165675
344,chr2:166404,2,166404,166404,166404
345,chr2:168012,2,168012,168012,169651
346,chr2:168062,2,168062,168012,169651
349,chr2:169651,2,169651,168012,169651
351,chr2:169960,2,169960,169960,169960
355,chr2:173254,2,173254,170725,173973
357,chr2:173385,2,173385,170725,173973
358,chr2:173973,2,173973,170725,173973
363,chr2:182758,2,182758,177341,191066
364,chr2:183619,2,183619,177341,191066
366,chr2:184146,2,184146,177341,191066
369,chr2:191124,2,191124,191124,191128
370,chr2:191128,2,191128,191124,191128
373,chr2:191763,2,191763,191599,192390
375,chr2:192390,2,192390,191599,192390
377,chr2:196912,2,196912,195759,196912
379,chr2:198110,2,198110,198110,210102
380,chr2:198283,2,198283,198110,210102
383,chr2:199248,2,199248,198110,210102
384,chr2:201782,2,201782,198110,210102
386,chr2:203783,2,203783,198110,210102
387,chr2:204179,2,204179,198110,210102
391,chr2:207192,2,207192,198110,210102
392,chr2:207561,2,207561,198110,210102
393,chr2:208682,2,208682,198110,210102
394,chr2:210102,2,210102,198110,210102
396,chr2:214801,2,214801,214801,215016
397,chr2:215016,2,215016,214801,215016
398,chr2:218876,2,218876,218876,254908
400,chr2:230378,2,230378,218876,254908
401,chr2:231943,2,231943,218876,254908
402,chr2:232156,2,232156,218876,254908
406,chr2:250396,2,250396,218876,254908
408,chr2:252305,2,252305,218876,254908
409,chr2:254571,2,254571,218876,254908
411,chr2:254908,2,254908,218876,254908
415,chr2:258311,2,258311,255862,288379
416,chr2:259284,2,259284,255862,288379
418,chr2:267100,2,267100,255862,288379
420,chr2:274614,2,274614,255862,288379
425,chr2:278218,2,278218,255862,288379
426,chr2:278379,2,278379,255862,288379
427,chr2:279910,2,279910,255862,288379
429,chr2:283431,2,283431,255862,288379
430,chr2:283573,2,283573,255862,288379
431,chr2:286762,2,286762,255862,288379
437,chr2:296198,2,296198,296198,296198
439,chr2:297610,2,297610,297610,297610
441,chr2:299680,2,299680,299680,300111
442,chr2:299708,2,299708,299680,300111
443,chr2:299759,2,299759,299680,300111
444,chr2:300111,2,300111,299680,300111
445,chr2:300931,2,300931,300931,300931
446,chr2:301710,2,301710,301710,312659
450,chr2:304691,2,304691,301710,312659
451,chr2:308097,2,308097,301710,312659
452,chr2:308989,2,308989,301710,312659
453,chr2:309402,2,309402,301710,312659
454,chr2:310030,2,310030,301710,312659
455,chr2:310113,2,310113,301710,312659
456,chr2:310972,2,310972,301710,312659
457,chr2:312659,2,312659,301710,312659
459,chr2:316693,2,316693,316693,316693
461,chr2:318379,2,318379,318265,325221
465,chr2:332691,2,332691,332691,340466
468,chr2:335046,2,335046,332691,340466
471,chr2:336060,2,336060,332691,340466
480,chr2:351083,2,351083,348480,353536
481,chr2:351335,2,351335,348480,353536
484,chr2:352302,2,352302,348480,353536
485,chr2:352469,2,352469,348480,353536
486,chr2:352562,2,352562,348480,353536
493,chr2:358948,2,358948,355266,369530
495,chr2:363190,2,363190,355266,369530
496,chr2:363588,2,363588,355266,369530
497,chr2:363888,2,363888,355266,369530
498,chr2:363954,2,363954,355266,369530
499,chr2:364199,2,364199,355266,369530
500,chr2:365863,2,365863,355266,369530
502,chr2:366047,2,366047,355266,369530
503,chr2:366936,2,366936,355266,369530
507,chr2:371033,2,371033,369931,376172
508,chr2:372919,2,372919,369931,376172
509,chr2:373518,2,373518,369931,376172
512,chr2:381364,2,381364,381364,384955
513,chr2:381368,2,381368,381364,384955
514,chr2:381433,2,381433,381364,384955
515,chr2:381922,2,381922,381364,384955
516,chr2:382146,2,382146,381364,384955
518,chr2:384955,2,384955,381364,384955
520,chr2:387301,2,387301,387301,388313
521,chr2:388313,2,388313,387301,388313
524,chr2:390138,2,390138,390138,391319
526,chr2:391319,2,391319,390138,391319
530,chr2:395606,2,395606,395228,405100
534,chr2:396705,2,396705,395228,405100
538,chr2:401130,2,401130,395228,405100
542,chr2:404844,2,404844,395228,405100
545,chr2:405578,2,405578,405578,405578
548,chr2:406181,2,406181,406181,418057
