SNP,CHR,BP,gene,EFFECTSIZE,Effect,P,FDR,locus_id,GENE,snps_class_up,snps_class_down,PPI,DRUG,-log10_P,LD_b075,LD_b050,PPI_SNP,PPI_block
983,3,80341,ADE17_GIS2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.402168703318937,-0.400204768139413,1.80492821250891e-06,0.001252585653043,YCL024W,KCC4,ORF,Verified ORF,ADE17_GIS2,noDrug,5.743540066628817,982_983_984,982_983_984,ADE17_GIS2-983,ADE17_GIS2-982_983_984
990,3,84735,ADE17_GIS2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.411445274495486,-0.394244649346594,2.46029976986885e-06,0.0016707861085069,YCLWdelta2b_NFR/NDR,,Promoter,Promoter,ADE17_GIS2,noDrug,5.6090119740070685,990,990,ADE17_GIS2-990,ADE17_GIS2-990
992,3,84780,ADE17_GIS2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.404492608281845,-0.385749539937712,4.12194816398746e-05,0.0214506630210967,YCLWdelta2b_NFR/NDR,,Promoter,Promoter,ADE17_GIS2,noDrug,4.384897474040494,992,992,ADE17_GIS2-992,ADE17_GIS2-992
1002,3,92556,ADE17_GIS2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.444453172239963,-0.428716317172103,1.86114379565074e-07,0.0001500617211556,YCLWdelta2b_NFR/NDR,,Promoter,Promoter,ADE17_GIS2,noDrug,6.730220071122278,1002_1003,1002_1003_1004,ADE17_GIS2-1002,ADE17_GIS2-1002_1003
1004,3,92716,ADE17_GIS2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.412637973713549,-0.377479223694472,3.60703814565622e-06,0.0023719425816805,YCL018W,LEU2,Close to 3'-UTR,Close to 3'-UTR,ADE17_GIS2,noDrug,5.442849264845372,1004,1002_1003_1004,ADE17_GIS2-1004,ADE17_GIS2-1004
1006,3,95493,ADE17_GIS2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.438688060161335,-0.439331467097599,1.93973782931364e-07,0.0001560115354349,YCL016C,DCC1,ORF,Verified ORF,ADE17_GIS2,noDrug,6.712256964387579,1006,1006_1007_1008_1009_1010_1011_1012_1013_1014_1015,ADE17_GIS2-1006,ADE17_GIS2-1006
1008,3,98535,ADE17_GIS2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.379971772665128,-0.382444366336059,3.08050205324102e-06,0.0020526097079935,YCL014W,BUD3,ORF,Verified ORF,ADE17_GIS2,noDrug,5.511378497401022,1007_1008_1009_1010_1011,1006_1007_1008_1009_1010_1011_1012_1013_1014_1015,ADE17_GIS2-1008,ADE17_GIS2-1007_1008_1009_1010_1011
1014,3,114371,ADE17_GIS2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.32495785458011,-0.317160981045344,7.14577727092557e-05,0.0343499218619134,ARS308,ARS308,Other features,Replication,ADE17_GIS2,noDrug,4.145950524589704,1014,1006_1007_1008_1009_1010_1011_1012_1013_1014_1015,ADE17_GIS2-1014,ADE17_GIS2-1014
1015,3,114395,ADE17_GIS2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.440872053431127,-0.404144051483844,3.33080005539242e-05,0.017799547799767,ARS308,ARS308,Other features,Replication,ADE17_GIS2,noDrug,4.477451436791264,1015,1006_1007_1008_1009_1010_1011_1012_1013_1014_1015,ADE17_GIS2-1015,ADE17_GIS2-1015
1019,3,120341,ADE17_GIS2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.361575937091637,-0.361206311489201,2.92014034615901e-06,0.0019542948396357,CUT043_NFR/NDR,,Promoter,Promoter,ADE17_GIS2,noDrug,5.5345962752304585,1016_1017_1018_1019_1020_1021_1022_1023_1024,1016_1017_1018_1019_1020_1021_1022_1023_1024,ADE17_GIS2-1019,ADE17_GIS2-1016_1017_1018_1019_1020_1021_1022_1023_1024
