SNP,PPI,DRUG,eQTL_gene,eQTL_gene_id,Chromosome,piQTL_peak,piQTL_left,piQTL_right,eQTL_peak,eQTL_left,eQTL_right,piQTL_EFFECTSIZE,piQTL_pvalue,piQTL_FDR,eQTL_LOD,eQTL_gene_dist,eQTL_cis,peak_distance,is_piQTL_peak_in_eQTL,is_eQTL_peak_in_piQTL,eQTL_gene_description,piQTL_locus_id,piQTL_locus_gene,piQTL_locus_description
51,SSH1_PIS1,5-FC,ERV46,YAL042W,Chr1,68621,62308,69417,62361,62361,68621,-0.750117584,5.520067065,0.001035236,21.71631224,0.0,True,6260,True,True,"""Protein localized to COPII-coated vesicles; forms a complex with Erv41p; involved in the membrane fusion stage of transport""",SUT003_NFR/NDR,,
51,SSH1_PIS1,5-FC,CDC19,YAL038W,Chr1,68621,62308,69417,65365,33040,74327,-0.750117584,5.520067065,0.001035236,3.141328525,0.0,True,3256,True,True,"""Pyruvate kinase; functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate ; the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration; regulated via allosteric activation by fructose bisphosphate; CDC19 has a paralog ; PYK2 ; that arose from the whole genome duplication""",SUT003_NFR/NDR,,
51,SSH1_PIS1,5-FC,SNF11,YDR073W,Chr1,68621,62308,69417,62361,54198,68621,-0.750117584,5.520067065,0.001035236,6.73298832,,False,6260,True,True,"""Subunit of the SWI/SNF chromatin remodeling complex; involved in transcriptional regulation; interacts with a highly conserved 40-residue sequence of Snf2p; relocates to the cytosol under hypoxic conditions""",SUT003_NFR/NDR,,
51,SSH1_PIS1,5-FC,YLR152C,YLR152C,Chr1,68621,62308,69417,62361,33040,93789,-0.750117584,5.520067065,0.001035236,3.486977862,,False,6260,True,True,"""Putative protein of unknown function; YLR152C is not an essential gene""",SUT003_NFR/NDR,,
51,SSH1_PIS1,5-FC,NPT1,YOR209C,Chr1,68621,62308,69417,67476,33040,74327,-0.750117584,5.520067065,0.001035236,3.402197414,,False,1145,True,True,"""Nicotinate phosphoribosyltransferase; acts in the salvage pathway of NAD+ biosynthesis; required for silencing at rDNA and telomeres and has a role in silencing at mating-type loci; localized to the nucleus""",SUT003_NFR/NDR,,
51,SSH1_PIS1,5-FC,PNG1,YPL096W,Chr1,68621,62308,69417,67275,37008,133080,-0.750117584,5.520067065,0.001035236,4.67666265,,False,1346,True,True,"""Conserved peptide N-glycanase; deglycosylating enzyme that cleaves N-glycans that are attached to misfolded ERAD substrate glycoproteins prior to proteasome-dependent degradation; localizes to the cytoplasm and nucleus; activity is enhanced by interaction with Rad23p; human ortholog NGLY1 is associated with a syndrome characterized by developmental delays ; epilepsy ; absence of tears and liver disease""",SUT003_NFR/NDR,,
51,SSH1_PIS1,5-FC,SUT2,YPR009W,Chr1,68621,62308,69417,62869,35128,68621,-0.750117584,5.520067065,0.001035236,6.033362528,,False,5752,True,True,"""Zn2Cys6 family transcription factor; positively regulates sterol uptake under anaerobic conditions with SUT1; represses filamentation-inducing genes during non-starvation conditions; positively regulates mating along with SUT1 by repressing the expression of genes (PRR2 ; NCE102 and RHO5) which function as mating inhibitors; multicopy suppressor of mutations that cause low activity of the cAMP/PKA pathway; SUT2 has a paralog ; SUT1 ; that arose from the whole genome duplication""",SUT003_NFR/NDR,,
51,SSH1_PIS1,Metformin,ERV46,YAL042W,Chr1,68621,62308,69417,62361,62361,68621,-0.596248308,4.85783922,0.004403929,21.71631224,0.0,True,6260,True,True,"""Protein localized to COPII-coated vesicles; forms a complex with Erv41p; involved in the membrane fusion stage of transport""",SUT003_NFR/NDR,,
51,SSH1_PIS1,Metformin,CDC19,YAL038W,Chr1,68621,62308,69417,65365,33040,74327,-0.596248308,4.85783922,0.004403929,3.141328525,0.0,True,3256,True,True,"""Pyruvate kinase; functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate ; the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration; regulated via allosteric activation by fructose bisphosphate; CDC19 has a paralog ; PYK2 ; that arose from the whole genome duplication""",SUT003_NFR/NDR,,
51,SSH1_PIS1,Metformin,SNF11,YDR073W,Chr1,68621,62308,69417,62361,54198,68621,-0.596248308,4.85783922,0.004403929,6.73298832,,False,6260,True,True,"""Subunit of the SWI/SNF chromatin remodeling complex; involved in transcriptional regulation; interacts with a highly conserved 40-residue sequence of Snf2p; relocates to the cytosol under hypoxic conditions""",SUT003_NFR/NDR,,
