gene_name	gene	var.exp	cis	cis_trans	beta
FMP45	YDL222C	0.007525133	False	trans	0.12267952559412675
CTR2	YHR175W	0.018845472	False	trans	0.19414155660239257
SNA3	YJL151C	0.004119408	False	trans	0.09076792384978297
EMP70	YLR083C	0.003754766	False	trans	0.08665755593137854
ERG27	YLR100W	7.68e-05	False	trans	0.012393546707863733
ACF2	YLR144C	0.012987911	False	trans	0.16117016473280654
ALO1	YML086C	0.014907225	False	trans	0.17266861324514077
PGM2	YMR105C	0.011540931	False	trans	0.15192716017881727
ADE17	YMR120C	0.016909042	False	trans	0.1838969385280788
TPO4	YOR273C	0.173969299	False	trans	0.5898632027851881
SSH1	YBR283C	0.164405045	True	cis	0.5734196456348527
TPO2	YGR138C	0.024088989	False	trans	0.2194948245403522
HYR1	YIR037W	0.011279463	False	trans	0.1501962915654045
TPO1	YLL028W	0.007073424	False	trans	0.11894052295159964
ERG5	YMR015C	0.008505897	False	trans	0.1304292681877806
GIS2	YNL255C	0.022652911	False	trans	0.212851643169603
TPO4	YOR273C	0.054776187	False	trans	0.3309869695320346
PIS1	YPR113W	0.015330193	False	trans	0.1751010736688956
SRO9	YCL037C	0.036847646	False	trans	0.2714687680010354
HUG1	YML058W-A	0.013386934	False	trans	0.16362722267397928
FMP45	YDL222C	0.029009545	False	trans	0.24087152177042434
DHH1	YDL160C	0.375253243	True	cis	0.8663177742606925
SNA4	YDL123W	0.016005823	True	cis	0.17891798679842114
PLM2	YDR501W	0.018111023	False	trans	0.19032090268806526
EMP47	YFL048C	0.006615961	False	trans	0.11503009171516816
RET2	YFR051C	0.01323595	False	trans	0.16270187460505794
HNM1	YGL077C	0.017222465	False	trans	0.18559345354834045
PMC1	YGL006W	0.012504548	False	trans	0.15814264447011123
MEP1	YGR121C	0.013890864	False	trans	0.16667851691204838
GTR2	YGR163W	0.014569626	False	trans	0.1707022319713483
CTR2	YHR175W	0.011969663	False	trans	0.154723385433489
MAM33	YIL070C	0.004818214	False	trans	0.09816530955485242
HYR1	YIR037W	0.015221044	False	trans	0.17447661161313283
TPO1	YLL028W	0.007100984	False	trans	0.11917201013660884
ERG27	YLR100W	0.00337212	False	trans	0.08212332190066352
MID2	YLR332W	0.012926455	False	trans	0.160788401322981
ORM2	YLR350W	0.008733485	False	trans	0.13216266492470558
GTR1	YML121W	0.041521515	False	trans	0.2881718757963726
ERV25	YML012W	0.021256833	False	trans	0.2061884235353673
ERG5	YMR015C	0.005094091	False	trans	0.10093652460829033
ADE17	YMR120C	0.031249455	False	trans	0.2499978199904951
RSN1	YMR266W	0.011836632	False	trans	0.15386118418886552
TCB2	YNL087W	0.022852202	False	trans	0.21378588353771164
TPO4	YOR273C	0.011121484	False	trans	0.14914076572151558
RBD2	YPL246C	0.010670169	False	trans	0.14608332553717415
UIP4	YPL186C	0.038940639	False	trans	0.2790721734605584
PIS1	YPR113W	0.014609301	False	trans	0.1709344962258935
HNM1	YGL077C	0.005175978	False	trans	0.10174456250827363
MEP1	YGR121C	0.009236337	False	trans	0.13591421559204173
HYR1	YIR037W	0.017741656	False	trans	0.1883701462546547
TCB2	YNL087W	0.009294764	False	trans	0.1363434193498168
TCB2	YNL087W	0.015156419	False	trans	0.17410582414152606
CTR2	YHR175W	0.009269252	False	trans	0.13615617503440672
HYR1	YIR037W	0.014078608	False	trans	0.16780112037766612
EMP70	YLR083C	0.006902993	False	trans	0.11749887659037425
ORM2	YLR350W	0.005962577	False	trans	0.10920235345449292
RBD2	YPL246C	0.023721992	False	trans	0.2178163997498811
SSH1	YBR283C	0.012114286	False	trans	0.15565529865700042
FMP45	YDL222C	0.010758285	False	trans	0.1466852753346429
EMP47	YFL048C	0.121078888	True	cis	0.4920952915848718
RET2	YFR051C	0.009839461	True	cis	0.14028158111455688
MEP1	YGR121C	0.210852475	False	trans	0.6493881350933354
HYR1	YIR037W	0.011773137	False	trans	0.15344795208799628
SLM4	YBR077C	0.016985804	False	trans	0.18431388444715716
FMP45	YDL222C	0.020092157	False	trans	0.2004602554123884
SNA4	YDL123W	0.018544882	False	trans	0.1925870296774941
PLM2	YDR501W	0.036790296	False	trans	0.2712574275480766
VAC8	YEL013W	0.017546577	False	trans	0.18733166843862786
RET2	YFR051C	0.017659792	False	trans	0.1879350526112678
HNM1	YGL077C	0.076355206	True	cis	0.39078179589126205
PMC1	YGL006W	0.067105627	False	trans	0.3663485416921978
MEP1	YGR121C	0.034103261	True	cis	0.26116378385986067
TPO2	YGR138C	0.010752565	False	trans	0.14664627509759667
