"","ORFs","Gene_names"
"1","tY(GUA)O","SUP3"
"2","tY(GUA)M2","SUP8"
"3","tY(GUA)M1","SUP5"
"4","tY(GUA)J2","SUP4"
"5","tY(GUA)J1","SUP7"
"6","tY(GUA)F2","SUP6"
"7","tY(GUA)F1","SUP11"
"8","tY(GUA)D","SUP2"
"9","tT(CGU)K","TRT2"
"10","tS(UGA)P","SUP16"
"11","tS(UGA)I","SUP17"
"12","tS(UGA)E","SUP19"
"13","tS(CGA)C","SUP61"
"14","tR(CCU)J","HSX1"
"15","tR(CCG)L","TRR4"
"16","tQ(CUG)M","CDC65"
"17","tP(UGG)O2","SUF11"
"18","tP(UGG)M","SUF7"
"19","tP(UGG)H","SUF8"
"20","tP(UGG)F","SUF9"
"21","tP(UGG)A","TRN1"
"22","tP(AGG)N","SUF10"
"23","tP(AGG)C","SUF2"
"24","tM(CAU)P","IMT2"
"25","tM(CAU)O2","EMT2"
"26","tM(CAU)O1","IMT1"
"27","tM(CAU)M","EMT4"
"28","tM(CAU)J3","IMT3"
"29","tM(CAU)J2","EMT3"
"30","tM(CAU)J1","EMT5"
"31","tM(CAU)E","IMT4"
"32","tM(CAU)D","EMT1"
"33","tL(UAA)J","SUP51"
"34","tL(CAA)G2","SUP54"
"35","tL(CAA)C","SUP53"
"36","tL(CAA)A","SUP56"
"37","tG(UCC)O","SUF1"
"38","tG(UCC)N","SUF6"
"39","tG(UCC)G","SUF4"
"40","tG(GCC)O2","SUF17"
"41","tG(GCC)J2","SUF23"
"42","tG(GCC)F1","SUF20"
"43","tG(GCC)C","SUF16"
"44","tG(CCC)O","SUF5"
"45","tG(CCC)D","SUF3"
"46","tE(UUC)G1","SOE1"
"47","tA(UGC)A","TGA1"
"48","snR9","SNR9"
"49","snR87","SNR87"
"50","snR86","SNR86"
"51","snR85","SNR85"
"52","snR84","SNR84"
"53","snR83","SNR83"
"54","snR82","SNR82"
"55","snR81","SNR81"
"56","snR80","SNR80"
"57","snR8","SNR8"
"58","snR79","SNR79"
"59","snR78","SNR78"
"60","snR77","SNR77"
"61","snR76","SNR76"
"62","snR75","SNR75"
"63","snR74","SNR74"
"64","snR73","SNR73"
"65","snR72","SNR72"
"66","snR71","SNR71"
"67","snR70","SNR70"
"68","snR7-S","SNR7-S"
"69","snR7-L","SNR7-L"
"70","snR69","SNR69"
"71","snR68","SNR68"
"72","snR67","SNR67"
"73","snR66","SNR66"
"74","snR65","SNR65"
"75","snR64","SNR64"
"76","snR63","SNR63"
"77","snR62","SNR62"
"78","snR61","SNR61"
"79","snR60","SNR60"
"80","snR6","SNR6"
"81","snR59","SNR59"
"82","snR58","SNR58"
"83","snR57","SNR57"
"84","snR56","SNR56"
"85","snR55","SNR55"
"86","snR54","SNR54"
"87","snR53","SNR53"
"88","snR52","SNR52"
"89","snR51","SNR51"
"90","snR50","SNR50"
"91","snR5","SNR5"
"92","snR49","SNR49"
"93","snR48","SNR48"
"94","snR47","SNR47"
"95","snR46","SNR46"
"96","snR45","SNR45"
"97","snR44","SNR44"
"98","snR43","SNR43"
"99","snR42","SNR42"
"100","snR41","SNR41"
"101","snR40","SNR40"
"102","snR4","SNR4"
"103","snR39B","SNR39B"
"104","snR39","SNR39"
"105","snR38","SNR38"
"106","snR37","SNR37"
"107","snR36","SNR36"
"108","snR35","SNR35"
"109","snR34","SNR34"
"110","snR33","SNR33"
"111","snR32","SNR32"
"112","snR31","SNR31"
"113","snR30","SNR30"
"114","snR3","SNR3"
"115","snR24","SNR24"
"116","snR191","SNR191"
"117","snR190","SNR190"
"118","snR19","SNR19"
"119","snR189","SNR189"
"120","snR18","SNR18"
"121","snR17b","SNR17B"
"122","snR17a","SNR17A"
"123","snR161","SNR161"
"124","snR14","SNR14"
"125","snR13","SNR13"
