seqid,source,type,start,end,score,strand,phase,attributes
1,LD information,LD block,1025,1035,1,+,.,Name=CHR_1_1-2
1,LD information,LD block,27243,27272,1,+,.,Name=CHR_1_8-9
1,LD information,LD block,27498,27561,1,+,.,Name=CHR_1_10-11
1,LD information,LD block,27816,28975,1,+,.,Name=CHR_1_12-19
1,LD information,LD block,29752,29787,1,+,.,Name=CHR_1_21-22
1,LD information,LD block,30706,31435,1,+,.,Name=CHR_1_25-26
1,LD information,LD block,37409,41499,1,+,.,Name=CHR_1_31-34
1,LD information,LD block,51248,60165,1,+,.,Name=CHR_1_37-43
1,LD information,LD block,62308,69417,1,+,.,Name=CHR_1_44-52
1,LD information,LD block,69820,69821,1,+,.,Name=CHR_1_53-54
1,LD information,LD block,74327,76030,1,+,.,Name=CHR_1_56-59
1,LD information,LD block,80108,99148,1,+,.,Name=CHR_1_60-79
1,LD information,LD block,106011,116283,1,+,.,Name=CHR_1_81-91
1,LD information,LD block,127853,128911,1,+,.,Name=CHR_1_93-96
1,LD information,LD block,130267,130613,1,+,.,Name=CHR_1_97-99
1,LD information,LD block,132012,150447,1,+,.,Name=CHR_1_100-106
1,LD information,LD block,154084,178960,1,+,.,Name=CHR_1_108-136
1,LD information,LD block,183802,186896,1,+,.,Name=CHR_1_140-157
1,LD information,LD block,189392,189416,1,+,.,Name=CHR_1_159-160
1,LD information,LD block,190132,190169,1,+,.,Name=CHR_1_161-164
1,LD information,LD block,192302,192305,1,+,.,Name=CHR_1_167-169
1,LD information,LD block,194020,197392,1,+,.,Name=CHR_1_172-176
1,LD information,LD block,223051,223059,1,+,.,Name=CHR_1_180-181
2,LD information,LD block,8250,8253,1,+,.,Name=CHR_2_185-186
2,LD information,LD block,8285,8651,1,+,.,Name=CHR_2_187-195
2,LD information,LD block,9812,28695,1,+,.,Name=CHR_2_197-218
2,LD information,LD block,35849,35850,1,+,.,Name=CHR_2_219-220
2,LD information,LD block,41245,59477,1,+,.,Name=CHR_2_221-231
2,LD information,LD block,60471,67007,1,+,.,Name=CHR_2_233-244
2,LD information,LD block,67023,67024,1,+,.,Name=CHR_2_245-246
2,LD information,LD block,67976,69628,1,+,.,Name=CHR_2_247-248
2,LD information,LD block,72389,74739,1,+,.,Name=CHR_2_250-254
2,LD information,LD block,79931,83845,1,+,.,Name=CHR_2_255-260
2,LD information,LD block,84447,87878,1,+,.,Name=CHR_2_263-267
2,LD information,LD block,89785,95085,1,+,.,Name=CHR_2_269-274
2,LD information,LD block,103188,116024,1,+,.,Name=CHR_2_275-282
2,LD information,LD block,119244,124677,1,+,.,Name=CHR_2_283-291
2,LD information,LD block,127887,133435,1,+,.,Name=CHR_2_293-300
2,LD information,LD block,135183,145823,1,+,.,Name=CHR_2_302-319
2,LD information,LD block,145980,150394,1,+,.,Name=CHR_2_321-324
2,LD information,LD block,151397,155527,1,+,.,Name=CHR_2_326-334
2,LD information,LD block,159870,161229,1,+,.,Name=CHR_2_335-336
2,LD information,LD block,162696,165675,1,+,.,Name=CHR_2_339-343
2,LD information,LD block,168012,169651,1,+,.,Name=CHR_2_345-349
2,LD information,LD block,170725,173973,1,+,.,Name=CHR_2_352-358
2,LD information,LD block,177341,191066,1,+,.,Name=CHR_2_360-368
2,LD information,LD block,191124,191128,1,+,.,Name=CHR_2_369-370
2,LD information,LD block,191599,192390,1,+,.,Name=CHR_2_371-375
2,LD information,LD block,195759,196912,1,+,.,Name=CHR_2_376-377
2,LD information,LD block,198110,210102,1,+,.,Name=CHR_2_379-394
2,LD information,LD block,214801,215016,1,+,.,Name=CHR_2_396-397
2,LD information,LD block,218876,254908,1,+,.,Name=CHR_2_398-411
2,LD information,LD block,255862,288379,1,+,.,Name=CHR_2_413-433
2,LD information,LD block,294941,296082,1,+,.,Name=CHR_2_434-436
2,LD information,LD block,299680,300111,1,+,.,Name=CHR_2_441-444
2,LD information,LD block,301710,312659,1,+,.,Name=CHR_2_446-457
2,LD information,LD block,318265,325221,1,+,.,Name=CHR_2_460-464
2,LD information,LD block,332691,340466,1,+,.,Name=CHR_2_465-474
2,LD information,LD block,348480,353536,1,+,.,Name=CHR_2_478-488
2,LD information,LD block,355266,369530,1,+,.,Name=CHR_2_490-504
2,LD information,LD block,369931,376172,1,+,.,Name=CHR_2_506-511
2,LD information,LD block,381364,384955,1,+,.,Name=CHR_2_512-518
2,LD information,LD block,387301,388313,1,+,.,Name=CHR_2_520-521
2,LD information,LD block,389425,389428,1,+,.,Name=CHR_2_522-523
2,LD information,LD block,390138,391319,1,+,.,Name=CHR_2_524-526
2,LD information,LD block,393340,395042,1,+,.,Name=CHR_2_527-528
2,LD information,LD block,395228,405100,1,+,.,Name=CHR_2_529-543
2,LD information,LD block,406181,418057,1,+,.,Name=CHR_2_548-553
