gene_symbol	QTL_type	percent_variance	beta	cis_trans
Arfgef1	LOCAL	18.49480656	0.6081908674092369	cis
Pcmtd1	LOCAL	27.53585111	0.7421031075261711	cis
Adhfe1	LOCAL	34.20236857	0.8270715636509334	cis
Ago3	DISTANT	27.75573456	0.7450601930045653	trans
Lactb2	LOCAL	30.08815679	0.7757339336396211	cis
Tom1l1	DISTANT	16.18258643	0.5689039713343544	trans
Dctn2	DISTANT	19.36989632	0.622412987011036	trans
Cbll1	DISTANT	21.49127455	0.6556107770621225	trans
Eftud2	DISTANT	16.56864949	0.5756500584556559	trans
Fermt2	DISTANT	17.47993536	0.5912687267224608	trans
Gsta3	LOCAL	34.42556432	0.8297658021393748	cis
Tram2	LOCAL	43.24597232	0.9300104549949962	cis
Rab23	LOCAL	34.98791785	0.8365156047558229	cis
Nudt16l1	DISTANT	18.83285761	0.6137240032783466	trans
Pdcl3	LOCAL	42.93006213	0.9266073831995945	cis
Plscr3	DISTANT	26.77198749	0.731737486944601	trans
Eml4	DISTANT	19.73421242	0.6282390057931774	trans
Vps45	DISTANT	18.80865343	0.6133294943176955	trans
F10	DISTANT	16.45128918	0.5736076913710275	trans
Vps8	DISTANT	17.09332978	0.5846935912082499	trans
Ercc5	LOCAL	22.23049108	0.6667906879973655	cis
Ctsf	DISTANT	16.40651862	0.5728266512654592	trans
Myo1b	LOCAL	17.68157752	0.5946692781706484	cis
Ubac2	DISTANT	16.33793378	0.5716280920318735	trans
Inpp1	LOCAL	30.76843616	0.784454411167405	cis
Hibch	LOCAL	60.16149401	1.0969183562143539	cis
Osgepl1	LOCAL	52.90590426	1.0286486694688328	cis
Scarb2	DISTANT	16.61200634	0.5764027470441133	trans
Pgap1	LOCAL	24.2709747	0.6967205279019701	cis
Aox1	LOCAL	54.83710604	1.047254563513571	cis
1700066M21Rik	LOCAL	27.33077696	0.739334524555698	cis
Raph1	LOCAL	18.41121767	0.6068149251625243	cis
Nif3l1	LOCAL	35.3756002	0.8411373276701017	cis
Casp8	LOCAL	42.16330558	0.9182952202859384	cis
Ppil3	LOCAL	49.73509334	0.9973474152971972	cis
Tbck	DISTANT	17.61978897	0.5936293282849154	trans
Als2	LOCAL	40.76693881	0.9029611155526023	cis
Cyp20a1	LOCAL	37.13386111	0.8617872255957383	cis
Prkag2	DISTANT	20.53858917	0.6409148019822916	trans
Gpn1	DISTANT	22.08106687	0.6645459633464039	trans
Guf1	DISTANT	16.29119245	0.570809818591096	trans
Adcy9	DISTANT	16.76135533	0.578988002120942	trans
Mettl21a	LOCAL	30.85546792	0.7855630836540118	cis
Idh1	LOCAL	17.95682536	0.5992799906554531	cis
Lancl1	LOCAL	20.95061112	0.6473115342707868	cis
Atic	LOCAL	35.32851496	0.8405773606278009	cis
Xrcc6	DISTANT	20.21667323	0.6358722077587603	trans
Xrcc5	LOCAL	18.84226102	0.6138772030300522	cis
Glb1l	LOCAL	31.05480538	0.7880965090647211	cis
Pnkd	LOCAL	19.58920493	0.6259265920217801	cis
Bcs1l	LOCAL	17.14569219	0.5855884594149717	cis
Tns1	LOCAL	19.89343581	0.6307683538352253	cis
Slc11a1	LOCAL	25.7721762	0.7179439560299955	cis
Cnpy3	DISTANT	17.13736203	0.5854461893291304	trans
Mertk	DISTANT	20.59335705	0.6417687597569705	trans
Ppip5k2	DISTANT	16.96119568	0.5824293206905024	trans
Ankzf1	LOCAL	18.53710806	0.608886000167519	cis
Pecr	LOCAL	30.70864873	0.7836918875425469	cis
Gmppa	LOCAL	20.78153522	0.6446942720390806	cis
Eif4enif1	DISTANT	21.55158112	0.6565299859107732	trans
Pnkd	LOCAL	37.08443456	0.8612134991974986	cis
Mrpl44	LOCAL	24.41450603	0.6987775902245291	cis
Wdfy1	LOCAL	38.2005812	0.8740775846571058	cis
Inpp5d	LOCAL	18.65136614	0.6107596276768791	cis
Ppil2	DISTANT	16.70550357	0.5780225526742014	trans
Serpine2	LOCAL	20.8029803	0.6450268257987415	cis
Poglut1	DISTANT	16.71516277	0.5781896361921407	trans
Dis3l2	LOCAL	37.91277855	0.8707787152887925	cis
Cab39	LOCAL	17.79201809	0.5965235634909991	cis
Ugt1a9	LOCAL	27.12924935	0.7366036838083285	cis
Atg12	DISTANT	17.10119645	0.5848281191940073	trans
Ngef	LOCAL	40.94221462	0.9049001560393279	cis
Atg16l1	LOCAL	22.65165212	0.6730772930355028	cis
Ugt1a10	LOCAL	48.03140133	0.9801163331972383	cis
Ugt1a6b	LOCAL	17.99812413	0.5999687346854001	cis
Mocs1	DISTANT	17.59992038	0.5932945369713091	trans
Dusp28	LOCAL	38.21787688	0.8742754357752481	cis
2410127L17Rik	DISTANT	17.5275722	0.5920738501234454	trans
Flii	DISTANT	17.96188108	0.5993643479553985	trans
Cops7a	DISTANT	17.25796121	0.5875025312285896	trans
Rab17	LOCAL	20.6437448	0.6425534187909983	cis
Scly	LOCAL	33.15514779	0.8143113383712645	cis
Agxt	LOCAL	20.23293364	0.6361278745661126	cis
D2hgdh	LOCAL	43.01767969	0.9275524749576166	cis
Dtymk	LOCAL	39.3374267	0.8869884632846134	cis
Serpinb8	LOCAL	35.8531256	0.8467954369267704	cis
Kdsr	LOCAL	34.73529409	0.833490180985955	cis
Tmem177	LOCAL	28.61100307	0.7564522862679443	cis
Steap3	LOCAL	55.11215483	1.0498776579201978	cis
9030624J02Rik	DISTANT	34.17062108	0.8266876203258399	trans
Mki67ip	LOCAL	16.54505903	0.5752401069118878	cis
Ccdc22	DISTANT	29.97587047	0.7742850956850454	trans
Ccdc93	LOCAL	18.25970946	0.6043129894351106	cis
Commd9	DISTANT	21.88594133	0.6616032244480071	trans
Commd10	DISTANT	19.40629092	0.6229974465437238	trans
Fam45a	DISTANT	30.24891332	0.7778034882925121	trans
Fam162a	DISTANT	16.50336234	0.5745147924988528	trans
Commd5	DISTANT	18.62185552	0.6102762574441185	trans
Arpc2	DISTANT	24.24862615	0.6963996862434675	trans
Actr2	DISTANT	16.6873595	0.5777085683975961	trans
Arpc4	DISTANT	16.44626785	0.5735201452433908	trans
Ssbp1	DISTANT	20.60483446	0.6419475751180933	trans
Dars	LOCAL	58.76600686	1.0841218276559144	cis
Ubxn4	LOCAL	21.18382563	0.6509043805352672	cis
Ikbke	LOCAL	27.94589406	0.74760810669762	cis
Ctse	LOCAL	48.53926933	0.9852844191399761	cis
Pm20d1	LOCAL	66.42649993	1.15261875683159	cis
Atp2b4	LOCAL	18.78350536	0.6129193317231885	cis
Rnpep	LOCAL	29.45743468	0.7675602214810249	cis
Cyb5r1	LOCAL	41.59530872	0.9120889070699193	cis
Fam20b	DISTANT	23.23038522	0.6816213790661205	trans
Cfhr1	LOCAL	51.92470039	1.019065261796319	cis
Lztr1	DISTANT	19.41008952	0.6230584165228811	trans
Trmt1l	LOCAL	25.29220156	0.7112271305286378	cis
Adam23	DISTANT	24.32077897	0.6974350001254597	trans
Npl	LOCAL	38.98430407	0.8829983473370717	cis
Ociad2	DISTANT	16.79322898	0.5795382468828093	trans
Acbd6	LOCAL	33.35388215	0.816748212731439	cis
Tmem33	DISTANT	16.36843349	0.5721614018788754	trans
Tor1aip2	LOCAL	47.36944955	0.9733390935331838	cis
BC026585	LOCAL	40.92302506	0.9046880684523257	cis
Sec16b	LOCAL	24.58744233	0.701248063526738	cis
Cox18	DISTANT	17.64127911	0.5939912307433503	trans
Vps33b	DISTANT	16.43495167	0.5733228003489832	trans
Rint1	DISTANT	16.88732305	0.5811595830750793	trans
Dars2	LOCAL	31.02144184	0.7876730519701687	cis
Fmo1	LOCAL	33.18815301	0.8147165520596719	cis
Pcp4l1	LOCAL	30.0983021	0.7758647059893884	cis
Stx6	LOCAL	18.42683869	0.6070722970124728	cis
Fmo2	LOCAL	21.39904077	0.6542024269291578	cis
Fmo4	LOCAL	24.42412987	0.6989153005908513	cis
Tiprl	LOCAL	31.16398142	0.7894806067282464	cis
Mgst3	LOCAL	28.36440259	0.7531852705676074	cis
Ppox	LOCAL	21.17546402	0.650775906437846	cis
Usp45	DISTANT	22.98787684	0.6780542285097851	trans
Dusp12	LOCAL	32.4876125	0.8060721121587074	cis
Naa30	DISTANT	23.72589939	0.6888526604434362	trans
Tstd1	LOCAL	25.3835701	0.7125106329031168	cis
Apoa2	LOCAL	45.09468475	0.9496808384925959	cis
Uap1	LOCAL	22.99052742	0.6780933183566993	cis
Dhrs11	DISTANT	17.65438693	0.5942118633955401	trans
Pex19	LOCAL	21.77380262	0.6599060936224184	cis
Dcaf8	LOCAL	16.17435121	0.5687591970245405	cis
Dusp23	LOCAL	54.54208874	1.044433710103231	cis
Apcs	LOCAL	23.10611783	0.6797958197870887	cis
Ifi202b	LOCAL	50.89389789	1.0088993794229433	cis
Ifi204	LOCAL	28.53681297	0.7554708858718514	cis
Mndal	LOCAL	48.03986646	0.9802026980170989	cis
Kmo	LOCAL	31.97599742	0.7996999114667951	cis
Adat1	DISTANT	21.81211616	0.6604864292322742	trans
Fh1	LOCAL	19.92450313	0.6312606930579474	cis
Nvl	LOCAL	23.91991804	0.6916634736633126	cis
Adss	LOCAL	26.6285979	0.7297752791099463	cis
